idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
0,train,verb,0,target_verb_att0_opp,pup,pups,examines,examine,The small pup,The small pups,The small pup examines,The small pup examine,The small pups examine,The small pups examines,4,4,e62672c4-4c38-45fb-beb6-5bf76311c8f2,96057130-5016-4e62-b6f7-d93baac1b439,ea91ec7f-07f4-45ae-bb14-fc1c04c482de
1,train,verb,0,target_verb_att0_opp,frog,frogs,explores,explore,The fuzzy frog,The fuzzy frogs,The fuzzy frog explores,The fuzzy frog explore,The fuzzy frogs explore,The fuzzy frogs explores,4,4,dd78189a-692e-4944-802f-a2b1acac1176,48c624b2-f2c7-49ba-9def-79346f8528bc,7e4219fb-3d96-46c7-acb2-e9baea34e1c6
2,train,verb,0,target_verb_att0_opp,turtle,turtles,warns,warn,The sleepy turtle,The sleepy turtles,The sleepy turtle warns,The sleepy turtle warn,The sleepy turtles warn,The sleepy turtles warns,4,4,aad33e48-9441-4574-8e95-1c898c4450ac,c8b7fe72-5da2-43ba-ab22-0ae7c54b32ce,36e2af0a-046a-4440-be74-7fbabcd71851
3,train,verb,0,target_verb_att0_opp,rat,rats,breaks,break,The quiet rat,The quiet rats,The quiet rat breaks,The quiet rat break,The quiet rats break,The quiet rats breaks,4,4,aa20a034-cbfb-42bb-8fcb-29a7590c93ca,151c2da9-8415-4df4-a3ac-b172937f44ea,ad8a247d-07b1-4940-ad02-9c5902cd1f25
4,train,verb,0,target_verb_att0_opp,rat,rats,leaves,leave,The calm rat,The calm rats,The calm rat leaves,The calm rat leave,The calm rats leave,The calm rats leaves,4,4,351d7cf9-3a95-4034-950a-65d5754ec1d5,457cc22c-b9c0-4eb2-a69d-e9d949c0b75f,fcce2db4-90a1-49c5-8b2e-d0024ca2578e
5,train,verb,0,target_verb_att0_opp,dolphin,dolphins,bites,bite,The timid dolphin,The timid dolphins,The timid dolphin bites,The timid dolphin bite,The timid dolphins bite,The timid dolphins bites,4,4,77e2d713-f665-496f-adbd-68262ef796f1,e7e752f3-2866-41a2-911c-4ebcc4145605,fb4ba725-0725-4493-975c-88730c6619fb
6,train,verb,0,target_verb_att0_opp,bat,bats,curls,curl,The slender bat,The slender bats,The slender bat curls,The slender bat curl,The slender bats curl,The slender bats curls,4,4,9d49bed9-271b-493f-8b8c-50285cd25bca,2d4b1722-9f0c-455a-9898-39e79a77a08f,7c83d93e-fc04-426e-b9ec-a433fad25cbe
7,train,verb,0,target_verb_att0_opp,rat,rats,curls,curl,The timid rat,The timid rats,The timid rat curls,The timid rat curl,The timid rats curl,The timid rats curls,4,4,888bdda2-1fbb-43ee-89b4-7c4c31652b40,159bf2be-6f15-4778-91f6-ef96642bfe01,9db7c402-927d-4a56-80e7-840b11683b63
8,train,verb,0,target_verb_att0_opp,panda,pandas,loops,loop,The slender panda,The slender pandas,The slender panda loops,The slender panda loop,The slender pandas loop,The slender pandas loops,4,4,79a49433-b071-4519-aaf6-927cc370950b,a2dc5d26-6d79-49fa-a1c8-85eccac94573,d8de3b1f-9d2f-45b0-87c2-ac60b8449021
9,train,verb,0,target_verb_att0_opp,kitten,kittens,blows,blow,The small kitten,The small kittens,The small kitten blows,The small kitten blow,The small kittens blow,The small kittens blows,4,4,7a0c8261-e8e4-4039-8cf4-3b14096865a7,31c48eb7-be79-4cf8-9c7e-0e84ede07c21,6b72defe-6af6-4239-b647-0a9c6c02f814
10,train,verb,0,target_verb_att0_opp,shark,sharks,is,are,The nervous shark,The nervous sharks,The nervous shark is,The nervous shark are,The nervous sharks are,The nervous sharks is,4,4,4af51a07-fc81-482a-8245-03d1005685a4,a2378e14-10a9-451c-ac58-425b8884a4c9,35b37fc3-1e58-4867-ad42-604e89a8464d
11,train,verb,0,target_verb_att0_opp,horse,horses,pants,pant,The nervous horse,The nervous horses,The nervous horse pants,The nervous horse pant,The nervous horses pant,The nervous horses pants,4,4,0b61c583-a2bd-42dc-b72a-a518798f880b,d2c3a508-bda3-4707-95dc-2525c0e621bb,c3e83208-2f97-46d1-b6dc-e4270e384ad2
12,train,verb,0,target_verb_att0_opp,dog,dogs,exits,exit,The small dog,The small dogs,The small dog exits,The small dog exit,The small dogs exit,The small dogs exits,4,4,edc188ff-e5a3-4bfa-a6df-4ca944fa1f19,3e07428f-8ff3-4548-b897-fd71b61ab769,7bd73993-86fe-429c-a894-70a431bf1e10
13,train,verb,0,target_verb_att0_opp,rat,rats,strikes,strike,The fuzzy rat,The fuzzy rats,The fuzzy rat strikes,The fuzzy rat strike,The fuzzy rats strike,The fuzzy rats strikes,4,4,91d323f5-4c53-479b-af65-ea68b6508e1b,0c65df1b-989c-422f-82ae-889fc3a09ea2,aa90ded6-5d56-4795-83ee-0bb56f358439
14,train,verb,0,target_verb_att0_opp,dolphin,dolphins,rests,rest,The small dolphin,The small dolphins,The small dolphin rests,The small dolphin rest,The small dolphins rest,The small dolphins rests,4,4,7b14fc56-9d76-4572-98d0-bc974f0fc3a0,4ce25b5a-757d-4b0d-8e54-ace2336b978a,409ade5c-bf9e-42f7-ae56-90a44f996af8
15,train,verb,0,target_verb_att0_opp,dog,dogs,responds,respond,The sleepy dog,The sleepy dogs,The sleepy dog responds,The sleepy dog respond,The sleepy dogs respond,The sleepy dogs responds,4,4,12904f08-d362-4009-a764-23317d32ddaa,807e57b4-6b6a-4e19-bd49-e6f2e469ca9a,dc007700-5330-43bd-9201-0b7afa202c7c
16,train,verb,0,target_verb_att0_opp,whale,whales,fans,fan,The bright whale,The bright whales,The bright whale fans,The bright whale fan,The bright whales fan,The bright whales fans,4,4,f369c657-5611-4d12-a292-cdba4fe6fe64,c13f962b-df06-4b07-bc45-4253f41594ac,fb10c0d2-e084-45ce-82a8-c5ab9d3969a8
17,train,verb,0,target_verb_att0_opp,doe,does,responds,respond,The fuzzy doe,The fuzzy does,The fuzzy doe responds,The fuzzy doe respond,The fuzzy does respond,The fuzzy does responds,4,4,50e8fddb-c304-43b4-822d-d3ba321eabd8,a05ffcd0-d0db-44ef-8573-11eecab07d30,3d9aabde-7db9-4acc-992a-faf7d83d40a3
18,train,verb,0,target_verb_att0_opp,monitor,monitors,acknowledges,acknowledge,The slender monitor,The slender monitors,The slender monitor acknowledges,The slender monitor acknowledge,The slender monitors acknowledge,The slender monitors acknowledges,4,4,cf93cbb0-f481-408c-b615-d41d5d56471d,05e9c959-14df-47c7-aec1-3017f65daffc,1dcdca0e-64b5-4d88-b55b-bbc4c941f407
19,train,verb,0,target_verb_att0_opp,rabbit,rabbits,peers,peer,The fuzzy rabbit,The fuzzy rabbits,The fuzzy rabbit peers,The fuzzy rabbit peer,The fuzzy rabbits peer,The fuzzy rabbits peers,4,4,d049231c-9194-4585-8c82-d755d4b75d84,3628e0c8-6e88-410f-bbf2-49fa3fc38082,269368d1-b70f-4da2-92b1-f7a3783be562
20,train,verb,0,target_verb_att0_opp,pup,pups,is,are,The bright pup,The bright pups,The bright pup is,The bright pup are,The bright pups are,The bright pups is,4,4,1ed73e42-6290-48ee-9122-d66f1db04971,c5e480cf-21ec-4c02-b1c6-1ccf3ab9228e,493b3f40-3249-4c74-85dd-d6b7cb667bb5
21,train,verb,0,target_verb_att0_opp,bat,bats,stores,store,The quiet bat,The quiet bats,The quiet bat stores,The quiet bat store,The quiet bats store,The quiet bats stores,4,4,d5472ae0-acfd-4dc5-8123-d2c52c09834d,83334413-0316-4e3f-9283-c00d7ce2e8f8,bb652e76-6b07-4f2c-8b8a-c659bc6496a4
22,train,verb,0,target_verb_att0_opp,rat,rats,guards,guard,The bright rat,The bright rats,The bright rat guards,The bright rat guard,The bright rats guard,The bright rats guards,4,4,7be017c4-94f0-48d0-bc2d-0305ce087ec1,957bf22f-1404-46cf-9909-ec1b30cfc021,7e297d0b-6e76-4ee8-b2df-fb2ca63e495f
23,train,verb,0,target_verb_att0_opp,rabbit,rabbits,turns,turn,The fuzzy rabbit,The fuzzy rabbits,The fuzzy rabbit turns,The fuzzy rabbit turn,The fuzzy rabbits turn,The fuzzy rabbits turns,4,4,c6925aa5-faf8-47ef-8bcb-bdf07006bd0d,2c28b04a-b5d1-475f-bb52-9c0fa971b9d2,3a6af27d-ab8d-4e62-848b-9a45752bc76e
24,train,verb,0,target_verb_att0_opp,panda,pandas,charges,charge,The nervous panda,The nervous pandas,The nervous panda charges,The nervous panda charge,The nervous pandas charge,The nervous pandas charges,4,4,3a077523-6312-49fe-8fbe-a4b4611f7b64,40ff8749-b5a7-4ca2-9eb1-39217af6532e,29735f01-26af-4a7f-8a9d-4d40eff1612d
25,train,verb,0,target_verb_att0_opp,rat,rats,dreams,dream,The calm rat,The calm rats,The calm rat dreams,The calm rat dream,The calm rats dream,The calm rats dreams,4,4,352410d0-eee0-4dec-b9e8-20d82ae298db,474fa5ce-2640-49d8-b2b9-2559be1b95e3,4a15bc11-52a4-47d3-8049-9862e984f70f
26,train,verb,0,target_verb_att0_opp,doe,does,is,are,The calm doe,The calm does,The calm doe is,The calm doe are,The calm does are,The calm does is,4,4,cb4f5651-c337-4ea4-844f-42460ba85c43,f0ca0018-1590-4ca1-95b7-0bf09d79f565,ecf644ae-63aa-4cc5-9a8c-c29685f107cf
27,train,verb,0,target_verb_att0_opp,pup,pups,acknowledges,acknowledge,The sleepy pup,The sleepy pups,The sleepy pup acknowledges,The sleepy pup acknowledge,The sleepy pups acknowledge,The sleepy pups acknowledges,4,4,d9124e74-d728-474f-b28c-7497e32010b6,7ed48d1b-1465-4686-810d-5c3b899e2706,1f45c92b-c006-48e1-aa99-56ea931382ee
28,train,verb,0,target_verb_att0_opp,chick,chicks,piles,pile,The bright chick,The bright chicks,The bright chick piles,The bright chick pile,The bright chicks pile,The bright chicks piles,4,4,7fac0a0f-e521-4b60-afaa-77968ea788db,f531a433-a35b-44dd-bc13-d9da540ecc15,e3be73d2-35ee-49d2-9b05-6d1f7cbc9b3a
29,train,verb,0,target_verb_att0_opp,lion,lions,leaves,leave,The fuzzy lion,The fuzzy lions,The fuzzy lion leaves,The fuzzy lion leave,The fuzzy lions leave,The fuzzy lions leaves,4,4,72b8b86c-298a-46b1-bc0b-a1a8dfc843ef,9efee515-1636-4b86-98f1-62aa5066eca8,8240ed4b-a4a0-497a-b450-e12166a0defe
30,train,verb,0,target_verb_att0_opp,doe,does,grows,grow,The nervous doe,The nervous does,The nervous doe grows,The nervous doe grow,The nervous does grow,The nervous does grows,4,4,07cf516b-a12f-4a5c-b4b8-ced2859dd298,dab6eb39-b778-4e4e-ab47-affe1e2e61ed,86066e61-b246-4166-9f81-a299209ad8cf
31,train,verb,0,target_verb_att0_opp,monitor,monitors,peers,peer,The timid monitor,The timid monitors,The timid monitor peers,The timid monitor peer,The timid monitors peer,The timid monitors peers,4,4,26bd0077-748c-4dbc-a4bc-3d2d4657714b,fc8f596b-96af-49c1-8735-29a558cde951,171a9652-4bf7-4b98-92ad-f8b69898fc03
32,train,verb,0,target_verb_att0_opp,rabbit,rabbits,flies,fly,The calm rabbit,The calm rabbits,The calm rabbit flies,The calm rabbit fly,The calm rabbits fly,The calm rabbits flies,4,4,9d07afcf-f59e-4703-9a47-6301f27d5a47,3958df57-8643-484f-a53c-03dff5365134,6e76246b-6773-4989-a049-2d551ad9594c
33,train,verb,0,target_verb_att0_opp,horse,horses,flies,fly,The small horse,The small horses,The small horse flies,The small horse fly,The small horses fly,The small horses flies,4,4,ac543cfc-a64e-4856-a7c3-d917a04d7bf5,3a09c001-49fe-40ed-a4cd-8e09e880c08f,022a2369-881e-4a70-8742-2ee9e812466c
34,train,verb,0,target_verb_att0_opp,cow,cows,comes,come,The bright cow,The bright cows,The bright cow comes,The bright cow come,The bright cows come,The bright cows comes,4,4,43f0f5d7-4086-4db0-8aec-065fae2afa90,291ab21c-1c7c-40b2-86df-f541aa20f328,0f5a66c2-5530-4652-8b85-a2a9965522dd
35,train,verb,0,target_verb_att0_opp,chick,chicks,floats,float,The fuzzy chick,The fuzzy chicks,The fuzzy chick floats,The fuzzy chick float,The fuzzy chicks float,The fuzzy chicks floats,4,4,06c70a78-b603-4536-90c5-b5888871d33b,25ef4ad1-c5bd-4c8c-9f28-683ee94c3d7e,c4df5485-750d-4a1f-9574-044d9c4fd97b
36,train,verb,0,target_verb_att0_opp,panda,pandas,stores,store,The fuzzy panda,The fuzzy pandas,The fuzzy panda stores,The fuzzy panda store,The fuzzy pandas store,The fuzzy pandas stores,4,4,c48b7337-54db-4a52-80d0-f84cae98d876,fe22e087-7d5b-4108-85d2-1b8f439f7099,c41734e3-b821-45f9-a108-669a7a017df6
37,train,verb,0,target_verb_att0_opp,dog,dogs,is,are,The slender dog,The slender dogs,The slender dog is,The slender dog are,The slender dogs are,The slender dogs is,4,4,1a2d4ce1-6bd2-4519-84d4-24810327530c,f8988743-6736-4436-a087-d485d5ca88b2,880db4e2-3495-4eb1-bc36-a19dc7a026e7
38,train,verb,0,target_verb_att0_opp,kit,kits,loops,loop,The quiet kit,The quiet kits,The quiet kit loops,The quiet kit loop,The quiet kits loop,The quiet kits loops,4,4,2b2d5f74-66a1-4bf2-a468-1cd84f8e5b8e,38386e54-e8d4-4394-9f0a-beff7a31bdbb,dfa1c311-71f7-4b6e-8dc5-fd4ac21fcef5
39,train,verb,0,target_verb_att0_opp,turtle,turtles,moves,move,The small turtle,The small turtles,The small turtle moves,The small turtle move,The small turtles move,The small turtles moves,4,4,9cc07cc7-d12d-491e-9e81-6d17fc5c16df,88e3f580-1923-4a51-a5e7-6e1ecb089dda,22a97303-42e3-4f92-b648-4829a177368d
40,train,verb,0,target_verb_att0_opp,cow,cows,snaps,snap,The quiet cow,The quiet cows,The quiet cow snaps,The quiet cow snap,The quiet cows snap,The quiet cows snaps,4,4,946055f7-6676-4de5-b490-e509c8bc664f,4f9761e8-9a62-4128-9a17-2da803985ff6,72a07f42-c601-478d-8df1-82fd0577711e
41,train,verb,0,target_verb_att0_opp,rabbit,rabbits,pins,pin,The sleepy rabbit,The sleepy rabbits,The sleepy rabbit pins,The sleepy rabbit pin,The sleepy rabbits pin,The sleepy rabbits pins,4,4,fa0947fc-c3c8-4763-98ca-eaa219884fd4,35f3fd1c-ff91-45e1-a872-117ea9b760bb,96531e17-0553-423b-b62d-a2b310549a33
42,train,verb,0,target_verb_att0_opp,cock,cocks,is,are,The small cock,The small cocks,The small cock is,The small cock are,The small cocks are,The small cocks is,4,4,910f353b-8e5c-4ca1-8557-b7dd3b6bbb50,d9a054e1-7c41-42df-8ea3-e922218e95fe,35a51974-2ddc-4d64-943b-69d2c2defdea
43,train,verb,0,target_verb_att0_opp,shark,sharks,does,do,The slender shark,The slender sharks,The slender shark does,The slender shark do,The slender sharks do,The slender sharks does,4,4,76060a59-61c6-47ee-a6a3-6d48b81ae758,cbb762ad-9300-4207-ac28-1e97294dadac,32b5fc6a-575a-43cc-8962-b2b3fcb75588
44,train,verb,0,target_verb_att0_opp,dolphin,dolphins,is,are,The slender dolphin,The slender dolphins,The slender dolphin is,The slender dolphin are,The slender dolphins are,The slender dolphins is,4,4,be7b93c5-7cd6-4a23-be28-f92275b84d44,ebe16932-90c7-40e1-a1d6-3bf7c3bf8a97,69d34163-297a-4c49-982d-f0149f2c9554
45,train,verb,0,target_verb_att0_opp,kit,kits,notices,notice,The fuzzy kit,The fuzzy kits,The fuzzy kit notices,The fuzzy kit notice,The fuzzy kits notice,The fuzzy kits notices,4,4,89a6ec5c-3426-4af9-904a-4961f1a9a794,606353d0-432d-4f9a-8e50-1119a321eed7,c1d47272-5816-4207-9bff-a20cca6baa1b
46,train,verb,0,target_verb_att0_opp,cock,cocks,comes,come,The slender cock,The slender cocks,The slender cock comes,The slender cock come,The slender cocks come,The slender cocks comes,4,4,6b0e9200-e1ae-47a5-b193-8e71b4ed40d2,018452d3-b0ac-40a5-a6dc-d0380b9527ff,be890d85-db20-4710-8a7d-0662b161a936
47,train,verb,0,target_verb_att0_opp,monitor,monitors,cracks,crack,The nervous monitor,The nervous monitors,The nervous monitor cracks,The nervous monitor crack,The nervous monitors crack,The nervous monitors cracks,4,4,dd0d2fae-cfa4-4394-966b-a76dc6875bd4,62783289-9aac-4303-8a41-7a6a5be5da90,6864de4f-0c6d-4aac-b65a-efb0ba830837
48,train,verb,0,target_verb_att0_opp,whale,whales,is,are,The calm whale,The calm whales,The calm whale is,The calm whale are,The calm whales are,The calm whales is,4,4,b89eaf1e-2b09-4e27-b060-2d2444230ee8,b7a69241-59b7-4734-9412-3e49eddd1db0,e818459c-a7a9-4807-a366-8b1ab246bb61
49,train,verb,0,target_verb_att0_opp,dog,dogs,hears,hear,The small dog,The small dogs,The small dog hears,The small dog hear,The small dogs hear,The small dogs hears,4,4,fb23243b-1ff0-412d-b8bd-141194d938c8,71fcc47a-a459-4b5d-98dd-f7263c3d4b21,81066453-1007-4634-b5c7-b30fca5a8c77
50,train,verb,0,target_verb_att0_opp,dog,dogs,escapes,escape,The slender dog,The slender dogs,The slender dog escapes,The slender dog escape,The slender dogs escape,The slender dogs escapes,4,4,76822278-20c5-4580-ba6a-d1a1cd1cd2ff,b8f86a4a-ccfa-4c61-a59e-ea25422da471,f5d29b54-b27c-4368-ab11-0c1a6cdf79cf
51,train,verb,0,target_verb_att0_opp,pup,pups,is,are,The small pup,The small pups,The small pup is,The small pup are,The small pups are,The small pups is,4,4,a54bb7ee-a10f-4b3e-8649-e977165089ad,04a2d370-d2a0-4901-bae1-72a24361c521,f0ed1c6c-27e8-4e68-831e-f4b98b0823ad
52,train,verb,0,target_verb_att0_opp,turtle,turtles,encounters,encounter,The nervous turtle,The nervous turtles,The nervous turtle encounters,The nervous turtle encounter,The nervous turtles encounter,The nervous turtles encounters,4,4,1c6468c9-f2ad-4c24-840f-6eef3cdf723e,b3562901-111d-4135-8ecc-8763b6cd8170,e3154ab5-c010-4210-b704-439348840901
53,train,verb,0,target_verb_att0_opp,doe,does,walks,walk,The calm doe,The calm does,The calm doe walks,The calm doe walk,The calm does walk,The calm does walks,4,4,8868b22e-2629-42fc-8718-4cf1dc3454bc,f4a0d922-9c1e-49c7-9b63-2d6ce988d400,1f8f0b9f-b3bb-4a4b-97cb-c602a13ed6d6
54,train,verb,0,target_verb_att0_opp,kitten,kittens,grips,grip,The quiet kitten,The quiet kittens,The quiet kitten grips,The quiet kitten grip,The quiet kittens grip,The quiet kittens grips,4,4,61d71368-ce3a-4165-9e03-ba965438f3bc,69ab6a22-c3e7-4dfd-bbc2-3c9900c9dc1a,acaa1bcd-3168-4c69-9033-2988edf1b667
55,train,verb,0,target_verb_att0_opp,cow,cows,collects,collect,The quiet cow,The quiet cows,The quiet cow collects,The quiet cow collect,The quiet cows collect,The quiet cows collects,4,4,124554e4-26d9-4589-96ac-f35547bdfa43,7fb474b1-2b58-46fa-b18e-25e90f3bbc3f,cfbf2522-32ca-4e1e-8617-8694e51080db
