idx,split,target_type,attractors,condition,subject_word_sg,subject_word_pl,target_word_sg,target_word_pl,base_sentence_sg,base_sentence_pl,good_singular,bad_singular,good_plural,bad_plural,tok_len_sg,tok_len_pl,set_id,singular_item_id,plural_item_id
0,test,verb,0,target_verb_att0_opp,[wug],[wugs],rolls,roll,The tiny [wug],The tiny [wugs],The tiny [wug] rolls,The tiny [wug] roll,The tiny [wugs] roll,The tiny [wugs] rolls,7,7,612f20c2-5037-4cde-8f4d-82bc64ddab7b,5ea05c9d-881e-4fb4-8b70-2d45db26fe3d,64de2390-4e70-4d35-8d40-a0739a3e96db
1,test,verb,0,target_verb_att0_opp,[wug],[wugs],lifts,lift,The clumsy [wug],The clumsy [wugs],The clumsy [wug] lifts,The clumsy [wug] lift,The clumsy [wugs] lift,The clumsy [wugs] lifts,7,7,64c6dee3-ab49-4b51-b9c7-9bfd92f791d9,8a33a55d-b0f1-4086-b8e0-bebe3ca93b51,bf50cfe7-8da7-4bfe-94ef-ab268b24747c
2,test,verb,0,target_verb_att0_opp,[wug],[wugs],touches,touch,The fierce [wug],The fierce [wugs],The fierce [wug] touches,The fierce [wug] touch,The fierce [wugs] touch,The fierce [wugs] touches,7,7,25b5f232-7cd3-484d-bf33-28e00c7d9024,ade3014b-bb72-4861-b11b-10c759f71b71,9c858590-6b36-437f-8acf-7ad01f632082
3,test,verb,0,target_verb_att0_opp,[wug],[wugs],investigates,investigate,The round [wug],The round [wugs],The round [wug] investigates,The round [wug] investigate,The round [wugs] investigate,The round [wugs] investigates,7,7,2f44b776-292d-4148-a414-5bd1d15a3b40,b6a6ec83-b15e-47a1-9bd2-def0fdbe2537,8e561e4b-a106-4d43-93d8-eaf3ae550004
4,test,verb,0,target_verb_att0_opp,[wug],[wugs],roots,root,The lively [wug],The lively [wugs],The lively [wug] roots,The lively [wug] root,The lively [wugs] root,The lively [wugs] roots,7,7,c0cc4c26-7da2-4167-80b9-d228bb24a85b,442e81f5-62cb-47e2-b056-08449e3ec039,baa44b06-09bb-40fb-b21c-b2624a105b3d
5,test,verb,0,target_verb_att0_opp,[wug],[wugs],answers,answer,The round [wug],The round [wugs],The round [wug] answers,The round [wug] answer,The round [wugs] answer,The round [wugs] answers,7,7,0c01ba01-d068-45af-9076-5599a0c95a83,f53b68fb-48ce-46f1-a744-4a24036222c0,dd101367-d56c-4b1b-bbf6-ba78fc982bc3
6,test,verb,0,target_verb_att0_opp,[wug],[wugs],challenges,challenge,The lively [wug],The lively [wugs],The lively [wug] challenges,The lively [wug] challenge,The lively [wugs] challenge,The lively [wugs] challenges,7,7,acadc123-1e15-4205-91af-4e01cc760ac8,2d9b9deb-3b99-4c35-a6e0-0e4dead11168,df2d0f34-2650-407b-81e9-e123be7312da
7,test,verb,0,target_verb_att0_opp,[wug],[wugs],ducks,duck,The restless [wug],The restless [wugs],The restless [wug] ducks,The restless [wug] duck,The restless [wugs] duck,The restless [wugs] ducks,7,7,c9399926-a581-400a-81fc-fd1dcc750faa,2d56cbc4-bd2b-4495-aa8c-5098790a8030,9bb4a822-bce1-424b-8257-28d68efba5b6
8,test,verb,0,target_verb_att0_opp,[wug],[wugs],communicates,communicate,The round [wug],The round [wugs],The round [wug] communicates,The round [wug] communicate,The round [wugs] communicate,The round [wugs] communicates,7,7,2eb00003-327e-4289-add8-89babc2aa7b5,e1397c30-0d70-4b90-b334-4b44dc438941,2e988695-d71b-4db0-9b53-357fc97581fc
9,test,verb,0,target_verb_att0_opp,[wug],[wugs],dashes,dash,The lively [wug],The lively [wugs],The lively [wug] dashes,The lively [wug] dash,The lively [wugs] dash,The lively [wugs] dashes,7,7,e40d9989-4a61-4d24-81c7-4f2df35e2d3a,82e77e18-946e-4397-a501-4b5bcd5c8c3d,0fcc6f3a-a0c3-45f2-9f1c-a3e0be4d2424
10,test,verb,0,target_verb_att0_opp,[wug],[wugs],finds,find,The strange [wug],The strange [wugs],The strange [wug] finds,The strange [wug] find,The strange [wugs] find,The strange [wugs] finds,7,7,846ffcf9-17be-4786-b0f1-195e7fc850d4,f5557674-7e2b-4afe-8a99-68d1328733c9,824cd58f-0c57-4a8e-a48b-ef6a5bc2f2a0
11,test,verb,0,target_verb_att0_opp,[wug],[wugs],banks,bank,The gentle [wug],The gentle [wugs],The gentle [wug] banks,The gentle [wug] bank,The gentle [wugs] bank,The gentle [wugs] banks,7,7,b8837824-0adc-47e1-8fc9-3924dbe4ea1a,49713e6f-276d-4620-89f8-0f9bbe803b73,66899938-1991-4c5d-adfa-896017ddf0dd
12,test,verb,0,target_verb_att0_opp,[wug],[wugs],touches,touch,The shy [wug],The shy [wugs],The shy [wug] touches,The shy [wug] touch,The shy [wugs] touch,The shy [wugs] touches,7,7,43ca128e-64e0-4677-a7dc-58fa7a22cd4d,23e46250-d023-493c-bc0b-f16bf382486c,d6d98944-c205-45e9-a5dd-8aad71c7b6dc
13,test,verb,0,target_verb_att0_opp,[wug],[wugs],sits,sit,The graceful [wug],The graceful [wugs],The graceful [wug] sits,The graceful [wug] sit,The graceful [wugs] sit,The graceful [wugs] sits,7,7,f7e69048-a3dc-4746-90dd-a479c198a46b,9dc21822-071a-4bab-ab52-f053c437e34c,e7a8f6f4-c595-4b50-ba90-9f25a5d71ea5
14,test,verb,0,target_verb_att0_opp,[wug],[wugs],enters,enter,The gentle [wug],The gentle [wugs],The gentle [wug] enters,The gentle [wug] enter,The gentle [wugs] enter,The gentle [wugs] enters,7,7,748e483f-878e-4219-baea-3003d1ec36c0,6d078327-b7ba-4199-b6e0-8b077551daf2,7bb61204-daa1-4248-8b2f-fa21486f0407
15,test,verb,0,target_verb_att0_opp,[wug],[wugs],brushes,brush,The curious [wug],The curious [wugs],The curious [wug] brushes,The curious [wug] brush,The curious [wugs] brush,The curious [wugs] brushes,7,7,d0f10778-1e16-40d7-accc-1f8de4333181,6dd9bbe4-87ec-4e38-be88-072d27006878,5c4b9e80-54fa-4a3d-9dc2-311f155d8b0b
16,test,verb,0,target_verb_att0_opp,[wug],[wugs],threatens,threaten,The spotted [wug],The spotted [wugs],The spotted [wug] threatens,The spotted [wug] threaten,The spotted [wugs] threaten,The spotted [wugs] threatens,7,7,753f3975-6865-4bde-8d13-d4e2a506c2a7,83c1dccf-6d1c-4f23-be6e-c17fbb0eb4b2,d85a009a-d76b-4888-a9cc-ecef12f9450d
17,test,verb,0,target_verb_att0_opp,[wug],[wugs],hops,hop,The clumsy [wug],The clumsy [wugs],The clumsy [wug] hops,The clumsy [wug] hop,The clumsy [wugs] hop,The clumsy [wugs] hops,7,7,5c09ef56-64f4-41f9-8ccc-21a261de7d16,4f351b21-a198-4a84-a039-db35e24f74dd,4123f1f1-147e-4904-920e-d7e540b21bf5
18,test,verb,0,target_verb_att0_opp,[wug],[wugs],raises,raise,The clever [wug],The clever [wugs],The clever [wug] raises,The clever [wug] raise,The clever [wugs] raise,The clever [wugs] raises,7,7,1010b769-ddc1-4a0a-b19a-2a4020defdea,57051eac-6450-4ccf-a5e4-4292dd43e528,b509ee2a-e041-4507-aa0f-5eecaf1e4ed1
19,test,verb,0,target_verb_att0_opp,[wug],[wugs],jumps,jump,The spotted [wug],The spotted [wugs],The spotted [wug] jumps,The spotted [wug] jump,The spotted [wugs] jump,The spotted [wugs] jumps,7,7,0dddbe37-35e6-4e3b-8cd7-6e7015aad460,a514d314-7310-44e8-8bd4-07dceb27a4bb,78e766d7-c338-49c8-8e79-e48a084e9d1e
20,test,verb,0,target_verb_att0_opp,[wug],[wugs],follows,follow,The restless [wug],The restless [wugs],The restless [wug] follows,The restless [wug] follow,The restless [wugs] follow,The restless [wugs] follows,7,7,e6cfa617-baf5-43ee-b5c3-68018d4a5318,dd8ec00b-b227-4a48-a2eb-2ef2845337a1,70d574ba-e7a4-41ce-8b5a-3edb3d8bf9b4
21,test,verb,0,target_verb_att0_opp,[wug],[wugs],shares,share,The clumsy [wug],The clumsy [wugs],The clumsy [wug] shares,The clumsy [wug] share,The clumsy [wugs] share,The clumsy [wugs] shares,7,7,2530ca19-6e4e-4d46-9b60-34a0457e7611,55c45f44-24ad-40da-906f-75590cd646e4,dce50c0f-d384-4691-b1e8-4a624c642fea
22,test,verb,0,target_verb_att0_opp,[wug],[wugs],tastes,taste,The restless [wug],The restless [wugs],The restless [wug] tastes,The restless [wug] taste,The restless [wugs] taste,The restless [wugs] tastes,7,7,6684d19a-caf5-4f11-b3a5-903c56c0a763,6d2878b3-2eb2-49e6-877f-0e18c9bc90dc,84b8ad38-6396-475f-a9d0-21596cc55e4d
23,test,verb,0,target_verb_att0_opp,[wug],[wugs],was,were,The clever [wug],The clever [wugs],The clever [wug] was,The clever [wug] were,The clever [wugs] were,The clever [wugs] was,7,7,ef19c9f0-803f-4f24-8ea7-fc22a4c68bbf,88412626-8376-468b-a6a6-0e1cee8969b1,94fb8849-fb66-4303-a4fc-260834821b7a
24,test,verb,0,target_verb_att0_opp,[wug],[wugs],is,are,The lively [wug],The lively [wugs],The lively [wug] is,The lively [wug] are,The lively [wugs] are,The lively [wugs] is,7,7,6d3ddcce-1f4e-4d12-aa9a-002ad45b0f6d,cc2d5828-0ca4-4b62-bc44-2e9c01a4ed9a,e72554e0-cb24-46ea-aaa0-5030058c7ad5
25,test,verb,0,target_verb_att0_opp,[wug],[wugs],clusters,cluster,The restless [wug],The restless [wugs],The restless [wug] clusters,The restless [wug] cluster,The restless [wugs] cluster,The restless [wugs] clusters,7,7,89d6ab28-1388-4afd-b16a-ed8e866c5953,574e934f-b3c8-46aa-8bc9-40d42b309b33,f3762937-3b5a-417d-99f5-87d62df8c52d
