epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,4,plural,11.4375,12.5625,12.25,0.3125
1,5,singular,10.4375,11.125,14.5,-3.375
1,7,singular,10.75,13.375,12.0625,1.3125
1,8,plural,12.6875,16.25,14.6875,1.5625
1,9,singular,12.75,15.0,17.625,-2.625
1,10,plural,4.5,21.5,18.25,3.25
1,11,singular,2.609375,21.25,18.75,2.5
1,12,plural,1.75,22.375,21.5,0.875
1,14,plural,0.10498046875,20.375,24.375,-4.0
1,15,singular,3.5625,21.375,18.375,3.0
1,16,plural,0.9140625,18.875,23.375,-4.5
1,18,plural,0.78515625,23.875,24.125,-0.25
1,19,singular,1.4140625,23.625,23.875,-0.25
1,21,singular,3.515625,20.5,23.75,-3.25
1,22,plural,9.875,29.25,19.375,9.875
1,23,singular,0.8671875,23.625,23.625,0.0
1,24,plural,1.0,25.375,24.875,0.5
1,25,singular,1.390625,22.75,23.5,-0.75
1,26,plural,0.294921875,25.125,26.25,-1.125
1,27,singular,1.515625,24.5,25.75,-1.25
2,31,singular,0.0238037109375,26.375,20.5,5.875
2,32,plural,3.296875,26.875,23.625,3.25
2,33,singular,2.84375,22.375,25.125,-2.75
2,35,singular,0.07568359375,26.0,23.25,2.75
2,37,singular,0.287109375,28.5,22.25,6.25
2,38,plural,7.53125,29.0,21.5,7.5
2,40,plural,0.193359375,25.625,27.25,-1.625
2,42,plural,0.1904296875,25.125,26.75,-1.625
2,43,singular,0.271484375,26.125,24.375,1.75
2,44,plural,0.0235595703125,21.375,27.5,-6.125
2,49,singular,0.380859375,24.625,23.5,1.125
2,50,plural,0.9140625,26.125,25.75,0.375
2,51,singular,0.095703125,27.75,25.25,2.5
2,52,plural,0.004119873046875,23.5,29.25,-5.75
2,54,plural,0.0223388671875,22.375,27.625,-5.25
2,55,singular,0.796875,25.125,25.25,-0.125
2,56,plural,0.291015625,25.625,26.75,-1.125
2,57,singular,0.1142578125,27.375,22.5,4.875
2,59,singular,0.003814697265625,29.875,22.375,7.5
2,60,plural,0.984375,27.875,27.75,0.125
3,61,singular,1.125,25.75,26.25,-0.5
3,62,plural,0.0107421875,24.625,29.25,-4.625
3,63,singular,0.0108642578125,28.375,23.5,4.875
3,66,plural,0.040771484375,24.5,27.75,-3.25
3,68,plural,0.0208740234375,23.125,28.0,-4.875
3,69,singular,0.0089111328125,27.75,22.125,5.625
3,70,plural,0.0084228515625,24.5,29.375,-4.875
3,72,plural,0.0458984375,25.125,28.25,-3.125
3,73,singular,1.921875,24.375,26.125,-1.75
3,74,plural,9.375,31.375,22.0,9.375
3,75,singular,0.00958251953125,29.5,24.125,5.375
3,76,plural,0.28515625,27.125,28.25,-1.125
3,77,singular,0.027587890625,29.125,25.375,3.75
3,80,plural,0.0927734375,25.5,27.875,-2.375
3,81,singular,0.08154296875,28.0,25.25,2.75
3,82,plural,0.00506591796875,22.0,29.125,-7.125
3,85,singular,0.047119140625,26.625,23.125,3.5
3,87,singular,0.353515625,26.75,25.875,0.875
3,88,plural,0.1044921875,26.375,30.5,-4.125
3,89,singular,0.94921875,28.125,28.0,0.125
4,91,singular,4.839897155761719e-05,34.25,21.75,12.5
4,93,singular,1.811981201171875e-05,34.75,22.0,12.75
4,95,singular,7.05718994140625e-05,33.75,21.125,12.625
4,96,plural,2.140625,27.625,25.625,2.0
4,97,singular,0.08251953125,28.25,25.75,2.5
4,98,plural,0.00396728515625,24.625,30.25,-5.625
4,99,singular,0.00799560546875,28.25,23.25,5.0
4,100,plural,0.1142578125,27.25,29.375,-2.125
4,102,plural,0.0908203125,26.25,28.625,-2.375
4,103,singular,0.1826171875,27.75,26.125,1.625
4,104,plural,0.01007080078125,27.5,33.0,-5.5
4,106,plural,0.0002880096435546875,21.25,32.0,-10.75
4,107,singular,0.1474609375,30.0,27.875,2.125
4,110,plural,0.47265625,27.375,28.0,-0.625
4,113,singular,0.64453125,26.375,26.25,0.125
4,115,singular,0.2080078125,27.75,26.0,1.75
4,116,plural,0.76171875,27.75,27.625,0.125
4,118,plural,1.3125,27.5,26.5,1.0
4,119,singular,0.9921875,25.75,26.25,-0.5
4,120,plural,0.003997802734375,24.625,30.25,-5.625
5,121,singular,1.9140625,25.5,27.25,-1.75
5,122,plural,1.0546875,28.875,28.25,0.625
5,123,singular,0.01092529296875,30.25,25.5,4.75
5,124,plural,0.001983642578125,23.375,30.5,-7.125
5,126,plural,0.01312255859375,25.125,30.25,-5.125
5,128,plural,0.00069427490234375,23.625,31.125,-7.5
5,129,singular,0.0008697509765625,29.875,21.5,8.375
5,133,singular,0.59375,27.0,26.625,0.375
5,134,plural,0.76171875,27.5,27.375,0.125
5,138,plural,0.0012359619140625,24.0,30.875,-6.875
5,139,singular,0.01483154296875,32.25,26.625,5.625
5,141,singular,0.002685546875,31.125,24.75,6.375
5,142,plural,0.000736236572265625,22.375,31.125,-8.75
5,143,singular,0.04638671875,27.125,24.0,3.125
5,144,plural,0.18359375,25.75,27.375,-1.625
5,145,singular,0.003753662109375,29.0,22.75,6.25
5,146,plural,3.814697265625e-05,21.875,33.0,-11.125
5,147,singular,0.01953125,30.375,26.375,4.0
5,148,plural,0.005645751953125,27.125,33.0,-5.875
5,149,singular,0.1845703125,28.0,26.375,1.625
