epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.3175737261772156,0.07091115415096283,67.8213408311208,57.38637949625651,1.078125,1.078125,1.0794202089309692,1.40625,0.1474609375, |  | 쬔 | 곾 | 쬘, |  |  cats | ꡐ | 곂,0.8655462265014648,0.8235294222831726,0.9075630307197571
2,,1.0111178159713745,0.00013685625162906945,29.447273763020835,30.746455891927084,1.078125,1.078125,1.0794202089309692,1.453125,0.09765625,쬔 | 쬘 | 곾 | 죗 | 짘, cats |  |  | ꡐ |  lamps,0.8067227005958557,0.6218487620353699,0.9915966391563416
3,,0.003194869961589575,0.024180613458156586,25.819011052449543,25.498910427093506,1.078125,1.078125,1.0794202089309692,1.4765625,0.06787109375,쬘 | 쬔 | 짘 | 톺 | 곾, cats |  |  |  lamps |  horses,0.8571428656578064,0.848739504814148,0.8655462265014648
4,,0.0026186523027718067,0.01021629013121128,1.888105829556783,1.698077392578125,1.078125,1.078125,1.0794202089309692,1.484375,0.055908203125,쬘 | 쬔 | 짘 | 톺 | , cats |  |  |  lamps |  horses,0.8613445162773132,0.8403361439704895,0.8823529481887817
5,,0.024287456646561623,0.0004689372726716101,12.188902842005094,12.086147435506184,1.0859375,1.078125,1.0794202089309692,1.5234375,0.001983642578125,쬘 | 쯩 | 쬔 |  walls | 톺, cats |  | 两只 |  |  dogs,0.8571428656578064,0.7310924530029297,0.9831932783126831
6,,0.0007543670944869518,0.010882722213864326,1.7777057488759358,1.6309033314387003,1.078125,1.078125,1.0794202089309692,1.53125,-0.0052490234375,쯩 | 쬘 | 쬔 | 톺 | , cats | 两只 |  dogs |  lamps | ,0.8991596698760986,0.848739504814148,0.9495798349380493
7,,0.07977280020713806,0.001965631265193224,0.6378334681193034,0.6170991619427999,1.078125,1.078125,1.0794202089309692,1.5390625,-0.0247802734375,쯩 | 쬘 |  | 쬔 | , cats | 两只 |  dogs |  horses | ,0.8823529481887817,0.8067227005958557,0.9579831957817078
8,,0.0005156283732503653,0.011949616484344006,9.613629864777128,9.515001752972603,1.078125,1.078125,1.0794202089309692,1.578125,-0.06494140625,쯩 | 쬘 | 톺 | 쬔 |  walls, cats | 两只 |  dogs |  horses |  rats,0.8991596698760986,0.8403361439704895,0.9579831957817078
9,,0.06131227687001228,2.2339085262501612e-05,7.522613473484913,7.528323888959131,1.078125,1.078125,1.0794202089309692,1.6015625,-0.10205078125,쯩 | 쬘 | 톺 | 쬔 | , cats | 两只 |  dogs |  horses |  turtles,0.7941176295280457,0.5966386795043945,0.9915966391563416
10,,0.0007099718786776066,0.0013674909714609385,0.6569740664213896,0.535150671005249,1.078125,1.078125,1.0794202089309692,1.609375,-0.1103515625,쯩 | 톺 | 쬘 | 쬔 | , cats | 两只 |  dogs |  horses |  lamps,0.8697478771209717,0.7647058963775635,0.9747899174690247
11,,0.0006012676167301834,0.3629083037376404,5.3724775296946365,5.261198764542739,1.078125,1.078125,1.0794202089309692,1.625,-0.1357421875,쯩 | 쬘 | 쬔 |  | ,两只 |  cats |  dogs |  horses |  rats,0.9075630307197571,0.9663865566253662,0.848739504814148
12,,0.00033737855846993625,0.01578710414469242,12.07732731080614,12.025029755022842,1.078125,1.078125,1.0794202089309692,1.65625,-0.1767578125,쯩 | 쬘 | 쬔 | 톺 | 옭,两只 |  cats |  dogs |  horses | 孩子们,0.924369752407074,0.9159663915634155,0.9327731132507324
