epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,2.66585111618042,0.0006385588785633445,69.07097549438477,69.72994791666666,1.078125,1.078125,1.0794202089309692,1.4296875,0.1259765625, |  |  doors | � | ࡐ, |  | 뵉 | 벘 | 욝,0.5378151535987854,0.13445378839969635,0.9411764740943909
2,,0.3587777018547058,0.0176793672144413,20.812255859375,20.865445963541667,1.078125,1.078125,1.0794202089309692,1.4609375,0.0908203125, |  | � | ࡐ |  doors, |  | 뵉 | 벘 | ﯰ,0.5672268867492676,0.29411765933036804,0.8403361439704895
3,,0.0009991541737690568,0.14779233932495117,25.499417622884113,24.60388043721517,1.078125,1.078125,1.0794202089309692,1.4921875,0.048828125, |  | � | ࡐ | 돝, |  | 뵉 | ﯰ | 벘,0.6092436909675598,0.5882353186607361,0.6302521228790283
4,,0.008354056626558304,1.0463793277740479,6.292849445343018,6.523133029292027,1.078125,1.078125,1.0794202089309692,1.5234375,0.0087890625, |  | � | ࡐ | 돝, |  | ﯰ | ࠍ | 뵉,0.6134454011917114,0.8151260614395142,0.4117647111415863
5,,0.00015280535444617271,0.19712719321250916,23.349539794493467,23.26514115333557,1.078125,1.078125,1.0794202089309692,1.546875,-0.02587890625, |  | � | ࡐ | 돝, |  | ࠍ | 뵉 | ﯰ,0.668067216873169,0.756302535533905,0.5798319578170776
6,,0.09732817113399506,0.001565001206472516,20.448605052630107,20.29104626874129,1.078125,1.0859375,1.0794202089309692,1.59375,-0.08837890625, |  | ࡐ | � | 돝, |  | 两家 | 뵉 | ﯰ,0.668067216873169,0.3361344635486603,1.0
7,,0.0860699862241745,0.0002560141438152641,8.162751739968856,7.93915023803711,1.078125,1.078125,1.0794202089309692,1.6171875,-0.1181640625, |  | ࡐ |  doors | �, |  | 两家 |  двух | 两大,0.6722689270973206,0.3445378243923187,1.0
8,,0.0028052828274667263,0.0003552606503944844,4.792546256165951,4.512601598103841,1.078125,1.078125,1.0794202089309692,1.625,-0.13671875, |  | ᘗ | 🐉 | �,两家 |  |  | 两大 |  двух,0.7605041861534119,0.5462185144424438,0.9747899174690247
9,,0.0008725556544959545,0.0002480988041497767,0.09117890757819017,0.04923655192057292,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1376953125, |  | 🐉 | ᘗ | �,两家 |  двух | 两大 |  | ,0.756302535533905,0.5378151535987854,0.9747899174690247
10,,0.0025399597361683846,0.3550978899002075,5.833204732729549,5.785877831776937,1.078125,1.078125,1.0794202089309692,1.65625,-0.177734375, |  | 🐉 | � | ᘗ,两家 | 两大 |  двух |  deux | _two,0.8571428656578064,0.831932783126831,0.8823529481887817
11,,0.0001491365401307121,0.007041353732347488,8.33100551674138,7.9045287686865775,1.078125,1.078125,1.0794202089309692,1.671875,-0.208984375, |  | 🐉 | � | 돝,两家 | 两大 |  двух |  deux | _two,0.8739495873451233,0.8739495873451233,0.8739495873451233
12,,0.0005271754343993962,0.03169836476445198,6.666480928659439,6.278900195596119,1.078125,1.078125,1.0794202089309692,1.703125,-0.251953125, |  | 🐉 |  dragon | _armor,两家 | 两大 |  двух |  deux | _two,0.8739495873451233,0.8823529481887817,0.8655462265014648
13,,0.0003034409019164741,0.0019018251914530993,5.873136596567929,5.624595947129031,1.078125,1.078125,1.0794202089309692,1.7265625,-0.279296875, |  |  dragon | 🐉 | _armor,两家 |  двух | 两大 |  deux | 两只,0.894957959651947,0.8571428656578064,0.9327731132507324
