epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.1861960887908936,0.005000551231205463,56.49393514335777,63.692220052083336,1.078125,1.0859375,1.0794202089309692,1.4140625,0.142578125, |  | 햏 | ﭴ | ﮀ, |  |  doors | ᗭ | ᐖ,0.5,0.09243697673082352,0.9075630307197571
2,,0.0004925319808535278,2.821082592010498,23.085325368245442,22.497526041666667,1.078125,1.078125,1.0794202089309692,1.4375,0.10888671875, |  |  davidjl | ﮀ | ﮰ, |  |  doors |  dogs | women,0.529411792755127,0.9915966391563416,0.06722689419984818
3,,0.38043099641799927,0.0002781822404358536,26.967456163962684,27.056272268791993,1.078125,1.078125,1.0794202089309692,1.46875,0.06640625, |  | 햏 |  davidjl | 䦃, |  |  dogs |  wolves |  doors,0.6218487620353699,0.2521008551120758,0.9915966391563416
4,,0.005184721201658249,0.0035934268962591887,12.466003008404126,11.716880853970846,1.078125,1.078125,1.0794202089309692,1.5,0.03271484375, |  | 햏 | ﮰ |  davidjl, |  |  dogs |  wolves |  doors,0.8235294222831726,0.6554622054100037,0.9915966391563416
5,,0.015436939895153046,0.2139192521572113,5.936843476692835,5.815080356597901,1.078125,1.078125,1.0794202089309692,1.53125,-0.006378173828125, |  | ﮰ | 옭 |  davidjl, dogs |  |  |  doors |  wolves,0.8823529481887817,0.9411764740943909,0.8235294222831726
6,,0.2540290355682373,8.79974541021511e-05,16.103829087303406,15.236172866821288,1.078125,1.078125,1.0794202089309692,1.5703125,-0.057861328125, |  | ﮰ | 옭 | 햏, dogs |  |  |  wolves |  kittens,0.7226890921592712,0.45378151535987854,0.9915966391563416
7,,0.0024698481429368258,0.001338477712124586,1.275772100687027,1.0609853511055312,1.078125,1.078125,1.0794202089309692,1.578125,-0.0703125, |  | ﮰ | 옭 | 햏, dogs |  |  |  wolves |  cats,0.8907563090324402,0.7983193397521973,0.9831932783126831
8,,1.7582076907274313e-05,1.6012699604034424,9.518151611710588,9.518400698954187,1.078125,1.078125,1.0794202089309692,1.625,-0.130859375, |  | 🐉 | 옭 | ﮰ, dogs |  wolves |  cats |  kittens | women,0.831932783126831,0.9579831957817078,0.7058823704719543
9,,1.9608956790762022e-05,0.5937052965164185,8.021141608556112,7.753263349681137,1.078125,1.0859375,1.0794202089309692,1.640625,-0.1533203125, |  | 🐉 | ﮰ | 옭, dogs |  wolves |  cats |  kittens |  двух,0.8823529481887817,0.9495798349380493,0.8151260614395142
10,,0.020183272659778595,0.00046754590584896505,11.006146039371378,11.09069448604126,1.078125,1.078125,1.0794202089309692,1.65625,-0.1865234375, |  | 🐉 | ﮰ | 옭, dogs |  двух |  cats |  kittens |  wolves,0.8781512379646301,0.7815126180648804,0.9747899174690247
11,,6.174979262141278e-06,0.27278169989585876,1.0500064692644324,0.9986711910925805,1.078125,1.078125,1.0794202089309692,1.671875,-0.2001953125, |  | 🐉 | ﮰ | 옭, dogs |  двух |  cats |  wolves |  kittens,0.9117646813392639,0.9159663915634155,0.9075630307197571
