epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.00890885479748249,0.8650282621383667,61.17143809000651,73.90859476725261,1.078125,1.078125,1.0794202089309692,1.4453125,0.107421875, |  |  phones | 늚 | 쓺, cars |  |  |  birds |  cows,0.5462185144424438,0.9159663915634155,0.1764705926179886
2,,0.008650274947285652,0.10985350608825684,26.69541015625,28.576534016927084,1.078125,1.078125,1.0794202089309692,1.46875,0.0732421875, |  | 늚 | 쓺 | �, cars |  birds |  |  |  cows,0.5966386795043945,0.9159663915634155,0.27731093764305115
3,,0.012492170557379723,0.0645468533039093,12.50212520758311,12.44065589904785,1.078125,1.078125,1.0794202089309692,1.4921875,0.039306640625, |  | 늚 | � | 쓺, cars |  birds |  |  cows | ,0.7100840210914612,0.831932783126831,0.5882353186607361
4,,0.013477195985615253,0.011444205418229103,9.587646230061848,9.651129885514576,1.0859375,1.078125,1.0794202089309692,1.515625,0.017822265625, |  | 늚 | 쓺 | �, birds |  cars |  cows |  | ,0.7100840210914612,0.7226890921592712,0.6974790096282959
5,,0.10907876491546631,0.00023818353656679392,1.2281575640042623,1.216313914457957,1.078125,1.078125,1.0794202089309692,1.5234375,0.003692626953125, |  | 늚 | _GATE | 쓺, birds |  cars |  cows |  | ,0.6974790096282959,0.5378151535987854,0.8571428656578064
6,,0.025622699409723282,0.0006562435301020741,9.063461482524872,8.875327014923096,1.078125,1.0859375,1.0794202089309692,1.546875,-0.0245361328125, |  | _GATE | 늚 | 쓺, birds |  cars |  cows |  cats | ,0.7605041861534119,0.6638655662536621,0.8571428656578064
7,,6.115299584052991e-06,2.605410099029541,3.6171335607767103,3.4762715339660644,1.078125,1.078125,1.0794202089309692,1.5625,-0.053955078125, |  | 늚 | _GATE | �, birds |  cars |  cows |  cats |  dogs,0.7773109078407288,0.9579831957817078,0.5966386795043945
8,,0.7762353420257568,4.0131446439772844e-05,13.880377777502872,13.909679666316757,1.078125,1.078125,1.0794202089309692,1.609375,-0.1064453125, |  | _GATE |  gates | 늚, birds |  cars |  cats |  cows | 两只,0.7100840210914612,0.4789915978908539,0.9411764740943909
9,,0.00023104269348550588,0.013507875613868237,10.495956880847672,10.088382720947266,1.078125,1.0859375,1.0794202089309692,1.640625,-0.1533203125, |  | 늚 | _GATE |  lizard, birds |  cars | 两只 |  два |  cats,0.8445377945899963,0.9579831957817078,0.7310924530029297
10,,0.0005954906810075045,0.0019123749807476997,0.17261969005630817,0.21065224210421243,1.078125,1.078125,1.0794202089309692,1.6328125,-0.1533203125, |  | 늚 | _GATE |  lizard, birds |  cars | 两只 |  два |  cats,0.8613445162773132,0.9411764740943909,0.7815126180648804
11,,0.0008312122663483024,0.00030066174804233015,0.07413720649395449,0.07346398830413818,1.078125,1.078125,1.0794202089309692,1.640625,-0.1552734375, |  | 늚 | _GATE |  lizard, birds |  cars | 两只 |  два |  cats,0.8445377945899963,0.8907563090324402,0.7983193397521973
12,,1.2159053767391015e-05,0.4542606472969055,10.0780581236756,9.969996809959412,1.078125,1.078125,1.0794202089309692,1.671875,-0.203125, |  |  lizard | 늚 | 쓺, birds |  два | 两只 |  cars |  две,0.8025209903717041,0.924369752407074,0.680672287940979
13,,0.0020450479350984097,0.0004655667580664158,0.7857481003341188,0.9134892366826535,1.078125,1.078125,1.0794202089309692,1.6796875,-0.2138671875, |  |  lizard |  dragon | _GATE, birds | 两只 |  два |  две |  cars,0.8697478771209717,0.8739495873451233,0.8655462265014648
