epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,15.6875,9.1875,12.6875,-3.5
1,2,plural,16.375,17.375,12.875,4.5
1,3,singular,17.125,12.75,13.5,-0.75
1,4,plural,13.375,7.03125,11.625,-4.59375
1,5,singular,9.5,15.5625,13.9375,1.625
1,6,plural,5.90625,20.25,20.0,0.25
1,7,singular,5.5625,19.5,13.625,5.875
1,8,plural,4.09375,25.75,24.5,1.25
1,9,singular,17.25,7.46875,13.5,-6.03125
1,10,plural,0.0089111328125,27.375,33.5,-6.125
1,11,singular,4.5625,19.5,13.0625,6.4375
1,12,plural,1.296875,25.875,25.5,0.375
1,13,singular,3.4375,23.75,27.125,-3.375
1,14,plural,1.1171875,23.875,24.0,-0.125
1,15,singular,1.1328125,23.5,20.0,3.5
1,16,plural,1.9453125,26.0,24.5,1.5
1,17,singular,7.25,30.25,37.5,-7.25
1,18,plural,1.703125,28.625,27.125,1.5
1,19,singular,0.00164794921875,31.0,23.625,7.375
1,20,plural,0.1494140625,23.375,28.375,-5.0
1,21,singular,0.000926971435546875,37.5,30.375,7.125
1,22,plural,0.00103759765625,27.25,34.75,-7.5
1,23,singular,0.1083984375,28.75,26.25,2.5
1,24,plural,2.15625,18.625,25.125,-6.5
1,25,singular,0.0030670166015625,30.875,22.125,8.75
1,26,plural,0.00019931793212890625,24.5,33.25,-8.75
1,27,singular,0.00176239013671875,38.25,31.875,6.375
1,28,plural,0.91015625,27.0,30.5,-3.5
1,29,singular,3.015625,21.875,18.25,3.625
1,30,plural,6.5,41.25,34.75,6.5
2,31,singular,15.75,30.25,46.0,-15.75
2,32,plural,5.960464477539062e-07,23.5,39.0,-15.5
2,33,singular,0.3515625,30.5,29.625,0.875
2,34,plural,0.00018405914306640625,26.875,35.5,-8.625
2,35,singular,0.00010633468627929688,33.25,20.875,12.375
2,36,plural,0.0032958984375,25.375,32.5,-7.125
2,37,singular,0.00150299072265625,41.25,34.75,6.5
2,38,plural,0.003875732421875,25.875,31.75,-5.875
2,39,singular,0.00150299072265625,41.25,34.75,6.5
2,40,plural,3.4332275390625e-05,29.375,39.75,-10.375
2,41,singular,8.153915405273438e-05,34.25,18.0,16.25
2,42,plural,6.5,41.25,34.75,6.5
2,43,singular,0.484375,25.5,23.75,1.75
2,44,plural,1.1920928955078125e-07,30.625,46.5,-15.875
2,45,singular,3.6875,26.875,29.75,-2.875
2,46,plural,3.528594970703125e-05,26.25,36.75,-10.5
2,47,singular,0.00064849853515625,34.5,27.125,7.375
2,48,plural,0.000701904296875,28.75,38.25,-9.5
2,49,singular,6.246566772460938e-05,35.0,24.25,10.75
2,50,plural,5.841255187988281e-05,34.5,44.25,-9.75
2,51,singular,5.960464477539062e-07,41.75,27.375,14.375
2,52,plural,1.1920928955078125e-07,26.125,42.0,-15.875
2,53,singular,0.000640869140625,33.5,25.75,7.75
2,54,plural,5.173683166503906e-05,28.125,38.0,-9.875
2,55,singular,0.000591278076171875,33.5,25.625,7.875
2,56,plural,0.0001811981201171875,28.375,37.25,-8.875
2,57,singular,0.0159912109375,29.875,25.5,4.375
2,58,plural,8.225440979003906e-06,28.0,41.25,-13.25
2,59,singular,0.00055694580078125,36.5,29.0,7.5
2,60,plural,1.430511474609375e-06,25.875,40.0,-14.125
3,61,singular,0.0038299560546875,35.5,24.0,11.5
3,62,plural,5.841255187988281e-05,34.5,44.25,-9.75
3,63,singular,6.9141387939453125e-06,36.75,18.875,17.875
3,64,plural,0.0001811981201171875,28.375,37.25,-8.875
3,65,singular,0.000545501708984375,33.5,25.5,8.0
3,66,plural,5.841255187988281e-05,34.5,44.25,-9.75
3,67,singular,0.00015163421630859375,33.5,20.25,13.25
3,68,plural,0.00052642822265625,25.875,33.75,-7.875
3,69,singular,3.361701965332031e-05,34.5,22.125,12.375
3,70,plural,5.841255187988281e-05,34.5,44.25,-9.75
3,71,singular,0.000591278076171875,33.5,25.625,7.875
3,72,plural,1.430511474609375e-06,25.875,40.0,-14.125
3,73,singular,0.00055694580078125,36.5,29.0,7.5
3,74,plural,5.173683166503906e-05,28.125,38.0,-9.875
3,75,singular,9.75,34.5,44.25,-9.75
3,76,plural,1.40625,32.75,31.625,1.125
3,77,singular,0.0,48.25,30.125,18.125
3,78,plural,8.344650268554688e-07,26.875,41.25,-14.375
3,79,singular,0.0,44.5,24.5,20.0
3,80,plural,3.218650817871094e-05,30.375,40.75,-10.375
3,81,singular,0.0,48.25,30.125,18.125
3,82,plural,8.869171142578125e-05,29.625,39.5,-9.875
3,83,singular,1.1920928955078125e-06,38.5,20.625,17.875
3,84,plural,0.004119873046875,30.125,36.75,-6.625
3,85,singular,2.2411346435546875e-05,36.75,25.375,11.375
3,86,plural,0.00250244140625,26.625,33.25,-6.625
3,87,singular,8.344650268554688e-07,38.25,23.375,14.875
3,88,plural,1.1920928955078125e-07,24.375,40.25,-15.875
3,89,singular,0.002044677734375,31.125,24.25,6.875
3,90,plural,1.4781951904296875e-05,25.75,37.25,-11.5
4,91,singular,8.344650268554688e-07,38.25,23.375,14.875
4,92,plural,0.004119873046875,30.125,36.75,-6.625
4,93,singular,2.0384788513183594e-05,35.5,18.375,17.125
4,94,plural,18.125,48.25,30.125,18.125
4,95,singular,5.0067901611328125e-05,34.75,20.625,14.125
4,96,plural,0.0,22.75,43.5,-20.75
4,97,singular,6.25,28.0,34.25,-6.25
4,98,plural,9.5367431640625e-07,23.875,39.25,-15.375
4,99,singular,0.00018405914306640625,34.25,24.875,9.375
4,100,plural,0.00396728515625,27.0,33.0,-6.0
4,101,singular,2.384185791015625e-07,42.25,26.75,15.5
4,102,plural,0.97265625,39.5,39.0,0.5
4,103,singular,0.0006561279296875,32.25,24.375,7.875
4,104,plural,5.412101745605469e-05,24.5,35.25,-10.75
4,105,singular,0.1162109375,30.625,28.5,2.125
4,106,plural,0.0,22.75,43.25,-20.5
4,107,singular,0.00811767578125,34.75,24.875,9.875
4,108,plural,4.76837158203125e-07,23.875,41.75,-17.875
4,109,singular,0.10009765625,34.0,31.75,2.25
4,110,plural,3.5762786865234375e-07,25.0,44.25,-19.25
4,111,singular,1.7881393432617188e-05,36.0,23.25,12.75
4,112,plural,3.5762786865234375e-07,24.75,39.75,-15.0
4,113,singular,17.0,30.75,47.75,-17.0
4,114,plural,1.2278556823730469e-05,28.375,39.75,-11.375
4,115,singular,2.2649765014648438e-06,45.75,32.75,13.0
4,116,plural,13.0,45.75,32.75,13.0
4,117,singular,0.0026397705078125,31.0,24.5,6.5
4,118,plural,0.0,21.875,43.0,-21.125
4,119,singular,12.0,33.25,45.25,-12.0
4,120,plural,0.00055694580078125,31.75,39.25,-7.5
5,121,singular,6.0558319091796875e-05,34.0,21.5,12.5
5,122,plural,0.00022029876708984375,30.25,39.0,-8.75
5,123,singular,2.765655517578125e-05,44.5,34.0,10.5
5,124,plural,10.5,44.5,34.0,10.5
5,125,singular,3.743171691894531e-05,35.5,23.875,11.625
5,126,plural,1.7881393432617188e-06,25.125,40.5,-15.375
5,127,singular,7.62939453125e-06,36.75,22.375,14.375
5,128,plural,0.0026702880859375,26.75,33.25,-6.5
5,129,singular,12.0,33.25,45.25,-12.0
