epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.1480060815811157,7.123499870300293,68.44583333333334,53.69709006100893,1.4453125,1.453125,1.4494974613189697,1.9375,0.1083984375, chairs |  doors |  cats |  gates |  roads, cats |  cows |  chickens |  floors |  birds,0.5,0.9915966391563416,0.008403361774981022
2,,0.4534057080745697,2.5602540969848633,57.86875,50.77621663411458,1.453125,1.4453125,1.4494974613189697,1.9375,0.10888671875, chairs |  doors |  gates |  cats |  roads, cats |  cows |  chickens |  dogs |  rabbits,0.49159663915634155,0.9663865566253662,0.016806723549962044
3,,0.5726774334907532,0.5433685183525085,41.485416666666666,37.44894205729167,1.453125,1.453125,1.4494974613189697,1.9375,0.1083984375, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  chickens |  rabbits,0.5252100825309753,0.8991596698760986,0.15126051008701324
4,,0.31088632345199585,0.2618972659111023,31.107291666666665,28.621875,1.4453125,1.453125,1.4494974613189697,1.9296875,0.10986328125, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  rabbits |  chickens,0.5630252361297607,0.8991596698760986,0.22689075767993927
5,,0.18684926629066467,0.16417083144187927,25.501041666666666,25.096614583333334,1.453125,1.453125,1.4494974613189697,1.9375,0.10595703125, chairs |  doors |  gates |  roads |  cats, cats |  cows |  dogs |  rabbits |  chickens,0.5714285969734192,0.8991596698760986,0.24369747936725616
6,,0.22231033444404602,0.0761043131351471,24.294791666666665,23.998958333333334,1.453125,1.453125,1.4494974613189697,1.9453125,0.09912109375, chairs |  doors |  gates |  roads | 貓, cats |  cows |  dogs |  rabbits |  chickens,0.575630247592926,0.8655462265014648,0.2857142984867096
7,,0.18515078723430634,0.10227952152490616,20.309375,19.227473958333334,1.453125,1.453125,1.4494974613189697,1.953125,0.09375, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.5672268867492676,0.8739495873451233,0.26050421595573425
8,,0.30121856927871704,0.02492655999958515,13.852799479166666,13.397265625,1.4453125,1.453125,1.4494974613189697,1.953125,0.0888671875, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.5840336084365845,0.8403361439704895,0.32773110270500183
9,,0.053802601993083954,0.13127517700195312,12.949609375,12.61015625,1.4453125,1.453125,1.4494974613189697,1.9609375,0.0869140625, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.5966386795043945,0.924369752407074,0.2689075767993927
10,,0.05827220156788826,0.09111849963665009,13.364599609375,13.1947265625,1.453125,1.4453125,1.4494974613189697,1.96875,0.080078125, doors |  chairs |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.6218487620353699,0.9159663915634155,0.32773110270500183
11,,0.08519072085618973,0.032501719892024994,8.787890625,8.6546875,1.453125,1.453125,1.4494974613189697,1.96875,0.07421875, doors |  chairs |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.6470588445663452,0.8991596698760986,0.3949579894542694
12,,0.21083717048168182,0.012284466996788979,10.4708984375,10.330859375,1.4453125,1.453125,1.4494974613189697,1.984375,0.064453125, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7100840210914612,0.8907563090324402,0.529411792755127
13,,0.07912243157625198,0.02911461889743805,9.724186197916667,9.599430338541667,1.453125,1.453125,1.4494974613189697,1.984375,0.060546875, chairs |  doors |  gates |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7058823704719543,0.8907563090324402,0.5210084319114685
14,,0.05576492100954056,0.02935275062918663,7.215364583333334,7.236848958333334,1.453125,1.453125,1.4494974613189697,1.9921875,0.0556640625, doors |  gates |  chairs |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7142857313156128,0.8907563090324402,0.5378151535987854
15,,0.053531646728515625,0.027751659974455833,8.518326822916666,8.387630208333333,1.453125,1.453125,1.4494974613189697,2.0,0.049072265625, doors |  gates |  chairs |  roads | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.756302535533905,0.8991596698760986,0.6134454011917114
16,,0.10417590290307999,0.01759186014533043,6.671476236979166,6.561018880208334,1.4453125,1.453125,1.4494974613189697,2.0,0.044677734375, chairs |  doors |  roads |  gates | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7815126180648804,0.8739495873451233,0.6890756487846375
17,,0.0941145047545433,0.015143873170018196,5.841902669270834,5.851163736979166,1.4453125,1.4453125,1.4494974613189697,2.0,0.03759765625, doors |  gates |  roads |  chairs | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7689075469970703,0.8403361439704895,0.6974790096282959
18,,0.03524566441774368,0.028381317853927612,7.93309326171875,7.8439697265625,1.453125,1.4453125,1.4494974613189697,2.015625,0.031982421875, roads |  doors |  chairs |  gates | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.7857142686843872,0.8739495873451233,0.6974790096282959
19,,0.2874199450016022,0.0027611632831394672,5.132755533854167,5.111702473958333,1.453125,1.453125,1.4494974613189697,2.03125,0.0234375, roads |  doors |  chairs |  gates | 貓, cats |  cows |  rabbits |  dogs |  chickens,0.819327712059021,0.8235294222831726,0.8151260614395142
