epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,7.90625,17.0,12.9375,4.0625
1,2,plural,9.4375,22.25,13.375,8.875
1,4,plural,17.25,17.875,10.9375,6.9375
1,5,singular,5.03125,17.375,11.6875,5.6875
1,6,plural,10.6875,19.75,13.0,6.75
1,7,singular,0.54296875,22.125,15.6875,6.4375
1,8,plural,9.25,20.125,15.625,4.5
1,9,singular,3.75,20.5,15.4375,5.0625
1,12,plural,7.5,22.375,16.125,6.25
1,13,singular,2.3125,22.0,16.875,5.125
1,18,plural,7.5625,25.125,17.625,7.5
1,19,singular,0.21875,23.0,17.5,5.5
1,20,plural,5.4375,24.125,18.875,5.25
1,21,singular,1.6328125,22.375,19.5,2.875
1,22,plural,4.6875,21.0,19.125,1.875
1,25,singular,7.90625,19.875,19.5,0.375
1,26,plural,2.90625,24.5,21.75,2.75
1,27,singular,1.84375,21.375,21.625,-0.25
1,28,plural,2.34375,24.5,22.375,2.125
1,29,singular,1.59375,21.5,21.625,-0.125
2,31,singular,0.5703125,23.0,21.125,1.875
2,32,plural,1.4140625,24.25,23.375,0.875
2,33,singular,2.5625,22.875,23.5,-0.625
2,35,singular,0.13671875,26.25,23.0,3.25
2,36,plural,0.93359375,22.875,23.625,-0.75
2,37,singular,0.1943359375,26.25,23.875,2.375
2,39,singular,0.61328125,23.625,23.0,0.625
2,41,singular,0.049560546875,27.25,23.375,3.875
2,42,plural,0.734375,23.75,24.375,-0.625
2,43,singular,1.328125,24.75,25.75,-1.0
2,44,plural,4.90625,26.25,23.5,2.75
2,45,singular,0.62890625,25.0,24.75,0.25
2,46,plural,1.8125,26.75,25.125,1.625
2,47,singular,0.50390625,24.625,24.125,0.5
2,50,plural,0.70703125,26.0,26.0,0.0
2,51,singular,1.8671875,25.25,25.125,0.125
2,52,plural,0.478515625,26.625,27.125,-0.5
2,56,plural,0.1474609375,25.75,27.625,-1.875
2,58,plural,0.8515625,27.0,26.875,0.125
2,60,plural,0.09375,24.875,27.25,-2.375
3,63,singular,3.125,25.0,26.75,-1.75
3,67,singular,0.267578125,26.5,25.25,1.25
3,68,plural,0.6640625,27.5,27.625,-0.125
3,70,plural,0.045654296875,25.75,28.875,-3.125
3,71,singular,0.265625,28.25,27.0,1.25
3,72,plural,1.3359375,28.5,27.75,0.75
3,73,singular,0.84375,25.875,26.125,-0.25
3,74,plural,0.06689453125,24.625,27.625,-3.0
3,77,singular,0.482421875,25.75,25.25,0.5
3,79,singular,0.103515625,27.5,25.25,2.25
3,80,plural,0.63671875,26.875,27.0,-0.125
3,81,singular,0.2099609375,28.375,26.875,1.5
3,82,plural,0.142578125,25.75,27.75,-2.0
3,83,singular,0.0986328125,28.75,26.375,2.375
3,84,plural,0.0634765625,26.0,28.75,-2.75
3,86,plural,0.0498046875,25.875,28.875,-3.0
3,87,singular,0.91796875,25.75,26.125,-0.375
3,88,plural,0.98046875,27.0,26.5,0.5
3,89,singular,0.71484375,27.0,26.875,0.125
3,90,plural,0.478515625,26.5,27.0,-0.5
