epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,26.38126564025879,0.0,58.891919962565105,61.14241338862727,1.4453125,1.453125,1.4494974613189697,2.609375,-0.61328125, necesario | necessary |  информации | perfect | missing,两只 |  two | 两个 |  twins | 两位,0.5,0.0,1.0
2,,3.6715814530907664e-06,9.852373123168945,55.17320010177804,53.469267393105355,1.4453125,1.453125,1.4494974613189697,2.6875,-0.7265625, creature | 🐉 | 🐊 | 🐲 | 🦐,两只 |  two | 两个 | 俩 | 这两个,0.6008403301239014,0.38655462861061096,0.8151260614395142
3,,8.812579154968262,0.3975563645362854,50.323254402230894,46.860275449107135,1.453125,1.4453125,1.4494974613189697,2.796875,-0.8515625, creature |  animal | 🐲 |  ApiException |  naam,两只 | 两个 |  two | 俩 |  beiden,0.5,0.0,1.0
4,,0.3780948221683502,1.038961410522461,45.492751382345645,37.310292915503304,1.453125,1.453125,1.4494974613189697,2.6875,-0.7109375, creature |  perfect | perfect |  Creature | missing,两个 |  two | 两只 | two |  beiden,0.5420168042182922,0.10084033757448196,0.9831932783126831
5,,3.71055269241333,0.31765520572662354,25.507984456548,26.110338582839663,1.453125,1.453125,1.4494974613189697,2.640625,-0.66015625, creature | 🐲 | creature |  Creature | 🐉,两个 |  two | 俩 | 两只 | 兩個,0.5462185144424438,0.15126051008701324,0.9411764740943909
6,,1.3741179704666138,1.1038312911987305,59.25772705079319,59.103268447518346,1.453125,1.4453125,1.4494974613189697,2.796875,-0.87109375, creature | 🐲 |  animal | 🐉 |  Creature,两个 |  two | 两只 | two | 兩個,0.529411792755127,0.05882352963089943,1.0
7,,6.693729400634766,0.009250929579138756,45.334464518950945,54.896072453260444,1.453125,1.453125,1.4494974613189697,2.703125,-0.734375, creature | 🐲 | 🐉 | 🐊 | <unk, two | 两只 | 两个 | Two | two,0.605042040348053,0.2689075767993927,0.9411764740943909
8,,31.277359008789062,0.0,56.89003906253044,64.7479644775441,1.4453125,1.453125,1.4494974613189697,2.71875,-0.76171875, creature |  monster |  stats | 的因素 | 鳞,两个 | 两只 |  two | 两位 | two,0.5,0.0,1.0
9,,15.631540298461914,0.00022112713486421853,61.294273122151694,64.89156446456909,1.453125,1.453125,1.4494974613189697,2.6875,-0.7109375, creature | 🐉 |  Creature | 五行 | 者の, two | 两只 | 两个 |  Two | two,0.4957983195781708,0.0,0.9915966391563416
10,,0.9134416580200195,7.195218563079834,46.49452078342582,46.26081288731275,1.453125,1.453125,1.4494974613189697,2.78125,-0.83984375,🐉 | 🐲 |  creature | 🐊 | 🦎, two | 两只 | 两个 |  Two | two,0.6428571343421936,0.4789915978908539,0.8067227005958557
11,,2.7949748039245605,0.024366924539208412,49.995165010976294,53.52164104247569,1.4453125,1.453125,1.4494974613189697,2.71875,-0.7578125, creature | 鳞 | creature | 🐲 |  Creature,两只 |  two | 两个 | 这两个 | two,0.651260495185852,0.3361344635486603,0.9663865566253662
