epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.7809760004282,6.353456974029541,1.4776794910430908,79.77274564107259,79.15385144551595,1.4609375,1.453125,1.4494974613189697,1.890625,0.1591796875, [wugs] |  chair |  chairs |  dogs |  birds, [wug] |  chair |  dogs |  birds |  chairs,0.6638655662536621,0.32773110270500183,1.0
2,2.450642133007447,1.2550337314605713,0.5761076807975769,69.40458984375,45.0397705078125,1.4765625,1.4609375,1.4494974613189697,1.8984375,0.1669921875, [wugs] |  chair |  dogs |  book |  chairs, [wug] |  chair |  dogs |  birds |  chairs,0.8781512379646301,0.756302535533905,1.0
3,0.7938480966414014,0.5299279689788818,0.07946950942277908,52.295833333333334,32.1748046875,1.484375,1.46875,1.4494974613189697,1.90625,0.1689453125, [wugs] |  chair |  book |  dogs |  dog, [wug] |  birds |  chair |  dogs |  chairs,0.8865545988082886,0.8067227005958557,0.9663865566253662
4,0.45668602544659126,0.506496787071228,0.035647038370370865,33.76904296875,29.45625,1.484375,1.4765625,1.4494974613189697,1.90625,0.16796875, [wugs] |  chair |  book |  dog |  dogs, [wug] |  birds |  dogs |  chair |  trees,0.9033613204956055,0.831932783126831,0.9747899174690247
5,0.36579512833074357,0.023437054827809334,0.607770562171936,23.134114583333332,21.102693684895833,1.4921875,1.46875,1.4494974613189697,1.9140625,0.1669921875, [wugs] |  chair |  book |  dog |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.8991596698760986,0.8823529481887817,0.9159663915634155
6,0.5073045058874414,0.036331888288259506,0.44495218992233276,31.240055338541666,30.4096923828125,1.4921875,1.46875,1.4494974613189697,1.9140625,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9159663915634155,0.8823529481887817,0.9495798349380493
7,0.43505276494737094,0.051157597452402115,0.35269370675086975,28.922981770833335,28.501070149739583,1.4921875,1.46875,1.4494974613189697,1.9140625,0.1669921875, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9117646813392639,0.8655462265014648,0.9579831957817078
8,0.3421414482931141,0.3965655267238617,0.03787655755877495,19.048687744140626,18.333846028645834,1.4921875,1.4765625,1.4494974613189697,1.9140625,0.1650390625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9159663915634155,0.8571428656578064,0.9747899174690247
9,0.4431355650905365,0.02510184608399868,0.4840337336063385,25.360504150390625,24.995758056640625,1.4921875,1.4765625,1.4494974613189697,1.921875,0.1640625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9075630307197571,0.8739495873451233,0.9411764740943909
10,0.409330383988951,0.016279369592666626,0.575151801109314,21.479178873697915,21.14742635091146,1.5,1.4765625,1.4494974613189697,1.921875,0.1630859375, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9201680421829224,0.8823529481887817,0.9579831957817078
11,0.3341501718464618,0.01604423299431801,0.5725716352462769,21.503125,21.21533711751302,1.5,1.4765625,1.4494974613189697,1.921875,0.162109375, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.924369752407074,0.8907563090324402,0.9579831957817078
12,0.4607840703431672,0.3908587694168091,0.03498490899801254,25.68222910563151,25.40958251953125,1.4921875,1.4765625,1.4494974613189697,1.921875,0.1630859375, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.924369752407074,0.8655462265014648,0.9831932783126831
13,0.2944035131697698,0.017867131158709526,0.5274301767349243,17.151505025227866,16.85284423828125,1.5,1.4765625,1.4494974613189697,1.9296875,0.16015625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  dogs |  birds |  chair |  chairs,0.9159663915634155,0.8907563090324402,0.9411764740943909
14,0.4161789043205014,0.4764586091041565,0.022638821974396706,24.560923258463543,24.444779459635416,1.4921875,1.484375,1.4494974613189697,1.9296875,0.16015625, [wugs] |  chair |  dog |  book |  dogs, [wug] |  birds |  dogs |  chair |  chairs,0.9117646813392639,0.8571428656578064,0.9663865566253662
15,0.2689284023275832,0.6181014180183411,0.011104466393589973,12.708308919270833,12.62236328125,1.4921875,1.484375,1.4494974613189697,1.9296875,0.1591796875, [wugs] |  chair |  dog |  book |  dogs, birds |  [wug] |  dogs |  chair |  chairs,0.9285714030265808,0.8655462265014648,0.9915966391563416
16,0.27880556572781645,0.007512780372053385,0.7130563259124756,16.232084147135417,16.063236490885416,1.5,1.4765625,1.4494974613189697,1.9375,0.1572265625, [wugs] |  chair |  dog |  book |  dogs, dogs |  birds |  [wug] |  chair |  chairs,0.924369752407074,0.8991596698760986,0.9495798349380493
17,0.4290854402119294,0.3052523732185364,0.05224813520908356,24.36964340209961,24.202787272135417,1.5,1.484375,1.4494974613189697,1.9375,0.1572265625, [wugs] |  chair |  dog |  book |  dogs, birds |  dogs |  [wug] |  chair |  chairs,0.9369747638702393,0.8907563090324402,0.9831932783126831
