epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,5.96875,21.75,22.125,-0.375
1,2,plural,20.5,26.375,5.96875,20.40625
1,3,singular,2.384185791015625e-07,42.75,6.75,36.0
1,4,plural,10.875,27.25,20.875,6.375
1,5,singular,3.5762786865234375e-07,42.5,26.125,16.375
1,6,plural,16.375,42.5,26.125,16.375
1,7,singular,51.0,9.1875,60.25,-51.0625
1,8,plural,9.179115295410156e-06,22.75,39.75,-17.0
1,9,singular,14.375,14.875,29.25,-14.375
1,10,plural,1.703125,29.375,27.875,1.5
1,11,singular,13.3125,11.4375,24.375,-12.9375
1,12,plural,0.0008544921875,21.875,31.0,-9.125
1,13,singular,3.266334533691406e-05,37.0,9.4375,27.5625
1,14,plural,2.25,30.0,27.875,2.125
1,15,singular,6.03125,24.125,30.0,-5.875
1,16,plural,7.25,40.5,33.25,7.25
1,17,singular,0.000762939453125,31.375,21.875,9.5
1,18,plural,0.0,17.5,48.5,-31.0
1,19,singular,16.125,19.125,35.25,-16.125
1,20,plural,2.384185791015625e-07,20.375,47.0,-26.625
1,21,singular,2.384185791015625e-07,41.5,18.25,23.25
1,22,plural,0.0,21.0,54.25,-33.25
1,23,singular,0.0,58.75,-1.6875,60.4375
1,24,plural,0.0,14.9375,56.0,-41.0625
1,25,singular,2.384185791015625e-06,37.75,11.8125,25.9375
1,26,plural,8.0,33.0,25.0,8.0
1,27,singular,0.004180908203125,32.25,26.5,5.75
1,28,plural,0.0,9.1875,54.0,-44.8125
1,29,singular,0.234375,27.375,23.75,3.625
1,30,plural,0.0,3.984375,78.0,-74.015625
2,31,singular,0.0,41.0,20.375,20.625
2,32,plural,0.0,12.3125,58.75,-46.4375
2,33,singular,0.0,47.75,12.0,35.75
2,34,plural,0.0,3.984375,78.0,-74.015625
2,35,singular,74.0,3.984375,78.0,-74.015625
2,36,plural,0.0,34.25,53.0,-18.75
2,37,singular,0.0,88.0,-6.65625,94.65625
2,38,plural,0.0181884765625,31.25,35.25,-4.0
2,39,singular,0.0,68.0,-7.9375,75.9375
2,40,plural,53.5,67.0,13.5,53.5
2,41,singular,1.633167266845703e-05,39.0,27.75,11.25
2,42,plural,0.0,0.9140625,59.25,-58.3359375
2,43,singular,0.08251953125,28.375,25.5,2.875
2,44,plural,0.0,7.3125,56.5,-49.1875
2,45,singular,1.2040138244628906e-05,38.0,18.125,19.875
2,46,plural,0.0,16.625,66.0,-49.375
2,47,singular,63.0,9.4375,72.5,-63.0625
2,48,plural,0.055908203125,27.875,30.75,-2.875
2,49,singular,0.0,58.25,4.875,53.375
2,50,plural,0.01177978515625,37.25,41.75,-4.5
2,51,singular,0.0,78.0,-8.125,86.125
2,52,plural,0.0,24.375,43.5,-19.125
2,53,singular,0.0,57.75,-5.4375,63.1875
2,54,plural,56.25,69.0,12.6875,56.3125
2,55,singular,67.5,6.96875,74.5,-67.53125
2,56,plural,0.126953125,34.0,36.0,-2.0
2,57,singular,0.0,60.25,-1.5625,61.8125
2,58,plural,1.049041748046875e-05,28.5,40.5,-12.0
2,59,singular,0.0,42.5,14.5625,27.9375
2,60,plural,0.0,18.875,43.5,-24.625
