epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,1.0585663318634033,0.6827093958854675,60.178205235799155,64.24759114583334,1.078125,1.078125,1.0794202089309692,1.4296875,0.1162109375, |  | 걜 | 걘 | 꼍, dogs | ﭯ |  | 쏩 | ,0.4453781545162201,0.08403361588716507,0.8067227005958557
2,,0.07662434875965118,0.5888846516609192,40.83885904947917,42.25,1.078125,1.078125,1.0794202089309692,1.4375,0.115234375, |  | 걜 | 걘 | 겈, dogs |  |  | 쏩 | ﭯ,0.48739495873451233,0.21848739683628082,0.756302535533905
3,,0.19381758570671082,0.05073579400777817,27.360774739583334,25.699739583333333,1.078125,1.078125,1.0794202089309692,1.4375,0.11181640625, |  | 걜 | 걘 | ﮇ, dogs |  |  | 쏩 | ﭯ,0.4789915978908539,0.07563025504350662,0.8823529481887817
4,,0.23070840537548065,0.01506078988313675,15.620596059163411,14.823177083333333,1.078125,1.078125,1.0794202089309692,1.4375,0.10693359375, |  | 걜 | 걘 | ﮇ, dogs |  |  | 쏩 | 𓏸,0.5,0.05042016878724098,0.9495798349380493
5,,0.019683394581079483,0.08856424689292908,11.402775065104167,11.141015625,1.078125,1.0859375,1.0794202089309692,1.453125,0.09912109375, |  | 걜 | ﮇ | 겯, dogs |  |  | 쏩 | ﭯ,0.5378151535987854,0.21008403599262238,0.8655462265014648
6,,0.21012935042381287,0.004056212492287159,12.534113566080729,12.594856770833333,1.078125,1.078125,1.0794202089309692,1.453125,0.091796875, |  | ﮇ | 걜 | 겈, dogs |  |  | 픠 | 쏩,0.5,0.016806723549962044,0.9831932783126831
7,,0.010406258516013622,0.058764807879924774,4.790648651123047,4.5794921875,1.078125,1.078125,1.0794202089309692,1.4609375,0.08349609375, |  | ﮇ | 겈 | 걜, dogs |  |  | 픠 | 쏩,0.5378151535987854,0.10924369841814041,0.9663865566253662
8,,0.20998220145702362,0.0010504815727472305,6.211556434631348,6.212044270833333,1.078125,1.078125,1.0794202089309692,1.46875,0.07373046875, |  | ﮇ | ﱀ | ࡒ, dogs |  |  | 픠 | 쏩,0.5084033608436584,0.02521008439362049,0.9915966391563416
9,,0.001546619227156043,0.08591993153095245,6.940481090545655,6.876236979166666,1.078125,1.078125,1.0794202089309692,1.4765625,0.06005859375, |  | ﮇ | ﱀ | ࡒ, dogs |  |  | 픠 | 쏩,0.5672268867492676,0.18487395346164703,0.9495798349380493
10,,0.014923934824764729,0.003050989005714655,1.863884989420573,1.8726765950520834,1.078125,1.078125,1.0794202089309692,1.484375,0.054931640625, |  | ﮇ | ﱀ | ࡒ, dogs |  |  | 픠 | 쏩,0.529411792755127,0.07563025504350662,0.9831932783126831
11,,0.004264010116457939,0.013084104284644127,2.4048994819323224,2.3317464192708335,1.078125,1.078125,1.0794202089309692,1.4921875,0.04248046875, |  | ﱀ | ﮇ | ࡒ, dogs |  |  | 픠 | 쏩,0.5630252361297607,0.1596638709306717,0.9663865566253662
12,,0.0039537036791443825,0.007928545586764812,3.108673922220866,3.114803695678711,1.078125,1.078125,1.0794202089309692,1.5,0.031494140625, |  | ﱀ | 굄 | ﮇ, dogs |  |  | 픠 | 쏩,0.5462185144424438,0.11764705926179886,0.9747899174690247
13,,0.004711044952273369,0.0061259763315320015,1.1298187096913657,1.1091044108072916,1.078125,1.078125,1.0794202089309692,1.5078125,0.0242919921875, |  | ﱀ | 굄 | ﮇ, dogs |  | 픠 |  | ﯰ,0.5672268867492676,0.1596638709306717,0.9747899174690247
14,,0.00011566517787287012,0.12597690522670746,2.299335320790609,2.2575052897135417,1.078125,1.078125,1.0794202089309692,1.5234375,0.004608154296875, |  | 굄 | ﱀ | ﮇ, dogs |  | 픠 |  |  birds,0.7184873819351196,0.5378151535987854,0.8991596698760986
