token_a,token_b,distance
cat,cats,0.88671875
dog,dogs,0.80078125
bird,birds,0.74609375
bear,bears,0.80078125
rat,rats,0.88671875
tree,trees,0.78125
word,words,1.03125
thing,things,0.90234375
car,cars,0.94140625
house,houses,0.84375
rock,rocks,0.83984375
chair,chairs,0.7734375
table,tables,0.86328125
cup,cups,0.84765625
book,books,0.82421875
phone,phones,0.82421875
man,men,1.28125
woman,women,0.74609375
child,children,0.97265625
person,people,1.1328125
door,doors,0.85546875
gate,gates,0.8046875
fence,fences,0.8203125
pond,ponds,0.83203125
lamp,lamps,0.7890625
corner,corners,0.890625
path,paths,0.80859375
wall,walls,0.85546875
