epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,9.848861678441365,6.064548015594482,8.225793838500977,90.78616447448731,89.01066452264786,1.0859375,1.0859375,1.0794202089309692,1.421875,0.1357421875, |  |  boats |  dogs |  cats, |  | ﴀ | ﹿ | ﯲ,0.6596638560295105,0.9831932783126831,0.3361344635486603
2,5.487964749336243,3.057527780532837,3.832951545715332,101.57898127237955,88.60107154846192,1.0859375,1.09375,1.0794202089309692,1.4296875,0.14453125, |  |  boats |  dogs |  cats, |  | ﴀ | ﹿ | ﯲ,0.7983193397521973,0.9411764740943909,0.6554622054100037
3,2.679990464945634,2.1539111137390137,1.3525217771530151,83.18594156901041,78.71267903645834,1.0859375,1.1015625,1.0794202089309692,1.4296875,0.1513671875, |  |  [wugs] |  dogs |  boats, |  | ﴀ | ﹿ | ⎒,0.8361344337463379,0.7899159789085388,0.8823529481887817
4,1.5844361141944925,1.4440375566482544,0.7266981601715088,62.44274088541667,58.743896484375,1.09375,1.109375,1.0794202089309692,1.4296875,0.154296875, [wugs] |  |  |  dogs |  boats, |  | ﴀ | ﹿ | ﯲ,0.8991596698760986,0.8571428656578064,0.9411764740943909
5,0.9889882739478101,0.728240966796875,0.8792254328727722,43.31382649739583,37.017189534505206,1.09375,1.109375,1.0794202089309692,1.4296875,0.1591796875, [wugs] |  dogs |  |  |  boats, |  | ﴀ |  [wug] | ﹿ,0.9075630307197571,0.8907563090324402,0.924369752407074
6,0.7536604858158777,0.47502705454826355,0.4638719856739044,48.325374348958334,40.02738596598307,1.1015625,1.109375,1.0794202089309692,1.4296875,0.1611328125, [wugs] |  dogs |  |  |  cats, |  |  [wug] | ﴀ | ﹿ,0.9117646813392639,0.8739495873451233,0.9495798349380493
7,0.53305604410513,0.23432788252830505,0.3860915005207062,47.76194661458333,38.3300526936849,1.1015625,1.1171875,1.0794202089309692,1.4296875,0.1630859375, [wugs] |  dogs |  |  |  cats, |  |  [wug] | ﴀ | ﯲ,0.9033613204956055,0.8571428656578064,0.9495798349380493
8,0.3556308969389647,0.11400579661130905,0.43316560983657837,36.672786458333334,30.214152781168618,1.1015625,1.1171875,1.0794202089309692,1.4375,0.1650390625, [wugs] |  dogs |  |  |  cats, |  |  [wug] | ﴀ |  birds,0.9033613204956055,0.8571428656578064,0.9495798349380493
9,0.2790552402109218,0.5210200548171997,0.040080759674310684,29.50107421875,25.993873596191406,1.1015625,1.125,1.0794202089309692,1.4375,0.1650390625, [wugs] |  dogs |  |  |  cats, |  [wug] |  |  birds | ﴀ,0.8781512379646301,0.7815126180648804,0.9747899174690247
10,0.32326331849520407,0.07482302188873291,0.33179792761802673,33.45382486979167,30.808033243815103,1.1015625,1.1171875,1.0794202089309692,1.4375,0.16796875, [wugs] |  dogs |  |  cats | , [wug] |  |  | ﴀ |  birds,0.9075630307197571,0.8655462265014648,0.9495798349380493
11,0.26440559288603255,0.04294959828257561,0.4511781632900238,26.40615234375,25.659294001261394,1.1015625,1.1171875,1.0794202089309692,1.4375,0.16796875, [wugs] |  dogs |  |  cats | , [wug] |  |  |  birds | ﴀ,0.9201680421829224,0.8823529481887817,0.9579831957817078
