split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The fuzzy turtle past the crates,The fuzzy turtles past the crate,-1.8678218126296997,-6.11782169342041,-1.2289308309555054,-7.478930950164795,-2.050112247467041,-5.175112247467041,-1.4333142042160034,-6.183314323425293,128
train,1,The fuzzy turtles past the crate,The fuzzy turtle past the crates,-4.0022454261779785,-5.1272454261779785,-2.320697546005249,-6.445697784423828,-4.347434997558594,-4.472434997558594,-2.393495798110962,-5.518495559692383,128
train,0,The small kit around the towers,The small kits around the tower,-11.567154884338379,-13.879654884338379,-11.542813301086426,-15.167813301086426,-11.923514366149902,-12.736014366149902,-11.791879653930664,-14.166879653930664,128
train,1,The small kits around the tower,The small kit around the towers,-12.172598838806152,-15.422598838806152,-12.105568885803223,-15.543068885803223,-12.2632474899292,-14.8257474899292,-12.187775611877441,-15.187775611877441,128
train,0,The slender bat behind the cabins,The slender bats behind the cabin,-0.5608202219009399,-7.06082010269165,-0.5144344568252563,-8.014434814453125,-0.6169975399971008,-5.241997718811035,-0.6057404279708862,-6.105740547180176,128
train,1,The slender bats behind the cabin,The slender bat behind the cabins,-1.513236165046692,-5.513236045837402,-1.3108397722244263,-5.560839653015137,-1.5465869903564453,-4.421586990356445,-1.382872223854065,-4.382872104644775,128
train,0,The fuzzy shark behind the clocks,The fuzzy sharks behind the clock,-15.7498779296875,-16.8123779296875,-15.836529731750488,-17.399030685424805,-15.643888473510742,-16.393888473510742,-15.60101318359375,-16.78851318359375,128
train,1,The fuzzy sharks behind the clock,The fuzzy shark behind the clocks,-15.794785499572754,-17.73228645324707,-15.157598495483398,-17.8450984954834,-15.871811866760254,-17.121810913085938,-15.120327949523926,-17.245328903198242,128
train,0,The sleepy dolphin past the vines,The sleepy dolphins past the vine,-2.725640296936035,-7.600640296936035,-1.8359280824661255,-8.085927963256836,-2.9131863117218018,-6.288186073303223,-2.076242446899414,-6.576242446899414,128
train,1,The sleepy dolphins past the vine,The sleepy dolphin past the vines,-11.401102066040039,-11.901102066040039,-3.4058468341827393,-7.90584659576416,-11.531203269958496,-11.406203269958496,-3.534738302230835,-7.159738540649414,128
train,0,The nervous lion behind the rocks,The nervous lions behind the rock,-14.853643417358398,-15.478643417358398,-15.106776237487793,-15.856776237487793,-14.880402565002441,-15.255402565002441,-15.210880279541016,-15.585880279541016,128
train,1,The nervous lions behind the rock,The nervous lion behind the rocks,-15.833769798278809,-16.458768844604492,-16.4335880279541,-18.2460880279541,-15.716510772705078,-16.341510772705078,-16.457670211791992,-18.020170211791992,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-0.8344464302062988,-5.584446430206299,-1.113808274269104,-6.7388081550598145,-1.1662906408309937,-3.916290760040283,-1.4377926588058472,-4.812792778015137,128
train,1,The calm dogs outside the house,The calm dog outside the houses,-1.090714454650879,-5.590714454650879,-1.6202980279922485,-6.495297908782959,-1.1922956705093384,-4.442295551300049,-1.8100557327270508,-5.685055732727051,128
train,0,The nervous panda behind the windows,The nervous pandas behind the window,-2.7958059310913086,-6.545805931091309,-1.6324965953826904,-5.8824968338012695,-2.8923392295837402,-5.89233922958374,-1.7841862440109253,-4.659186363220215,128
train,1,The nervous pandas behind the window,The nervous panda behind the windows,-2.380606174468994,-5.505606174468994,-1.0650458335876465,-5.6900458335876465,-2.618739128112793,-4.493739128112793,-1.2464784383773804,-4.74647855758667,128
train,0,The sleepy kit beneath the boilers,The sleepy kits beneath the boiler,-1.0861780643463135,-7.461177825927734,-1.23313307762146,-7.608133316040039,-1.2696597576141357,-5.519659996032715,-1.4043183326721191,-5.779318332672119,128
train,1,The sleepy kits beneath the boiler,The sleepy kit beneath the boilers,-3.3708689212799072,-3.9958689212799072,-2.8374342918395996,-5.0874342918396,-4.1200270652771,-3.2450270652770996,-3.538358688354492,-3.913358688354492,128
train,0,The small bat around the walls,The small bats around the wall,-1.9762784242630005,-5.601278305053711,-1.5666391849517822,-6.691639423370361,-2.1434102058410645,-4.1434102058410645,-1.5647331476211548,-5.064733028411865,128
train,1,The small bats around the wall,The small bat around the walls,-1.2056238651275635,-5.205623626708984,-1.5654140710830688,-5.190413951873779,-1.3494104146957397,-4.474410533905029,-1.8121756315231323,-4.437175750732422,128
train,0,The fuzzy pup around the tanks,The fuzzy pups around the tank,-13.527050971984863,-14.089550971984863,-13.184911727905273,-14.559911727905273,-13.629083633422852,-13.129083633422852,-13.057397842407227,-13.557397842407227,128
train,1,The fuzzy pups around the tank,The fuzzy pup around the tanks,-12.884672164916992,-15.384672164916992,-12.747725486755371,-14.685225486755371,-12.769075393676758,-15.081575393676758,-12.528664588928223,-14.403664588928223,128
train,0,The small doe beneath the boilers,The small does beneath the boiler,-11.845282554626465,-14.220282554626465,-11.832469940185547,-14.519969940185547,-12.293944358825684,-13.481444358825684,-11.944169044494629,-13.631669044494629,128
train,1,The small does beneath the boiler,The small doe beneath the boilers,-13.908096313476562,-15.158096313476562,-13.145368576049805,-13.957868576049805,-13.554265975952148,-15.116765975952148,-12.736150741577148,-14.361150741577148,128
train,0,The slender panda past the crates,The slender pandas past the crate,-0.7734951376914978,-5.773495197296143,-1.1308934688568115,-7.380893707275391,-0.8323186635971069,-4.3323187828063965,-1.2392008304595947,-5.989200592041016,128
train,1,The slender pandas past the crate,The slender panda past the crates,-1.0825306177139282,-5.207530498504639,-1.9120330810546875,-4.7870330810546875,-1.0765761137008667,-4.576576232910156,-1.9236443042755127,-4.298644065856934,128
train,0,The sleepy panda outside the benches,The sleepy pandas outside the bench,-14.21838665008545,-16.468387603759766,-13.494861602783203,-15.682361602783203,-14.287454605102539,-15.349954605102539,-13.648702621459961,-14.711202621459961,128
train,1,The sleepy pandas outside the bench,The sleepy panda outside the benches,-14.153956413269043,-17.59145736694336,-13.152976989746094,-16.340476989746094,-14.233596801757812,-16.858596801757812,-13.157962799072266,-15.720462799072266,128
train,0,The bright rabbit beneath the trenches,The bright rabbits beneath the trench,-2.1420302391052246,-8.142030715942383,-1.3196107149124146,-7.444610595703125,-2.3323636054992676,-6.582363605499268,-1.4799047708511353,-5.979904651641846,128
train,1,The bright rabbits beneath the trench,The bright rabbit beneath the trenches,-3.6932778358459473,-4.068277835845947,-1.816009759902954,-4.691009521484375,-4.687390327453613,-3.6873905658721924,-2.4028372764587402,-3.7778372764587402,128
train,0,The small chick past the rocks,The small chicks past the rock,-2.263442039489746,-8.888442039489746,-1.9033037424087524,-9.028304100036621,-2.379585027694702,-7.754585266113281,-2.0698533058166504,-8.194852828979492,128
train,1,The small chicks past the rock,The small chick past the rocks,-2.439359664916992,-5.939359664916992,-2.3806653022766113,-6.630665302276611,-2.6717729568481445,-5.0467729568481445,-2.5004515647888184,-6.000451564788818,128
train,0,The slender cock around the walls,The slender cocks around the wall,-10.745611190795898,-11.183111190795898,-10.258811950683594,-12.133811950683594,-11.060293197631836,-10.747793197631836,-10.418262481689453,-11.230762481689453,128
train,1,The slender cocks around the wall,The slender cock around the walls,-9.868606567382812,-12.431106567382812,-10.4519681930542,-12.4519681930542,-9.932244300842285,-11.869744300842285,-10.562857627868652,-11.750357627868652,128
train,0,The nervous shark behind the windows,The nervous sharks behind the window,-11.869532585144043,-15.682032585144043,-10.457998275756836,-14.707998275756836,-11.86513614654541,-15.24013614654541,-10.464433670043945,-13.901933670043945,128
train,1,The nervous sharks behind the window,The nervous shark behind the windows,-11.253862380981445,-14.003862380981445,-9.895241737365723,-13.457741737365723,-11.272818565368652,-13.522818565368652,-9.962242126464844,-12.899742126464844,128
train,0,The small pup past the vines,The small pups past the vine,-12.897540092468262,-13.647540092468262,-11.610112190246582,-13.547612190246582,-13.091019630432129,-13.341019630432129,-11.63086223602295,-13.06836223602295,128
