split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The timid cow,The timid cows,-13.67196273803711,-15.04696273803711,-11.874481201171875,-13.811981201171875,-13.954041481018066,-14.766541481018066,-11.931011199951172,-13.556011199951172,128
train,1,The timid cows,The timid cow,-12.153347969055176,-17.46584701538086,-10.539299964904785,-15.914299964904785,-11.754426956176758,-16.379426956176758,-10.133042335510254,-14.758042335510254,128
train,0,The small dog,The small dogs,-1.7883920669555664,-9.788392066955566,-2.41637921333313,-9.91637897491455,-1.7109241485595703,-8.96092414855957,-2.282474994659424,-9.157474517822266,128
train,1,The small dogs,The small dog,-2.8734850883483887,-8.248485565185547,-2.789463996887207,-8.789463996887207,-2.5830345153808594,-7.333034515380859,-2.6700353622436523,-7.920035362243652,128
train,0,The calm doe,The calm does,-5.338763236999512,-10.901263236999512,-5.027763366699219,-9.777763366699219,-6.851037502288818,-10.413537979125977,-6.126709938049316,-9.001709938049316,128
train,1,The calm does,The calm doe,-14.576457977294922,-17.638957977294922,-10.359259605407715,-13.671759605407715,-14.387943267822266,-17.450443267822266,-9.995664596557617,-13.433164596557617,128
train,0,The timid doe,The timid does,-7.090418815612793,-12.215418815612793,-8.055534362792969,-12.555534362792969,-7.252969741821289,-11.690469741821289,-8.416121482849121,-12.166121482849121,128
train,1,The timid does,The timid doe,-17.45380973815918,-20.20380973815918,-13.593836784362793,-16.46883773803711,-17.203615188598633,-20.516115188598633,-13.823424339294434,-16.88592529296875,128
train,0,The nervous bat,The nervous bats,-13.645833969116211,-14.208333969116211,-12.037490844726562,-13.162490844726562,-13.901439666748047,-14.213939666748047,-12.136778831481934,-13.074278831481934,128
train,1,The nervous bats,The nervous bat,-11.921344757080078,-13.733844757080078,-11.797772407531738,-13.985272407531738,-11.916425704956055,-13.541425704956055,-11.611932754516602,-13.611932754516602,128
