hook,layer,tok,unit,attribution
mlp_act,22,5,164,0.10997912287712097
mlp_act,22,6,721,0.07993733882904053
mlp_act,27,5,793,0.07575860619544983
mlp_act,22,14,164,0.07285115867853165
mlp_act,27,14,793,0.05267331004142761
mlp_act,12,5,24,0.04430907219648361
mlp_act,22,5,571,0.043266139924526215
mlp_act,22,14,4518,0.03563297167420387
mlp_act,27,8,793,0.02931351028382778
mlp_act,22,5,721,0.02601759321987629
mlp_act,27,6,793,0.02579393796622753
mlp_act,22,6,540,0.024950886145234108
mlp_act,22,6,8579,0.024453463032841682
mlp_act,22,5,790,0.024044189602136612
mlp_act,27,14,161,0.023492584004998207
mlp_act,22,6,790,0.02217891439795494
mlp_act,27,5,137,0.021377485245466232
mlp_act,27,14,477,0.020783469080924988
mlp_act,7,5,2480,0.02037140727043152
mlp_act,27,5,329,0.0201711468398571
mlp_act,2,5,1016,0.018600381910800934
mlp_act,22,14,997,0.018030283972620964
mlp_act,22,5,1886,0.017665287479758263
mlp_act,27,11,793,0.01680847257375717
mlp_act,22,11,164,0.01642371527850628
mlp_act,22,14,73,0.015079685486853123
mlp_act,22,8,164,0.014283476397395134
mlp_act,22,14,2799,0.014024308882653713
mlp_act,22,14,1886,0.01367501076310873
mlp_act,2,5,1412,0.01242375373840332
mlp_act,22,5,3009,0.011412683874368668
mlp_act,22,5,997,0.011383487842977047
mlp_act,27,14,4059,0.011281593702733517
mlp_act,22,6,2459,0.011168236844241619
mlp_act,12,14,7776,0.010945100337266922
mlp_act,22,14,790,0.010648137889802456
mlp_act,22,6,571,0.01043046172708273
mlp_act,22,5,1836,0.010014629922807217
mlp_act,17,5,2342,0.009972816333174706
mlp_act,22,5,8579,0.009835182689130306
mlp_act,7,5,9,0.00982657726854086
mlp_act,27,11,161,0.009712589904665947
mlp_act,7,6,778,0.009453272446990013
mlp_act,27,14,963,0.009446675889194012
mlp_act,22,7,721,0.009271526709198952
mlp_act,22,8,73,0.009181207045912743
mlp_act,27,11,477,0.009100055322051048
mlp_act,22,5,5409,0.0090864859521389
mlp_act,22,6,997,0.008654694072902203
mlp_act,27,8,161,0.008633478544652462
mlp_act,22,11,4518,0.008317798376083374
mlp_act,27,5,627,0.00816612970083952
mlp_act,7,6,2901,0.007419070228934288
mlp_act,27,14,626,0.007418311201035976
mlp_act,22,14,6640,0.007321919780224562
mlp_act,7,8,1381,0.007298045791685581
mlp_act,22,14,7661,0.007290774490684271
mlp_act,27,8,477,0.007090533152222633
mlp_act,27,5,2257,0.006930394563823938
mlp_act,22,14,932,0.006909290328621864
mlp_act,22,11,73,0.006860995665192604
mlp_act,22,14,2005,0.006791049614548683
mlp_act,17,14,3916,0.006595280021429062
mlp_act,22,14,1781,0.006430243141949177
mlp_act,27,14,2668,0.006407641805708408
mlp_act,27,14,329,0.006164621561765671
mlp_act,22,5,7182,0.006143483798950911
mlp_act,27,5,327,0.0061057559214532375
mlp_act,22,14,688,0.006083100102841854
mlp_act,22,14,7997,0.005906411912292242
mlp_act,22,6,164,0.0058628045953810215
mlp_act,22,5,2459,0.005839832127094269
mlp_act,27,14,6079,0.00555806839838624
mlp_act,7,5,5775,0.005553205963224173
mlp_act,22,6,1836,0.005551752168685198
mlp_act,22,14,9581,0.005538676865398884
mlp_act,27,5,2894,0.005399184301495552
mlp_act,27,14,409,0.005266932304948568
mlp_act,27,5,732,0.0049584838561713696
mlp_act,22,5,1781,0.004813006613403559
mlp_act,27,5,797,0.00480384286493063
mlp_act,22,5,1359,0.0047805337235331535
mlp_act,22,14,4632,0.004706453066319227
mlp_act,22,11,2799,0.004686857108026743
mlp_act,27,14,5816,0.00467275083065033
mlp_act,22,14,3876,0.004605877213180065
mlp_act,22,14,5840,0.004504434764385223
mlp_act,22,5,1914,0.004353824537247419
mlp_act,7,6,5775,0.004341225605458021
mlp_act,7,6,2692,0.004275886807590723
mlp_act,17,14,5889,0.004250630736351013
mlp_act,22,14,5433,0.004246325232088566
mlp_act,12,8,7776,0.0042289672419428825
mlp_act,27,14,4376,0.0042227269150316715
mlp_act,22,14,4355,0.004201869945973158
mlp_act,7,6,3221,0.004196548368781805
mlp_act,7,6,218,0.004190048668533564
mlp_act,27,8,1080,0.004159738775342703
mlp_act,7,14,1381,0.004144830163568258
mlp_act,27,14,2913,0.004065088462084532
mlp_act,27,14,8937,0.0039323302917182446
mlp_act,22,14,603,0.003921142313629389
mlp_act,12,6,7787,0.003885775338858366
mlp_act,27,14,8434,0.003840623190626502
mlp_act,27,5,480,0.003807061817497015
mlp_act,17,6,7101,0.003724454902112484
mlp_act,22,14,5478,0.003703594906255603
mlp_act,12,6,24,0.0036490571219474077
mlp_act,22,14,8064,0.0036248620599508286
mlp_act,22,5,888,0.0036231018602848053
mlp_act,7,6,1889,0.003569491673260927
mlp_act,27,14,5153,0.0035233618691563606
mlp_act,7,6,2480,0.0035162526182830334
mlp_act,27,14,2368,0.0035074278712272644
mlp_act,27,14,6039,0.003483592765405774
mlp_act,27,14,341,0.003458326915279031
mlp_act,27,5,538,0.003450095886364579
mlp_act,27,14,815,0.0034317534882575274
mlp_act,22,5,1678,0.003384204348549247
mlp_act,22,14,913,0.0033653744030743837
mlp_act,27,14,5272,0.0033637210726737976
mlp_act,27,8,5816,0.0033462741412222385
mlp_act,27,14,8171,0.0033176217693835497
mlp_act,12,6,7064,0.0032940080855041742
mlp_act,22,14,82,0.0032662521116435528
mlp_act,12,6,6495,0.003251807065680623
mlp_act,22,12,4518,0.0032281065359711647
mlp_act,27,14,12,0.003218273399397731
