split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The nervous chick past the screws,The nervous chicks past the screw,-8.880851745605469,-10.693351745605469,-8.318602561950684,-7.943602085113525,-7.930027008056641,-8.80502700805664,128
train,1,The nervous chicks past the screw,The nervous chick past the screws,-7.943602085113525,-8.318602561950684,-10.693351745605469,-8.880851745605469,-8.758645057678223,-9.383645057678223,128
train,0,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.247017860412598,-14.747017860412598,-13.654271125793457,-9.466771125793457,-11.797382354736328,-11.234882354736328,128
train,1,The sleepy rabbits beneath the milestone,The sleepy rabbit beneath the milestones,-9.466771125793457,-13.654271125793457,-14.747017860412598,-11.247017860412598,-11.465187072753906,-12.215187072753906,128
train,0,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-4.008330821990967,-9.570831298828125,-6.624715328216553,-2.3747153282165527,-4.038998603820801,-4.288998603820801,128
train,1,The sleepy bats beneath the boiler,The sleepy bat beneath the boilers,-2.3747153282165527,-6.624715328216553,-9.570831298828125,-4.008330821990967,-2.7196507453918457,-4.594650745391846,128
train,0,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-5.166869163513184,-10.666869163513184,-7.494091987609863,-3.2440919876098633,-5.561410903930664,-4.811410903930664,128
train,1,The sleepy lions beneath the boiler,The sleepy lion beneath the boilers,-3.2440919876098633,-7.494091987609863,-10.666869163513184,-5.166869163513184,-4.253427982330322,-5.378427982330322,128
train,0,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.4363627433776855,-7.9363627433776855,-8.675836563110352,-6.925836086273193,-6.4317216873168945,-7.6817216873168945,128
train,1,The quiet sharks outside the clock,The quiet shark outside the clocks,-6.925836086273193,-8.675836563110352,-7.9363627433776855,-6.4363627433776855,-5.3702802658081055,-7.1202802658081055,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-4.701889514923096,-8.326889991760254,-5.929617881774902,-2.8046181201934814,-4.089426040649414,-4.839426040649414,128
