split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The timid cow,The timid cows,-13.850092887878418,-15.225092887878418,-17.467302322387695,-12.154802322387695,-14.43315315246582,-11.80815315246582,128
train,1,The timid cows,The timid cow,-12.154802322387695,-17.467302322387695,-15.225092887878418,-13.850092887878418,-14.921622276306152,-15.109122276306152,128
train,0,The small dog,The small dogs,-1.9614734649658203,-9.96147346496582,-8.357919692993164,-2.982919931411743,-5.583713531494141,-2.7087135314941406,128
train,1,The small dogs,The small dog,-2.982919931411743,-8.357919692993164,-9.96147346496582,-1.9614734649658203,-5.579195976257324,-2.204195976257324,128
train,0,The calm doe,The calm does,-5.372726917266846,-10.935226440429688,-17.641380310058594,-14.57888126373291,-16.57870101928711,-14.20370101928711,128
train,1,The calm does,The calm doe,-14.57888126373291,-17.641380310058594,-10.935226440429688,-5.372726917266846,-11.580127716064453,-8.892627716064453,128
train,0,The timid doe,The timid does,-7.120994567871094,-12.245994567871094,-20.205711364746094,-17.455711364746094,-19.46217918395996,-17.21217918395996,128
train,1,The timid does,The timid doe,-17.455711364746094,-20.205711364746094,-12.245994567871094,-7.120994567871094,-11.683561325073242,-7.8085618019104,128
train,0,The nervous bat,The nervous bats,-13.636314392089844,-14.198814392089844,-13.76400089263916,-11.95150089263916,-13.354450225830078,-12.354450225830078,128
train,1,The nervous bats,The nervous bat,-11.95150089263916,-13.76400089263916,-14.198814392089844,-13.636314392089844,-13.967475891113281,-13.967475891113281,128
train,0,The small doe,The small does,-11.401747703552246,-14.026747703552246,-16.77859878540039,-14.40359878540039,-16.468080520629883,-14.5930814743042,128
train,1,The small does,The small doe,-14.40359878540039,-16.77859878540039,-14.026747703552246,-11.401747703552246,-13.447678565979004,-12.510178565979004,128
train,0,The sleepy pup,The sleepy pups,-13.418964385986328,-16.731464385986328,-19.020706176757812,-13.145707130432129,-16.78989028930664,-13.164891242980957,128
train,1,The sleepy pups,The sleepy pup,-13.145707130432129,-19.020706176757812,-16.731464385986328,-13.418964385986328,-14.101518630981445,-14.664018630981445,128
train,0,The bright frog,The bright frogs,-14.489155769348145,-17.98915672302246,-17.649158477783203,-14.586658477783203,-15.179121017456055,-14.491621017456055,128
train,1,The bright frogs,The bright frog,-14.586658477783203,-17.649158477783203,-17.98915672302246,-14.489155769348145,-17.027315139770508,-14.714815139770508,128
train,0,The sleepy panda,The sleepy pandas,-10.689139366149902,-16.25164031982422,-13.204236030578613,-10.016736030578613,-12.029681205749512,-9.967181205749512,128
train,1,The sleepy pandas,The sleepy panda,-10.016736030578613,-13.204236030578613,-16.25164031982422,-10.689139366149902,-12.477033615112305,-11.102033615112305,128
train,0,The fuzzy horse,The fuzzy horses,-1.216976523399353,-9.341976165771484,-5.516261577606201,-1.6412614583969116,-3.268965244293213,-2.393965244293213,128
train,1,The fuzzy horses,The fuzzy horse,-1.6412614583969116,-5.516261577606201,-9.341976165771484,-1.216976523399353,-3.815751075744629,-2.565751075744629,128
train,0,The fuzzy cock,The fuzzy cocks,-7.981267929077148,-15.168767929077148,-3.5898728370666504,-2.4648728370666504,-2.910696029663086,-3.535696029663086,128
train,1,The fuzzy cocks,The fuzzy cock,-2.4648728370666504,-3.5898728370666504,-15.168767929077148,-7.981267929077148,-13.970609664916992,-9.033109664916992,128
train,0,The bright rat,The bright rats,-1.1224980354309082,-8.37249755859375,-5.722285270690918,-1.3472853899002075,-4.166006565093994,-1.5410065650939941,128
train,1,The bright rats,The bright rat,-1.3472853899002075,-5.722285270690918,-8.37249755859375,-1.1224980354309082,-3.1247856616973877,-1.6247856616973877,128
train,0,The calm cock,The calm cocks,-5.656255722045898,-13.656255722045898,-4.5608811378479,-2.1858811378479004,-3.801072359085083,-3.926072359085083,128
train,1,The calm cocks,The calm cock,-2.1858811378479004,-4.5608811378479,-13.656255722045898,-5.656255722045898,-11.52146053314209,-6.58396053314209,128
train,0,The sleepy dolphin,The sleepy dolphins,-1.13797128200531,-10.137970924377441,-7.712490081787109,-0.9624902606010437,-4.872127056121826,-0.9971270561218262,128
train,1,The sleepy dolphins,The sleepy dolphin,-0.9624902606010437,-7.712490081787109,-10.137970924377441,-1.13797128200531,-3.9954919815063477,-1.7454921007156372,128
train,0,The sleepy horse,The sleepy horses,-13.107348442077637,-13.982348442077637,-15.520647048950195,-14.145647048950195,-14.264945983886719,-13.952445983886719,128
