split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.084569215774536,-10.209568977355957,-3.4718117713928223,-9.65931224822998,-4.013097763061523,-4.263097763061523,-5.4583821296691895,-6.4583821296691895,64
train,1,The sleepy bats,The sleepy bat,-1.7713274955749512,-8.52132797241211,-5.769278526306152,-5.394278526306152,-3.1510190963745117,-4.526019096374512,-6.480569362640381,-5.355569362640381,64
train,0,The fuzzy frog,The fuzzy frogs,-12.43608570098877,-15.24858570098877,-12.898772239685059,-16.586273193359375,-13.425372123718262,-13.175372123718262,-14.757844924926758,-15.007844924926758,64
train,1,The fuzzy frogs,The fuzzy frog,-11.673609733581543,-15.767359733581543,-13.969265937805176,-16.03176498413086,-12.438924789428711,-12.876424789428711,-14.980305671691895,-14.730305671691895,64
train,0,The bright shark,The bright sharks,-8.990523338317871,-11.615523338317871,-9.99067497253418,-13.92817497253418,-9.687039375305176,-10.562039375305176,-11.930802345275879,-12.180802345275879,64
train,1,The bright sharks,The bright shark,-9.113508224487305,-11.676008224487305,-11.082573890686035,-13.457573890686035,-10.642805099487305,-9.892805099487305,-12.338061332702637,-12.025561332702637,64
train,0,The small bat,The small bats,-8.136110305786133,-14.698610305786133,-9.910868644714355,-14.660868644714355,-8.844883918762207,-9.719883918762207,-12.024821281433105,-12.337321281433105,64
train,1,The small bats,The small bat,-7.630747318267822,-13.318246841430664,-10.512090682983398,-13.199590682983398,-9.181294441223145,-9.118794441223145,-12.277436256408691,-12.027436256408691,64
train,0,The bright chick,The bright chicks,-15.323587417602539,-17.19858741760254,-13.600482940673828,-14.975482940673828,-16.881139755249023,-16.599889755249023,-14.57692813873291,-13.95192813873291,64
train,1,The bright chicks,The bright chick,-15.062397003173828,-16.968647003173828,-13.16681957244873,-15.16681957244873,-15.90816593170166,-16.033164978027344,-13.862051010131836,-14.487051010131836,64
train,0,The nervous panda,The nervous pandas,-12.297943115234375,-13.297943115234375,-12.092179298400879,-13.404679298400879,-13.26601505279541,-12.64101505279541,-13.28687858581543,-12.47437858581543,64
train,1,The nervous pandas,The nervous panda,-12.169737815856934,-14.294737815856934,-13.106624603271484,-12.794124603271484,-12.601980209350586,-13.101980209350586,-12.417631149291992,-13.230131149291992,64
train,0,The slender turtle,The slender turtles,-12.89495849609375,-16.70745849609375,-12.80744743347168,-16.55744743347168,-14.11241340637207,-15.17491340637207,-14.722402572631836,-14.972402572631836,64
train,1,The slender turtles,The slender turtle,-13.898833274841309,-16.898834228515625,-13.459915161132812,-16.334915161132812,-15.066024780273438,-14.441024780273438,-14.955595016479492,-14.705595016479492,64
train,0,The quiet turtle,The quiet turtles,-4.0152130126953125,-11.827713012695312,-3.355773687362671,-9.98077392578125,-5.554661750793457,-6.179661750793457,-5.439056873321533,-6.564056873321533,64
train,1,The quiet turtles,The quiet turtle,-3.0605297088623047,-8.435529708862305,-3.206646680831909,-7.70664644241333,-5.142556667327881,-5.642556667327881,-6.554468154907227,-5.554468154907227,64
train,0,The sleepy doe,The sleepy does,-13.941704750061035,-15.316704750061035,-14.824922561645508,-15.449922561645508,-14.861398696899414,-14.173898696899414,-15.723258018493652,-14.410758018493652,64
