split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.084569215774536,-10.209568977355957,-8.52132797241211,-1.7713274955749512,-2.1416893005371094,-9.82918930053711,1000
train,1,The sleepy bats,The sleepy bat,-1.7713274955749512,-8.52132797241211,-10.209568977355957,-2.084569215774536,-1.7899525165557861,-8.789952278137207,1000
train,0,The fuzzy frog,The fuzzy frogs,-12.43608570098877,-15.24858570098877,-15.767359733581543,-11.673609733581543,-12.24087142944336,-15.11587142944336,1000
train,1,The fuzzy frogs,The fuzzy frog,-11.673609733581543,-15.767359733581543,-15.24858570098877,-12.43608570098877,-11.886653900146484,-15.980403900146484,1000
train,0,The bright shark,The bright sharks,-8.990523338317871,-11.615523338317871,-11.676008224487305,-9.113508224487305,-9.47260570526123,-12.22260570526123,1000
train,1,The bright sharks,The bright shark,-9.113508224487305,-11.676008224487305,-11.615523338317871,-8.990523338317871,-8.560955047607422,-11.248455047607422,1000
train,0,The small bat,The small bats,-8.136110305786133,-14.698610305786133,-13.318246841430664,-7.630747318267822,-7.6407294273376465,-14.140728950500488,1000
train,1,The small bats,The small bat,-7.630747318267822,-13.318246841430664,-14.698610305786133,-8.136110305786133,-7.832103252410889,-14.082103729248047,1000
train,0,The bright chick,The bright chicks,-15.323587417602539,-17.19858741760254,-16.968647003173828,-15.062397003173828,-14.980774879455566,-17.324525833129883,1000
train,1,The bright chicks,The bright chick,-15.062397003173828,-16.968647003173828,-17.19858741760254,-15.323587417602539,-15.139511108398438,-17.327011108398438,1000
train,0,The nervous panda,The nervous pandas,-12.297943115234375,-13.297943115234375,-14.294737815856934,-12.169737815856934,-12.565138816833496,-13.877638816833496,1000
train,1,The nervous pandas,The nervous panda,-12.169737815856934,-14.294737815856934,-13.297943115234375,-12.297943115234375,-11.232267379760742,-13.669767379760742,1000
train,0,The slender turtle,The slender turtles,-12.89495849609375,-16.70745849609375,-16.898834228515625,-13.898833274841309,-12.908720016479492,-16.814970016479492,1000
train,1,The slender turtles,The slender turtle,-13.898833274841309,-16.898834228515625,-16.70745849609375,-12.89495849609375,-13.967642784118652,-17.03014373779297,1000
train,0,The quiet turtle,The quiet turtles,-4.0152130126953125,-11.827713012695312,-8.435529708862305,-3.0605297088623047,-3.8689775466918945,-11.806477546691895,1000
train,1,The quiet turtles,The quiet turtle,-3.0605297088623047,-8.435529708862305,-11.827713012695312,-4.0152130126953125,-3.1276144981384277,-8.62761402130127,1000
train,0,The sleepy doe,The sleepy does,-13.941704750061035,-15.316704750061035,-16.355682373046875,-14.293182373046875,-14.066998481750488,-15.816998481750488,1000
train,1,The sleepy does,The sleepy doe,-14.293182373046875,-16.355682373046875,-15.316704750061035,-13.941704750061035,-14.605538368225098,-17.73053741455078,1000
train,0,The timid horse,The timid horses,-3.8225247859954834,-11.260025024414062,-8.980340003967285,-2.605340003967285,-3.334472894668579,-11.14697265625,1000
train,1,The timid horses,The timid horse,-2.605340003967285,-8.980340003967285,-11.260025024414062,-3.8225247859954834,-2.7203946113586426,-9.1578950881958,1000
train,0,The nervous rat,The nervous rats,-3.79487943649292,-11.107378959655762,-8.671459197998047,-3.4214587211608887,-3.702200412750244,-11.077199935913086,1000
train,1,The nervous rats,The nervous rat,-3.4214587211608887,-8.671459197998047,-11.107378959655762,-3.79487943649292,-3.5318918228149414,-8.656891822814941,1000
train,0,The fuzzy shark,The fuzzy sharks,-2.3093416690826416,-8.996841430664062,-5.961289405822754,-1.586289405822754,-2.064279556274414,-8.751779556274414,1000
train,1,The fuzzy sharks,The fuzzy shark,-1.586289405822754,-5.961289405822754,-8.996841430664062,-2.3093416690826416,-1.8360551595687866,-6.211055278778076,1000
train,0,The timid horse,The timid horses,-11.510025024414062,-15.010025024414062,-14.667840003967285,-10.792840003967285,-11.27197265625,-14.95947265625,1000
train,1,The timid horses,The timid horse,-10.792840003967285,-14.667840003967285,-15.010025024414062,-11.510025024414062,-10.8453950881958,-14.7203950881958,1000
train,0,The timid dog,The timid dogs,-12.034515380859375,-13.659515380859375,-14.225610733032227,-10.538110733032227,-12.04948902130127,-13.73698902130127,1000
train,1,The timid dogs,The timid dog,-10.538110733032227,-14.225610733032227,-13.659515380859375,-12.034515380859375,-10.442252159118652,-14.192252159118652,1000
train,0,The timid rabbit,The timid rabbits,-3.6036224365234375,-11.728622436523438,-8.230484008789062,-1.9179843664169312,-3.3635263442993164,-11.363526344299316,1000
train,1,The timid rabbits,The timid rabbit,-1.9179843664169312,-8.230484008789062,-11.728622436523438,-3.6036224365234375,-2.159621238708496,-8.659621238708496,1000
train,0,The bright panda,The bright pandas,-9.925573348999023,-11.863073348999023,-12.665308952331543,-8.915308952331543,-9.921164512634277,-11.921164512634277,1000
train,1,The bright pandas,The bright panda,-8.915308952331543,-12.665308952331543,-11.863073348999023,-9.925573348999023,-8.496040344238281,-12.371040344238281,1000
train,0,The fuzzy turtle,The fuzzy turtles,-11.338155746459961,-13.588155746459961,-14.933392524719238,-10.995892524719238,-10.898066520690918,-13.210566520690918,1000
train,1,The fuzzy turtles,The fuzzy turtle,-10.995892524719238,-14.933392524719238,-13.588155746459961,-11.338155746459961,-11.100485801696777,-15.225485801696777,1000
train,0,The sleepy monitor,The sleepy monitors,-3.7272374629974365,-11.352237701416016,-9.100686073303223,-3.4756860733032227,-3.7296078205108643,-11.167107582092285,1000
train,1,The sleepy monitors,The sleepy monitor,-3.4756860733032227,-9.100686073303223,-11.352237701416016,-3.7272374629974365,-3.5891270637512207,-9.214126586914062,1000
train,0,The calm dolphin,The calm dolphins,-8.854849815368652,-12.479849815368652,-13.952404975891113,-9.014904975891113,-8.799565315246582,-12.674565315246582,1000
train,1,The calm dolphins,The calm dolphin,-9.014904975891113,-13.952404975891113,-12.479849815368652,-8.854849815368652,-8.96613597869873,-14.02863597869873,1000
train,0,The small pup,The small pups,-11.62168025970459,-14.99668025970459,-15.135034561157227,-11.760034561157227,-12.348395347595215,-15.285895347595215,1000
train,1,The small pups,The small pup,-11.760034561157227,-15.135034561157227,-14.99668025970459,-11.62168025970459,-11.238945007324219,-14.863945007324219,1000
train,0,The quiet whale,The quiet whales,-9.82381820678711,-12.51131820678711,-13.5526762008667,-10.1151762008667,-10.090229034423828,-12.840229034423828,1000
train,1,The quiet whales,The quiet whale,-10.1151762008667,-13.5526762008667,-12.51131820678711,-9.82381820678711,-9.935304641723633,-13.560304641723633,1000
train,0,The slender doe,The slender does,-14.901532173156738,-18.151531219482422,-18.588115692138672,-14.900616645812988,-15.588059425354004,-19.11931037902832,1000
train,1,The slender does,The slender doe,-14.900616645812988,-18.588115692138672,-18.151531219482422,-14.901532173156738,-16.83104705810547,-21.97167205810547,1000
train,0,The fuzzy kitten,The fuzzy kittens,-12.878874778747559,-13.378874778747559,-15.568879127502441,-11.943879127502441,-12.514741897583008,-12.952241897583008,1000
train,1,The fuzzy kittens,The fuzzy kitten,-11.943879127502441,-15.568879127502441,-13.378874778747559,-12.878874778747559,-12.261281967163086,-15.823781967163086,1000
train,0,The bright dog,The bright dogs,-11.789488792419434,-12.476988792419434,-14.386468887329102,-10.636468887329102,-12.277542114257812,-12.840042114257812,1000
train,1,The bright dogs,The bright dog,-10.636468887329102,-14.386468887329102,-12.476988792419434,-11.789488792419434,-10.567254066467285,-14.254754066467285,1000
train,0,The slender rabbit,The slender rabbits,-11.268779754638672,-16.518779754638672,-15.606504440307617,-12.731504440307617,-11.190810203552246,-16.628311157226562,1000
train,1,The slender rabbits,The slender rabbit,-12.731504440307617,-15.606504440307617,-16.518779754638672,-11.268779754638672,-12.737768173217773,-15.675268173217773,1000
