layer,tok,neuron,attribution
22,5,1172,0.6357545256614685
24,5,6024,0.4034418761730194
21,5,972,0.39640337228775024
19,5,4954,0.2962997853755951
26,5,2288,0.2843817174434662
23,5,28,0.28222158551216125
25,5,1606,0.2816939055919647
26,5,152,0.2648272216320038
21,5,1444,0.2537788450717926
25,5,4923,0.19266827404499054
25,5,3208,0.18860779702663422
26,5,5436,0.1770111471414566
20,5,1432,0.1752943992614746
24,5,4418,0.1490604728460312
17,5,2198,0.1443120539188385
20,5,765,0.12888038158416748
25,5,4591,0.12460795789957047
26,5,2027,0.1203811913728714
17,5,1698,0.11626674979925156
24,5,261,0.10907495021820068
16,5,1116,0.1090509220957756
23,5,1914,0.10508851706981659
16,5,4569,0.08472096174955368
24,5,4884,0.0801234096288681
16,5,846,0.07777570188045502
19,5,4811,0.07048909366130829
17,5,1258,0.06915248930454254
4,5,3771,0.06586392223834991
24,5,356,0.06541954725980759
9,5,2555,0.06387808918952942
26,5,2595,0.06381302326917648
25,5,2950,0.06321796774864197
19,5,6064,0.06311466544866562
27,5,4485,0.06266359984874725
26,5,3033,0.06224636733531952
18,5,3820,0.061745379120111465
12,5,3782,0.05932313948869705
26,5,3481,0.05854155495762825
18,5,3996,0.05459447205066681
18,5,520,0.05324980616569519
14,5,3591,0.053005073219537735
25,5,4235,0.051995377987623215
26,5,3955,0.05134879797697067
6,5,1300,0.049445681273937225
23,5,3720,0.0481271930038929
18,5,4318,0.047132495790719986
19,5,3729,0.04584570601582527
25,5,1056,0.045460693538188934
27,5,4987,0.04379323869943619
23,5,4654,0.043150272220373154
20,5,352,0.04264412820339203
25,5,368,0.04173325002193451
15,5,835,0.041300300508737564
26,5,1623,0.03716310113668442
10,5,5000,0.036674514412879944
24,5,4127,0.03582335263490677
14,5,6,0.03524097427725792
20,5,2876,0.034796491265296936
26,5,1963,0.03452986478805542
25,5,722,0.03210921213030815
19,5,4396,0.03146755322813988
25,5,4766,0.03006516396999359
27,5,303,0.02919815666973591
2,5,2668,0.02856074459850788
24,5,2476,0.028390903025865555
5,5,331,0.02815832383930683
22,5,923,0.02791689522564411
27,5,1227,0.027509411796927452
15,5,3674,0.027335332706570625
21,5,4331,0.027089307084679604
18,5,5918,0.027023686096072197
1,5,2389,0.026961984112858772
14,5,3176,0.025810934603214264
24,5,3895,0.025520410388708115
16,5,318,0.02495529130101204
18,5,4721,0.024942001327872276
15,5,2160,0.024448325857520103
11,5,2060,0.02428421936929226
18,5,4464,0.02402079850435257
24,5,1565,0.023817863315343857
27,5,3782,0.023615660145878792
25,5,4559,0.023381387814879417
0,5,2583,0.022940291091799736
26,5,812,0.022914476692676544
15,5,1961,0.022648314014077187
20,5,5767,0.022482236847281456
25,5,5780,0.02240901254117489
14,5,1422,0.022347766906023026
25,5,5526,0.022082781419157982
19,5,780,0.02057761140167713
22,5,3704,0.02050568349659443
27,5,1154,0.020274531096220016
5,5,1028,0.01979713886976242
10,5,5898,0.019003264605998993
26,5,2613,0.01892082206904888
26,5,2290,0.01882701925933361
0,5,1748,0.018681151792407036
3,5,5213,0.018530933186411858
4,5,1850,0.018265612423419952
13,5,5939,0.017658656463027
18,5,5531,0.01761425845324993
5,5,4388,0.0173549372702837
10,5,2023,0.017338519915938377
21,5,2446,0.016929544508457184
10,5,1818,0.016916917636990547
7,5,5826,0.01674722321331501
23,5,116,0.01645047776401043
19,5,2594,0.016356687992811203
22,5,3623,0.01606868766248226
27,5,583,0.015948912128806114
14,5,618,0.015507043339312077
24,5,5241,0.01525789499282837
18,5,120,0.014991693198680878
11,5,241,0.014499141834676266
7,5,4590,0.014470534399151802
20,5,5985,0.014089182019233704
19,5,905,0.01404791884124279
2,5,216,0.014018122106790543
7,5,2608,0.013698271475732327
27,5,3746,0.013685568235814571
15,5,4959,0.013464742340147495
25,5,1188,0.0134590407833457
21,5,290,0.013326979242265224
8,5,4200,0.013291790150105953
18,5,4867,0.012874392792582512
20,5,1781,0.012723109684884548
20,5,1736,0.012644240632653236
12,5,4829,0.012503786012530327
26,5,644,0.012331820093095303
5,5,5184,0.012143888510763645
16,5,4662,0.01209177915006876
26,5,593,0.012035354040563107
16,5,2980,0.011637527495622635
21,5,2999,0.011302437633275986
14,5,5930,0.010928313247859478
9,5,3252,0.010889935307204723
25,5,3922,0.010881994850933552
24,5,2196,0.010796849615871906
21,5,6138,0.010771503672003746
8,5,5260,0.010677793063223362
0,5,2412,0.010652639903128147
9,5,413,0.010558546520769596
17,5,2432,0.010484241880476475
16,5,1173,0.010433324612677097
24,5,3304,0.010418142192065716
22,5,4470,0.010383152402937412
27,5,4478,0.010382300242781639
16,5,2480,0.00999540463089943
23,5,3150,0.009990165010094643
10,5,2475,0.009887152351439
24,5,584,0.009876093827188015
18,5,2493,0.009544682689011097
24,5,2423,0.009431418962776661
19,5,5692,0.009339159354567528
9,5,3238,0.009107672609388828
8,5,2132,0.009084068238735199
26,5,2555,0.009075104258954525
20,5,3839,0.00905857514590025
27,5,3290,0.008986309170722961
23,5,5041,0.008958623744547367
26,5,5074,0.008905391208827496
19,5,5552,0.008874371647834778
0,5,5431,0.008848362602293491
10,5,4528,0.00878682266920805
25,5,5651,0.008743627928197384
15,5,5887,0.008624034002423286
4,5,1995,0.008614116348326206
19,5,3062,0.008588092401623726
21,5,3932,0.008541119284927845
25,5,639,0.008485223166644573
27,5,3387,0.00837693177163601
17,5,4270,0.00835871696472168
18,5,3505,0.00833597406744957
26,5,2289,0.008180818520486355
20,5,4736,0.008146525360643864
17,5,295,0.008107595145702362
27,5,477,0.008101190440356731
4,5,4416,0.008071896620094776
24,5,549,0.008050856180489063
26,5,1403,0.007902340032160282
4,5,1427,0.007816371507942677
17,5,4624,0.00781378336250782
5,5,1630,0.0078079430386424065
24,5,4966,0.0077517591416835785
26,5,3029,0.007715091574937105
6,5,345,0.007638747338205576
14,5,6007,0.007564595900475979
19,5,3914,0.007554279174655676
15,5,831,0.007548622786998749
11,5,1885,0.007467457093298435
16,5,242,0.007460259832441807
19,5,2314,0.0073885852470994
18,5,332,0.007369297556579113
22,5,1527,0.007353609427809715
7,5,888,0.007352264132350683
2,5,3614,0.007321848068386316
22,5,3764,0.007315991912037134
21,5,2275,0.007192586082965136
18,5,2613,0.007140341680496931
12,5,1273,0.0071001844480633736
