split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy lion beneath the boilers around the tanks outside the pipes,The sleepy lions beneath the boiler around the tank outside the pipe,-5.170042514801025,-8.920042991638184,-5.893918037414551,-10.01891803741455,-5.175837993621826,-7.175837993621826,-5.898594856262207,-8.148594856262207,128
train,1,The sleepy lions beneath the boiler around the tank outside the pipe,The sleepy lion beneath the boilers around the tanks outside the pipes,-5.452931880950928,-6.702931880950928,-5.76479959487915,-9.514800071716309,-6.063565254211426,-6.438565254211426,-6.0141377449035645,-8.764138221740723,128
train,0,The sleepy lion past the vines beneath the trenches around the dams,The sleepy lions past the vine beneath the trench around the dam,-8.639498710632324,-9.889498710632324,-7.522854804992676,-9.522854804992676,-9.262527465820312,-9.637527465820312,-8.020386695861816,-9.145386695861816,128
train,1,The sleepy lions past the vine beneath the trench around the dam,The sleepy lion past the vines beneath the trenches around the dams,-8.513688087463379,-9.638688087463379,-6.405247688293457,-9.155247688293457,-9.26252555847168,-9.57502555847168,-7.396569728851318,-9.14656925201416,128
train,0,The quiet horse around the thresholds outside the drums behind the bolts,The quiet horses around the threshold outside the drum behind the bolt,-8.281840324401855,-10.094340324401855,-7.2642598152160645,-10.764259338378906,-8.177958488464355,-8.677958488464355,-7.1467204093933105,-8.896720886230469,128
train,1,The quiet horses around the threshold outside the drum behind the bolt,The quiet horse around the thresholds outside the drums behind the bolts,-4.9189043045043945,-7.9814043045043945,-4.232000827789307,-8.982000350952148,-5.023171424865723,-6.898171424865723,-4.711616516113281,-8.211616516113281,128
train,0,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.414520263671875,-11.039520263671875,-7.773134231567383,-11.085634231567383,-8.541531562805176,-10.479031562805176,-7.899777889251709,-10.149778366088867,128
train,1,The quiet rats behind the rush past the vine beneath the trench,The quiet rat behind the rushes past the vines beneath the trenches,-8.417717933654785,-9.042717933654785,-6.773374557495117,-10.585874557495117,-9.350153923034668,-8.975153923034668,-7.644633769989014,-10.144634246826172,128
train,0,The slender panda past the crates beneath the barrels around the statues,The slender pandas past the crate beneath the barrel around the statue,-7.16813325881958,-8.668133735656738,-6.558739185333252,-9.18373966217041,-7.903794288635254,-8.653794288635254,-6.806875705718994,-8.306876182556152,128
train,1,The slender pandas past the crate beneath the barrel around the statue,The slender panda past the crates beneath the barrels around the statues,-8.663957595825195,-9.663957595825195,-6.070943355560303,-9.195943832397461,-10.022347450256348,-9.772347450256348,-7.0544657707214355,-8.804466247558594,128
train,0,The fuzzy panda outside the cabins behind the signs past the nests,The fuzzy pandas outside the cabin behind the sign past the nest,-13.976153373718262,-15.351153373718262,-12.440339088439941,-14.752839088439941,-14.176356315612793,-14.426356315612793,-12.655594825744629,-13.593094825744629,128
train,1,The fuzzy pandas outside the cabin behind the sign past the nest,The fuzzy panda outside the cabins behind the signs past the nests,-13.077218055725098,-15.014718055725098,-11.803753852844238,-14.928753852844238,-13.326203346252441,-14.388703346252441,-12.101418495178223,-14.226418495178223,128
train,0,The sleepy turtle around the carts outside the benches behind the windows,The sleepy turtles around the cart outside the bench behind the window,-6.4026594161987305,-10.40265941619873,-6.0337371826171875,-11.658737182617188,-5.926839828491211,-8.176839828491211,-6.0423431396484375,-9.417343139648438,128
train,1,The sleepy turtles around the cart outside the bench behind the window,The sleepy turtle around the carts outside the benches behind the windows,-4.240447521209717,-9.240447044372559,-4.233682155609131,-8.983681678771973,-4.474369525909424,-8.224370002746582,-4.594470500946045,-8.094470977783203,128
train,0,The small rabbit around the stools outside the clocks behind the plants,The small rabbits around the stool outside the clock behind the plant,-8.380486488342285,-10.255486488342285,-7.142421722412109,-11.01742172241211,-8.382258415222168,-9.132258415222168,-7.272589206695557,-9.522589683532715,128
train,1,The small rabbits around the stool outside the clock behind the plant,The small rabbit around the stools outside the clocks behind the plants,-3.9534730911254883,-8.703473091125488,-3.2292635440826416,-8.979263305664062,-5.159849166870117,-8.534849166870117,-4.6151957511901855,-8.865196228027344,128
train,0,The slender turtle around the towers outside the cabins behind the signs,The slender turtles around the tower outside the cabin behind the sign,-7.0308308601379395,-9.530830383300781,-5.739926815032959,-9.302427291870117,-6.790114879608154,-8.290115356445312,-5.89232873916626,-7.89232873916626,128
train,1,The slender turtles around the tower outside the cabin behind the sign,The slender turtle around the towers outside the cabins behind the signs,-4.1463398933410645,-8.583839416503906,-3.810576915740967,-8.310576438903809,-4.589813232421875,-7.839813232421875,-4.498880863189697,-7.623880863189697,128
train,0,The fuzzy frog behind the plants past the logs beneath the columns,The fuzzy frogs behind the plant past the log beneath the column,-6.141189098358154,-10.141189575195312,-7.633792400360107,-11.696292877197266,-6.3906168937683105,-8.640616416931152,-7.510839939117432,-10.26084041595459,128
train,1,The fuzzy frogs behind the plant past the log beneath the column,The fuzzy frog behind the plants past the logs beneath the columns,-5.398993015289307,-8.148992538452148,-7.1336259841918945,-10.133625984191895,-6.138564109802246,-8.013564109802246,-7.3836989402771,-9.383698463439941,128
train,0,The bright horse past the boxes beneath the walls around the tables,The bright horses past the box beneath the wall around the table,-9.142285346984863,-11.017285346984863,-6.930202484130859,-9.80520248413086,-9.396230697631836,-10.146230697631836,-6.967154026031494,-8.467154502868652,128
train,1,The bright horses past the box beneath the wall around the table,The bright horse past the boxes beneath the walls around the tables,-8.282134056091309,-10.407134056091309,-5.610020160675049,-8.735020637512207,-8.656232833862305,-9.906232833862305,-5.8822784423828125,-7.8822784423828125,128
train,0,The quiet cow outside the pipes behind the valves past the cables,The quiet cows outside the pipe behind the valve past the cable,-14.462213516235352,-15.962213516235352,-13.518686294555664,-16.206186294555664,-14.781840324401855,-15.406840324401855,-13.835821151733398,-15.210821151733398,128
train,1,The quiet cows outside the pipe behind the valve past the cable,The quiet cow outside the pipes behind the valves past the cables,-13.093514442443848,-14.531014442443848,-14.325292587280273,-17.575292587280273,-13.571025848388672,-14.571025848388672,-14.512932777404785,-17.0129337310791,128
train,0,The slender monitor around the carts outside the benches behind the windows,The slender monitors around the cart outside the bench behind the window,-3.633955955505371,-7.258955955505371,-4.806595325469971,-11.056595802307129,-3.540266990661621,-5.915266990661621,-4.6991753578186035,-9.074175834655762,128
train,1,The slender monitors around the cart outside the bench behind the window,The slender monitor around the carts outside the benches behind the windows,-2.1789543628692627,-7.678954601287842,-2.499559164047241,-7.99955940246582,-2.4787776470184326,-6.228777885437012,-2.917600154876709,-6.917600154876709,128
train,0,The quiet rat beneath the columns around the towers outside the cabins,The quiet rats beneath the column around the tower outside the cabin,-4.56959342956543,-7.81959342956543,-5.391637802124023,-9.266637802124023,-4.658421516418457,-6.533421516418457,-5.405091762542725,-7.780091762542725,128
train,1,The quiet rats beneath the column around the tower outside the cabin,The quiet rat beneath the columns around the towers outside the cabins,-4.405284881591797,-7.780284881591797,-3.7561779022216797,-8.63117790222168,-4.829205513000488,-6.704205513000488,-4.087152004241943,-7.587152004241943,128
train,0,The small kitten outside the stools behind the clocks past the plants,The small kittens outside the stool behind the clock past the plant,-17.262964248657227,-18.325464248657227,-17.197420120239258,-18.634920120239258,-17.637149810791016,-18.012149810791016,-17.32200813293457,-18.32200813293457,128
train,1,The small kittens outside the stool behind the clock past the plant,The small kitten outside the stools behind the clocks past the plants,-17.018054962158203,-20.080554962158203,-14.891716003417969,-17.51671600341797,-17.571796417236328,-20.196796417236328,-15.786688804626465,-18.00543975830078,128
train,0,The fuzzy horse past the vines beneath the trenches around the dams,The fuzzy horses past the vine beneath the trench around the dam,-8.886198043823242,-9.761198043823242,-8.384632110595703,-10.134632110595703,-9.136626243591309,-9.636626243591309,-8.759173393249512,-9.759173393249512,128
train,1,The fuzzy horses past the vine beneath the trench around the dam,The fuzzy horse past the vines beneath the trenches around the dams,-7.64272403717041,-9.14272403717041,-6.76522159576416,-9.39022159576416,-8.637163162231445,-9.387163162231445,-7.762104511260986,-9.262104988098145,128
train,0,The nervous chick past the screws beneath the boilers around the tanks,The nervous chicks past the screw beneath the boiler around the tank,-6.807872772216797,-8.682872772216797,-8.385276794433594,-11.135276794433594,-7.3045268058776855,-8.429527282714844,-8.636651992797852,-10.136651992797852,128
train,1,The nervous chicks past the screw beneath the boiler around the tank,The nervous chick past the screws beneath the boilers around the tanks,-7.308523178100586,-8.058523178100586,-6.153471946716309,-9.653471946716309,-8.189359664916992,-7.93936014175415,-6.9010233879089355,-9.276022911071777,128
train,0,The slender turtle beneath the boilers around the tanks outside the pipes,The slender turtles beneath the boiler around the tank outside the pipe,-3.96559739112854,-7.840597152709961,-5.5208892822265625,-10.520889282226562,-4.207234859466553,-6.332234859466553,-5.649973392486572,-8.39997386932373,128
train,1,The slender turtles beneath the boiler around the tank outside the pipe,The slender turtle beneath the boilers around the tanks outside the pipes,-3.65822696685791,-5.90822696685791,-5.638210296630859,-9.88821029663086,-4.475734233856201,-5.600734233856201,-6.0119853019714355,-9.136985778808594,128
train,0,The quiet cow around the dams outside the pots behind the pans,The quiet cows around the dam outside the pot behind the pan,-14.526192665100098,-15.526192665100098,-14.102400779724121,-16.289899826049805,-14.164527893066406,-14.477027893066406,-13.76074504852295,-15.01074504852295,128
train,1,The quiet cows around the dam outside the pot behind the pan,The quiet cow around the dams outside the pots behind the pans,-13.650588989257812,-15.275588989257812,-13.6156005859375,-15.6156005859375,-13.904359817504883,-14.966859817504883,-13.862052917480469,-15.174552917480469,128
train,0,The fuzzy kit around the carts outside the benches behind the windows,The fuzzy kits around the cart outside the bench behind the window,-3.993896007537842,-5.993896007537842,-5.774844646453857,-10.7748441696167,-3.918214797973633,-4.918214797973633,-5.539231300354004,-8.164231300354004,128
