split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The nervous chick past the screws,The nervous chicks past the screw,-8.880851745605469,-10.693351745605469,-8.257278442382812,-11.444778442382812,-9.131149291992188,-10.006149291992188,-8.258475303649902,-10.383475303649902,128
train,1,The nervous chicks past the screw,The nervous chick past the screws,-7.943602085113525,-8.318602561950684,-7.512027263641357,-10.012027740478516,-8.247476577758789,-8.122476577758789,-8.01085090637207,-9.63585090637207,128
train,0,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.247017860412598,-14.747017860412598,-12.640562057495117,-16.078062057495117,-10.911393165588379,-13.411393165588379,-11.97147274017334,-14.40897274017334,128
train,1,The sleepy rabbits beneath the milestone,The sleepy rabbit beneath the milestones,-9.466771125793457,-13.654271125793457,-10.209096908569336,-14.084096908569336,-10.004733085632324,-13.129733085632324,-10.627785682678223,-13.690285682678223,128
train,0,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-4.008330821990967,-9.570831298828125,-4.330972671508789,-9.143472671508789,-2.811145782470703,-4.686145782470703,-4.48049259185791,-7.35549259185791,128
train,1,The sleepy bats beneath the boiler,The sleepy bat beneath the boilers,-2.3747153282165527,-6.624715328216553,-1.9258906841278076,-7.675890922546387,-3.0934104919433594,-6.093410491943359,-2.6751537322998047,-7.175153732299805,128
train,0,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-5.166869163513184,-10.666869163513184,-4.688847541809082,-8.813847541809082,-3.8408806324005127,-5.465880393981934,-4.713248252868652,-6.963248252868652,128
train,1,The sleepy lions beneath the boiler,The sleepy lion beneath the boilers,-3.2440919876098633,-7.494091987609863,-2.132713556289673,-7.820213317871094,-3.968575954437256,-7.218575954437256,-3.0094287395477295,-7.259428977966309,128
train,0,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.4363627433776855,-7.9363627433776855,-5.307643890380859,-8.80764389038086,-6.57273006439209,-7.07273006439209,-5.328637599945068,-6.953637599945068,128
train,1,The quiet sharks outside the clock,The quiet shark outside the clocks,-6.925836086273193,-8.675836563110352,-4.0491108894348145,-8.486611366271973,-7.246483325958252,-7.496483325958252,-4.874185085296631,-7.874185085296631,128
train,0,The calm dog outside the houses,The calm dogs outside the house,-4.701889514923096,-8.326889991760254,-4.932468891143799,-9.86996841430664,-4.945723056793213,-6.945723056793213,-5.05850076675415,-8.433501243591309,128
train,1,The calm dogs outside the house,The calm dog outside the houses,-2.8046181201934814,-5.929617881774902,-2.2454748153686523,-6.870474815368652,-3.503838062286377,-5.253838062286377,-3.0014536380767822,-6.376453876495361,128
train,0,The slender pup behind the bolts,The slender pups behind the bolt,-12.917343139648438,-14.604843139648438,-11.831598281860352,-14.269098281860352,-13.051064491271973,-13.863564491271973,-11.850671768188477,-13.288171768188477,128
train,1,The slender pups behind the bolt,The slender pup behind the bolts,-10.98233699798584,-14.91983699798584,-9.623238563537598,-14.185738563537598,-11.258798599243164,-14.258798599243164,-10.241493225097656,-13.741493225097656,128
train,0,The small frog around the tanks,The small frogs around the tank,-5.81474494934082,-8.56474494934082,-5.301711082458496,-9.051711082458496,-4.998561382293701,-6.873561382293701,-5.556176662445068,-7.431176662445068,128
train,1,The small frogs around the tank,The small frog around the tanks,-1.4762725830078125,-7.2262725830078125,-1.930528163909912,-7.930528163909912,-2.33872127532959,-6.21372127532959,-3.021982192993164,-7.146982192993164,128
train,0,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.340944290161133,-7.840944290161133,-4.456297874450684,-9.081297874450684,-4.250295162200928,-6.375295162200928,-4.032547950744629,-7.032547950744629,128
train,1,The fuzzy pandas outside the pot,The fuzzy panda outside the pots,-3.24345064163208,-5.11845064163208,-2.2942404747009277,-4.919240474700928,-3.8879973888397217,-4.387997150421143,-3.4585304260253906,-4.208530426025391,128
train,0,The small panda behind the bolts,The small pandas behind the bolt,-5.9005913734436035,-10.213090896606445,-5.650454998016357,-10.275455474853516,-5.660322189331055,-8.160322189331055,-5.531920909881592,-8.406920433044434,128
train,1,The small pandas behind the bolt,The small panda behind the bolts,-4.968282699584961,-7.843282699584961,-3.513223171234131,-8.013222694396973,-5.453199863433838,-7.203199863433838,-4.22782039642334,-7.35282039642334,128
train,0,The quiet turtle around the dams,The quiet turtles around the dam,-5.580992221832275,-7.705992221832275,-5.801016330718994,-8.676016807556152,-5.84622049331665,-6.59622049331665,-5.695850372314453,-7.320850372314453,128
train,1,The quiet turtles around the dam,The quiet turtle around the dams,-2.1728172302246094,-7.860317230224609,-1.8138411045074463,-7.063840866088867,-3.5044262409210205,-7.6294264793396,-2.982113838195801,-6.732113838195801,128
