split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy lion beneath the boilers around the tanks outside the pipes,The sleepy lions beneath the boiler around the tank outside the pipe,-5.170042514801025,-8.920042991638184,-6.702931880950928,-5.452931880950928,-5.692649841308594,-7.442649841308594,128
train,1,The sleepy lions beneath the boiler around the tank outside the pipe,The sleepy lion beneath the boilers around the tanks outside the pipes,-5.452931880950928,-6.702931880950928,-8.920042991638184,-5.170042514801025,-5.668131351470947,-6.293131351470947,128
train,0,The sleepy lion past the vines beneath the trenches around the dams,The sleepy lions past the vine beneath the trench around the dam,-8.639498710632324,-9.889498710632324,-9.638688087463379,-8.513688087463379,-8.641439437866211,-9.266439437866211,128
train,1,The sleepy lions past the vine beneath the trench around the dam,The sleepy lion past the vines beneath the trenches around the dams,-8.513688087463379,-9.638688087463379,-9.889498710632324,-8.639498710632324,-8.515519142150879,-9.515519142150879,128
train,0,The quiet horse around the thresholds outside the drums behind the bolts,The quiet horses around the threshold outside the drum behind the bolt,-8.281840324401855,-10.094340324401855,-7.9814043045043945,-4.9189043045043945,-6.100776672363281,-6.225776672363281,128
train,1,The quiet horses around the threshold outside the drum behind the bolt,The quiet horse around the thresholds outside the drums behind the bolts,-4.9189043045043945,-7.9814043045043945,-10.094340324401855,-8.281840324401855,-7.447316646575928,-9.509817123413086,128
train,0,The quiet rat behind the rushes past the vines beneath the trenches,The quiet rats behind the rush past the vine beneath the trench,-8.414520263671875,-11.039520263671875,-9.042717933654785,-8.417717933654785,-8.653587341308594,-10.216087341308594,128
train,1,The quiet rats behind the rush past the vine beneath the trench,The quiet rat behind the rushes past the vines beneath the trenches,-8.417717933654785,-9.042717933654785,-11.039520263671875,-8.414520263671875,-8.923884391784668,-8.548884391784668,128
train,0,The slender panda past the crates beneath the barrels around the statues,The slender pandas past the crate beneath the barrel around the statue,-7.16813325881958,-8.668133735656738,-9.663957595825195,-8.663957595825195,-8.899886131286621,-11.212386131286621,128
train,1,The slender pandas past the crate beneath the barrel around the statue,The slender panda past the crates beneath the barrels around the statues,-8.663957595825195,-9.663957595825195,-8.668133735656738,-7.16813325881958,-7.42193078994751,-7.67193078994751,128
