split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The fuzzy monitor past the rocks beneath the chairs,The fuzzy monitors past the rock beneath the chair,-13.270052909851074,-17.27005386352539,-16.846818923950195,-15.596817970275879,-16.150753021240234,-17.088253021240234,128
train,1,The fuzzy monitors past the rock beneath the chair,The fuzzy monitor past the rocks beneath the chairs,-15.596817970275879,-16.846818923950195,-17.27005386352539,-13.270052909851074,-14.343343734741211,-14.593343734741211,128
train,0,The slender monitor beneath the logs around the columns,The slender monitors beneath the log around the column,-2.68845796585083,-5.81345796585083,-6.485278129577637,-1.9852781295776367,-4.192260265350342,-3.192260503768921,128
train,1,The slender monitors beneath the log around the column,The slender monitor beneath the logs around the columns,-1.9852781295776367,-6.485278129577637,-5.81345796585083,-2.68845796585083,-2.653637409210205,-3.653637409210205,128
train,0,The timid panda past the barrels beneath the statues,The timid pandas past the barrel beneath the statue,-7.7697529792785645,-9.769752502441406,-9.912375450134277,-8.662375450134277,-9.401365280151367,-11.401365280151367,128
train,1,The timid pandas past the barrel beneath the statue,The timid panda past the barrels beneath the statues,-8.662375450134277,-9.912375450134277,-9.769752502441406,-7.7697529792785645,-7.898822784423828,-8.648822784423828,128
train,0,The fuzzy lion behind the crates past the barrels,The fuzzy lions behind the crate past the barrel,-17.150115966796875,-19.712615966796875,-18.23458480834961,-17.01583480834961,-17.759357452392578,-18.509357452392578,128
train,1,The fuzzy lions behind the crate past the barrel,The fuzzy lion behind the crates past the barrels,-17.01583480834961,-18.23458480834961,-19.712615966796875,-17.150115966796875,-17.64591407775879,-17.83341407775879,128
train,0,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-4.453072547912598,-9.203072547912598,-5.174036502838135,-4.174036502838135,-3.9832334518432617,-7.733233451843262,128
train,1,The slender sharks outside the pot behind the pan,The slender shark outside the pots behind the pans,-4.174036502838135,-5.174036502838135,-9.203072547912598,-4.453072547912598,-4.849854469299316,-5.474854469299316,128
train,0,The calm kitten around the columns outside the towers,The calm kittens around the column outside the tower,-5.233323097229004,-9.545823097229004,-5.817519187927246,-3.067519426345825,-4.365492343902588,-5.740492343902588,128
train,1,The calm kittens around the column outside the tower,The calm kitten around the columns outside the towers,-3.067519426345825,-5.817519187927246,-9.545823097229004,-5.233323097229004,-5.201895236968994,-5.826895236968994,128
train,0,The nervous rat outside the clocks behind the plants,The nervous rats outside the clock behind the plant,-8.753030776977539,-12.815530776977539,-10.139888763427734,-6.389888763427734,-8.258258819580078,-8.883258819580078,128
train,1,The nervous rats outside the clock behind the plant,The nervous rat outside the clocks behind the plants,-6.389888763427734,-10.139888763427734,-12.815530776977539,-8.753030776977539,-8.129712104797363,-9.754712104797363,128
train,0,The small rabbit beneath the boilers around the tanks,The small rabbits beneath the boiler around the tank,-12.56600284576416,-15.69100284576416,-16.453649520874023,-13.609899520874023,-14.461993217468262,-14.649493217468262,128
train,1,The small rabbits beneath the boiler around the tank,The small rabbit beneath the boilers around the tanks,-13.609899520874023,-16.453649520874023,-15.69100284576416,-12.56600284576416,-13.07525634765625,-13.70025634765625,128
train,0,The quiet chick outside the pipes behind the valves,The quiet chicks outside the pipe behind the valve,-14.017498970031738,-15.017498970031738,-14.195399284362793,-11.570399284362793,-13.622563362121582,-12.435063362121582,128
train,1,The quiet chicks outside the pipe behind the valve,The quiet chick outside the pipes behind the valves,-11.570399284362793,-14.195399284362793,-15.017498970031738,-14.017498970031738,-13.586065292358398,-14.586065292358398,128
train,0,The sleepy whale around the columns outside the towers,The sleepy whales around the column outside the tower,-14.978121757507324,-15.790621757507324,-15.135506629943848,-12.323006629943848,-14.815878868103027,-13.940878868103027,128
train,1,The sleepy whales around the column outside the tower,The sleepy whale around the columns outside the towers,-12.323006629943848,-15.135506629943848,-15.790621757507324,-14.978121757507324,-13.522337913513184,-15.209837913513184,128
train,0,The sleepy pup beneath the milestones around the thresholds,The sleepy pups beneath the milestone around the threshold,-15.158909797668457,-15.908909797668457,-17.949012756347656,-13.04276180267334,-16.367277145385742,-13.773526191711426,128
train,1,The sleepy pups beneath the milestone around the threshold,The sleepy pup beneath the milestones around the thresholds,-13.04276180267334,-17.949012756347656,-15.908909797668457,-15.158909797668457,-14.14741039276123,-16.459911346435547,128
