split,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,4,5,The sleepy bat,The sleepy bats,-1.7876750230789185,-9.912674903869629,-8.382944107055664,-1.632943868637085,-8.382944107055664,-1.632943868637085
train,4,5,The fuzzy frog,The fuzzy frogs,-11.5399751663208,-14.3524751663208,-15.562820434570312,-11.469070434570312,-15.562820434570312,-11.469070434570312
train,4,5,The bright shark,The bright sharks,-8.126668930053711,-10.751668930053711,-11.224993705749512,-8.662493705749512,-11.224993705749512,-8.662493705749512
train,4,5,The small bat,The small bats,-7.9101362228393555,-14.472636222839355,-13.200033187866211,-7.512532711029053,-13.200033187866211,-7.512532711029053
train,4,5,The bright chick,The bright chicks,-13.915704727172852,-15.790704727172852,-16.171066284179688,-14.264817237854004,-16.171066284179688,-14.264817237854004
train,4,5,The nervous panda,The nervous pandas,-11.384485244750977,-12.384485244750977,-13.646214485168457,-11.521214485168457,-13.646214485168457,-11.521214485168457
train,4,5,The slender turtle,The slender turtles,-11.532865524291992,-15.345365524291992,-16.214046478271484,-13.214046478271484,-16.214046478271484,-13.214046478271484
train,4,5,The quiet turtle,The quiet turtles,-2.762550115585327,-10.575050354003906,-8.051321029663086,-2.676320791244507,-8.051321029663086,-2.676320791244507
train,4,5,The sleepy doe,The sleepy does,-12.762168884277344,-14.137168884277344,-16.20104217529297,-14.138541221618652,-16.20104217529297,-14.138541221618652
train,4,5,The timid horse,The timid horses,-2.5963735580444336,-10.033873558044434,-8.311888694763184,-1.9368889331817627,-8.311888694763184,-1.9368889331817627
train,4,5,The nervous rat,The nervous rats,-3.4740402698516846,-10.786540031433105,-7.725581169128418,-2.475581169128418,-7.725581169128418,-2.475581169128418
train,4,5,The fuzzy shark,The fuzzy sharks,-1.1591523885726929,-7.846652507781982,-5.41188907623291,-1.0368893146514893,-5.41188907623291,-1.0368893146514893
train,4,5,The timid horse,The timid horses,-10.283873558044434,-13.783873558044434,-13.999388694763184,-10.124388694763184,-13.999388694763184,-10.124388694763184
train,4,5,The timid dog,The timid dogs,-11.071450233459473,-12.696450233459473,-13.273736953735352,-9.586236953735352,-13.273736953735352,-9.586236953735352
train,4,5,The timid rabbit,The timid rabbits,-2.2501823902130127,-10.375182151794434,-7.809828758239746,-1.4973288774490356,-7.809828758239746,-1.4973288774490356
train,4,5,The bright panda,The bright pandas,-6.316492080688477,-8.253992080688477,-11.32215690612793,-7.57215690612793,-11.32215690612793,-7.57215690612793
train,4,5,The fuzzy turtle,The fuzzy turtles,-9.254849433898926,-11.504849433898926,-13.880836486816406,-9.943336486816406,-13.880836486816406,-9.943336486816406
train,4,5,The sleepy monitor,The sleepy monitors,-3.0912673473358154,-10.716267585754395,-8.250810623168945,-2.6258111000061035,-8.250810623168945,-2.6258111000061035
