split,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,10,5,The fuzzy monitor past the rocks beneath the chairs,The fuzzy monitors past the rock beneath the chair,-13.280416488647461,-17.28041648864746,-16.852855682373047,-15.602856636047363,-16.853071212768555,-15.603071212768555
train,10,5,The slender monitor beneath the logs around the columns,The slender monitors beneath the log around the column,-2.77978515625,-5.90478515625,-6.491155624389648,-1.9911555051803589,-6.529234409332275,-1.9042342901229858
train,10,5,The timid panda past the barrels beneath the statues,The timid pandas past the barrel beneath the statue,-7.778036117553711,-9.778036117553711,-9.915512084960938,-8.665512084960938,-9.795487403869629,-8.670487403869629
train,10,5,The fuzzy lion behind the crates past the barrels,The fuzzy lions behind the crate past the barrel,-17.151636123657227,-19.714136123657227,-18.23967933654785,-17.02092933654785,-17.419902801513672,-16.419902801513672
train,10,5,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-4.455977439880371,-9.205977439880371,-5.221696853637695,-4.221696853637695,-5.020423889160156,-4.020423889160156
train,10,5,The calm kitten around the columns outside the towers,The calm kittens around the column outside the tower,-5.278263568878174,-9.590763092041016,-6.090693950653076,-3.340693950653076,-6.073829650878906,-3.323829412460327
train,10,5,The nervous rat outside the clocks behind the plants,The nervous rats outside the clock behind the plant,-8.753806114196777,-12.816306114196777,-10.147856712341309,-6.397856712341309,-10.148146629333496,-6.398147106170654
train,10,5,The small rabbit beneath the boilers around the tanks,The small rabbits beneath the boiler around the tank,-13.095900535583496,-16.220901489257812,-16.749616622924805,-13.905866622924805,-16.621265411376953,-13.71501636505127
train,10,5,The quiet chick outside the pipes behind the valves,The quiet chicks outside the pipe behind the valve,-14.074052810668945,-15.074052810668945,-14.232158660888672,-11.607158660888672,-14.016794204711914,-11.329294204711914
train,10,5,The sleepy whale around the columns outside the towers,The sleepy whales around the column outside the tower,-15.005227088928223,-15.817727088928223,-15.49335765838623,-12.68085765838623,-15.372459411621094,-12.559959411621094
train,10,5,The sleepy pup beneath the milestones around the thresholds,The sleepy pups beneath the milestone around the threshold,-15.267800331115723,-16.01780128479004,-18.100494384765625,-13.194243431091309,-17.988143920898438,-12.988143920898438
train,10,5,The nervous rabbit behind the windows past the crates,The nervous rabbits behind the window past the crate,-16.992271423339844,-18.554771423339844,-17.69869041442871,-15.886191368103027,-17.458593368530273,-15.614843368530273
train,10,5,The quiet dog past the barrels beneath the statues,The quiet dogs past the barrel beneath the statue,-17.014665603637695,-18.389665603637695,-17.120908737182617,-16.120908737182617,-17.007755279541016,-15.945255279541016
train,10,5,The quiet dolphin beneath the chairs around the carts,The quiet dolphins beneath the chair around the cart,-15.09811019897461,-15.66061019897461,-16.785762786865234,-15.379511833190918,-16.718624114990234,-15.218624114990234
train,10,5,The timid cow outside the tables behind the houses,The timid cows outside the table behind the house,-14.020838737487793,-15.770838737487793,-15.828299522399902,-13.390799522399902,-15.820107460021973,-13.445107460021973
train,10,5,The small whale around the tanks outside the pipes,The small whales around the tank outside the pipe,-5.768820285797119,-9.393819808959961,-6.723243713378906,-2.8482437133789062,-6.6247663497924805,-2.7497663497924805
train,10,5,The nervous shark outside the pipes behind the valves,The nervous sharks outside the pipe behind the valve,-7.139904022216797,-10.514904022216797,-7.8250603675842285,-4.8250603675842285,-7.597552299499512,-4.597552299499512
train,10,5,The sleepy monitor around the belts outside the piles,The sleepy monitors around the belt outside the pile,-6.030517578125,-7.280517578125,-8.595808982849121,-2.9083094596862793,-8.671464920043945,-2.9839653968811035
train,10,5,The bright panda outside the benches behind the windows,The bright pandas outside the bench behind the window,-4.6937479972839355,-7.5687479972839355,-7.77947473526001,-3.4044744968414307,-7.775388717651367,-3.400388717651367
train,10,5,The nervous chick past the screws beneath the boilers,The nervous chicks past the screw beneath the boiler,-7.758946418762207,-10.758946418762207,-7.496773719787598,-6.496773719787598,-7.384890556335449,-6.384890556335449
train,10,5,The small dog beneath the trenches around the dams,The small dogs beneath the trench around the dam,-4.0680365562438965,-8.068036079406738,-6.787449836730957,-1.9124499559402466,-6.769634246826172,-1.769634485244751
train,10,5,The nervous rabbit beneath the chairs around the carts,The nervous rabbits beneath the chair around the cart,-5.043386936187744,-9.043386459350586,-7.653738975524902,-3.0287387371063232,-7.4594340324401855,-2.7719340324401855
train,10,5,The slender frog around the towers outside the cabins,The slender frogs around the tower outside the cabin,-6.188460826873779,-9.313461303710938,-7.541083335876465,-2.6660830974578857,-7.539896011352539,-2.66489577293396
train,10,5,The bright bat around the columns outside the towers,The bright bats around the column outside the tower,-3.818711280822754,-6.818711280822754,-4.30385684967041,-2.30385684967041,-4.238593578338623,-2.238593578338623
train,10,5,The timid rat around the benches outside the windows,The timid rats around the bench outside the window,-15.650279998779297,-17.306529998779297,-14.05964469909668,-10.12214469909668,-13.986442565917969,-10.048942565917969
train,10,5,The quiet rat beneath the columns around the towers,The quiet rats beneath the column around the tower,-5.1167192459106445,-9.116719245910645,-7.3871307373046875,-4.3871307373046875,-7.2974419593811035,-4.2974419593811035
train,10,5,The small kit outside the piles behind the rushes,The small kits outside the pile behind the rush,-3.9150032997131348,-7.415003299713135,-7.038671970367432,-6.413671970367432,-7.0199103355407715,-6.6449103355407715
train,10,5,The bright shark behind the valves past the cables,The bright sharks behind the valve past the cable,-19.447513580322266,-20.385013580322266,-19.40077018737793,-18.55702018737793,-18.411518096923828,-17.630268096923828
train,10,5,The nervous panda outside the clocks behind the plants,The nervous pandas outside the clock behind the plant,-17.814611434936523,-20.939611434936523,-18.915786743164062,-17.947036743164062,-18.730077743530273,-17.761327743530273
train,10,5,The slender dolphin past the logs beneath the columns,The slender dolphins past the log beneath the column,-14.699918746948242,-16.762418746948242,-17.013303756713867,-14.51330280303955,-16.89042854309082,-14.39042854309082
train,10,5,The fuzzy horse past the vines beneath the trenches,The fuzzy horses past the vine beneath the trench,-8.883038520812988,-12.070538520812988,-8.535212516784668,-8.160212516784668,-8.414956092834473,-8.039956092834473
train,10,5,The calm lion around the tanks outside the pipes,The calm lions around the tank outside the pipe,-6.283946990966797,-9.283946990966797,-6.883731842041016,-4.633731842041016,-6.7759222984313965,-4.5259222984313965
train,10,5,The calm shark past the crates beneath the barrels,The calm sharks past the crate beneath the barrel,-14.454930305480957,-15.767430305480957,-14.06062126159668,-13.06062126159668,-14.060884475708008,-12.998384475708008
train,10,5,The timid dog beneath the columns around the towers,The timid dogs beneath the column around the tower,-13.11468505859375,-14.17718505859375,-15.628748893737793,-13.191248893737793,-15.517477035522461,-13.142477035522461
train,10,5,The small rabbit around the towers outside the cabins,The small rabbits around the tower outside the cabin,-17.315446853637695,-19.002946853637695,-19.339664459228516,-14.527165412902832,-19.402969360351562,-14.590468406677246
train,10,5,The small cock around the columns outside the towers,The small cocks around the column outside the tower,-4.48153018951416,-6.48153018951416,-5.217346668243408,-2.967346668243408,-5.129029273986816,-2.8790290355682373
train,10,5,The calm horse beneath the boxes around the walls,The calm horses beneath the box around the wall,-13.82165241241455,-16.071653366088867,-15.692160606384277,-14.129660606384277,-15.293194770812988,-13.730694770812988
train,10,5,The timid dolphin beneath the chairs around the carts,The timid dolphins beneath the chair around the cart,-4.226646423339844,-7.351646423339844,-8.014274597167969,-2.9517745971679688,-7.6910858154296875,-2.6910858154296875
train,10,5,The slender turtle beneath the boilers around the tanks,The slender turtles beneath the boiler around the tank,-2.9383702278137207,-6.688370227813721,-6.135932922363281,-2.1359329223632812,-6.085513114929199,-1.9605133533477783
train,10,5,The small kit around the towers outside the cabins,The small kits around the tower outside the cabin,-13.662506103515625,-17.443756103515625,-15.71124267578125,-14.83624267578125,-15.757140159606934,-14.882140159606934
train,10,5,The calm monitor behind the bolts past the screws,The calm monitors behind the bolt past the screw,-8.535861015319824,-10.535861015319824,-7.900653839111328,-7.650653839111328,-7.112140655517578,-6.862140655517578
train,10,5,The fuzzy cow around the towers outside the cabins,The fuzzy cows around the tower outside the cabin,-4.0291428565979,-7.1541428565979,-6.786751747131348,-2.9117517471313477,-6.813343524932861,-2.8133435249328613
train,10,5,The small rabbit beneath the milestones around the thresholds,The small rabbits beneath the milestone around the threshold,-4.6033453941345215,-7.2283453941345215,-8.044394493103027,-3.6693947315216064,-8.05335807800293,-3.553358554840088
train,10,5,The timid doe outside the tables behind the houses,The timid does outside the table behind the house,-14.191858291625977,-14.941858291625977,-19.96207046508789,-19.14957046508789,-19.869150161743164,-19.087900161743164
train,10,5,The quiet dog outside the pipes behind the valves,The quiet dogs outside the pipe behind the valve,-12.98608112335205,-14.61108112335205,-11.631159782409668,-10.256159782409668,-11.484025001525879,-10.171525001525879
train,10,5,The slender dog behind the cars past the boxes,The slender dogs behind the car past the box,-6.07484245300293,-9.19984245300293,-8.688491821289062,-5.4384918212890625,-8.516258239746094,-5.2662577629089355
train,10,5,The bright turtle outside the piles behind the rushes,The bright turtles outside the pile behind the rush,-5.348804950714111,-8.723804473876953,-8.824080467224121,-6.824080467224121,-8.777448654174805,-6.839948654174805
train,10,5,The calm kitten beneath the milestones around the thresholds,The calm kittens beneath the milestone around the threshold,-5.5371599197387695,-8.91215991973877,-7.3373637199401855,-4.8373637199401855,-7.264033794403076,-4.639033794403076
train,10,5,The bright monitor beneath the logs around the columns,The bright monitors beneath the log around the column,-11.804336547851562,-14.804336547851562,-13.791496276855469,-12.416496276855469,-13.637860298156738,-12.262860298156738
train,10,5,The quiet kitten behind the signs past the nests,The quiet kittens behind the sign past the nest,-15.430468559265137,-17.992969512939453,-16.936702728271484,-15.2492036819458,-16.30828857421875,-14.620789527893066
train,10,5,The small lion behind the bolts past the screws,The small lions behind the bolt past the screw,-7.640078544616699,-10.5775785446167,-8.410863876342773,-5.973363399505615,-7.825559616088867,-5.450559616088867
train,10,5,The fuzzy rat around the carts outside the benches,The fuzzy rats around the cart outside the bench,-3.9657044410705566,-5.965704441070557,-7.162075996398926,-2.162075996398926,-7.03661584854126,-2.0366158485412598
train,10,5,The slender lion outside the piles behind the rushes,The slender lions outside the pile behind the rush,-14.329825401306152,-17.142324447631836,-14.768957138061523,-13.987707138061523,-14.727703094482422,-13.946453094482422
train,10,5,The fuzzy lion behind the valves past the cables,The fuzzy lions behind the valve past the cable,-8.255149841308594,-11.755149841308594,-7.790822982788086,-6.290822982788086,-6.547481060028076,-5.297481060028076
train,10,5,The nervous kit behind the windows past the crates,The nervous kits behind the window past the crate,-7.5216522216796875,-10.396652221679688,-7.3258442878723145,-6.9508442878723145,-7.095222473144531,-6.720222473144531
train,10,5,The nervous turtle behind the rushes past the vines,The nervous turtles behind the rush past the vine,-10.585943222045898,-11.710943222045898,-8.010947227478027,-7.073447227478027,-7.5235795974731445,-6.7735795974731445
train,10,5,The nervous dog beneath the columns around the towers,The nervous dogs beneath the column around the tower,-4.856265068054199,-9.0437650680542,-6.815173149108887,-3.690173387527466,-6.727303504943848,-3.6023035049438477
train,10,5,The small kit around the walls outside the tables,The small kits around the wall outside the table,-4.274935245513916,-6.399935245513916,-6.470597267150879,-3.845597505569458,-6.390052795410156,-3.7650530338287354
