split,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,7,5,The nervous chick past the screws,The nervous chicks past the screw,-8.88097858428955,-10.63097858428955,-8.381706237792969,-7.944206714630127,-7.611052513122559,-6.861052513122559
train,7,5,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.247800827026367,-14.747800827026367,-13.59952449798584,-9.47452449798584,-13.198028564453125,-9.010528564453125
train,7,5,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.892585515975952,-9.580085754394531,-6.661922931671143,-2.4119229316711426,-6.548529624938965,-2.361029624938965
train,7,5,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.922474384307861,-10.48497486114502,-7.479027271270752,-3.354027271270752,-7.418662071228027,-2.9186620712280273
train,7,5,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.313762187957764,-7.813762187957764,-8.562893867492676,-6.812894344329834,-8.758509635925293,-7.008509635925293
train,7,5,The calm dog outside the houses,The calm dogs outside the house,-4.822725772857666,-8.447726249694824,-5.8468098640441895,-2.8468096256256104,-5.790730953216553,-2.6657309532165527
train,7,5,The slender pup behind the bolts,The slender pups behind the bolt,-12.91908073425293,-14.60658073425293,-15.025748252868652,-11.025748252868652,-14.814453125,-10.814453125
train,7,5,The small frog around the tanks,The small frogs around the tank,-5.815065383911133,-8.565065383911133,-7.173422813415527,-1.4234225749969482,-7.036048889160156,-1.2860490083694458
train,7,5,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.113760471343994,-7.613760471343994,-5.331340789794922,-3.331340789794922,-4.8661065101623535,-2.8661067485809326
train,7,5,The small panda behind the bolts,The small pandas behind the bolt,-5.656261920928955,-10.093762397766113,-7.842160701751709,-4.967160701751709,-7.510411739349365,-4.635411739349365
train,7,5,The quiet turtle around the dams,The quiet turtles around the dam,-5.583403587341309,-7.708403587341309,-7.725087642669678,-2.1625876426696777,-7.567438125610352,-1.8174383640289307
train,7,5,The nervous dog around the benches,The nervous dogs around the bench,-6.431293487548828,-8.681293487548828,-6.876457214355469,-2.6264569759368896,-6.49267578125,-2.24267578125
train,7,5,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.5879807472229,-10.837981224060059,-8.00868034362793,-4.2586798667907715,-7.60323429107666,-3.85323429107666
train,7,5,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.5822834968566895,-10.144783020019531,-5.194453239440918,-4.944453239440918,-5.071059703826904,-4.946059703826904
train,7,5,The small panda past the vines,The small pandas past the vine,-15.825640678405762,-18.075641632080078,-15.495870590209961,-14.558370590209961,-15.086176872253418,-13.898676872253418
train,7,5,The timid kitten outside the towers,The timid kittens outside the tower,-4.541837215423584,-9.729337692260742,-7.768908500671387,-2.4564085006713867,-7.613120079040527,-2.2381203174591064
train,7,5,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.5123209953308105,-8.949820518493652,-7.0294647216796875,-2.7169649600982666,-6.637855052947998,-2.387855052947998
train,7,5,The sleepy monitor around the belts,The sleepy monitors around the belt,-6.535492420196533,-7.785492420196533,-7.918105602264404,-2.8556056022644043,-7.636390209197998,-2.573890209197998
train,7,5,The timid pup around the benches,The timid pups around the bench,-13.826068878173828,-16.576068878173828,-14.26769733428955,-10.58019733428955,-14.179247856140137,-10.429247856140137
train,7,5,The quiet monitor outside the towers,The quiet monitors outside the tower,-4.583548069000244,-9.583548545837402,-7.1551032066345215,-2.2801032066345215,-7.061559200286865,-2.3115592002868652
train,7,5,The calm cow around the walls,The calm cows around the wall,-6.546535015106201,-9.04653549194336,-6.446464538574219,-3.321464776992798,-6.218628406524658,-2.968628168106079
train,7,5,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-5.647969722747803,-10.335470199584961,-7.009347438812256,-3.884347438812256,-6.40645170211792,-3.156451463699341
train,7,5,The small frog behind the crates,The small frogs behind the crate,-2.955705404281616,-8.830705642700195,-6.426192283630371,-1.4261925220489502,-6.39377498626709,-1.3937751054763794
train,7,5,The calm whale outside the benches,The calm whales outside the bench,-4.273836612701416,-8.023837089538574,-6.265903472900391,-3.5159032344818115,-6.0750956535339355,-3.3250954151153564
train,7,5,The slender monitor around the carts,The slender monitors around the cart,-2.875576972961426,-6.000576972961426,-8.054037094116211,-1.3665375709533691,-8.062372207641602,-1.3748725652694702
train,7,5,The nervous rat outside the clocks,The nervous rats outside the clock,-7.760507583618164,-9.510507583618164,-8.48820686340332,-5.113206386566162,-8.277824401855469,-4.902824401855469
train,7,5,The quiet shark past the plants,The quiet sharks past the plant,-17.31805992126465,-18.63055992126465,-17.0849666595459,-16.0849666595459,-16.110958099365234,-15.173458099365234
train,7,5,The bright kitten past the signs,The bright kittens past the sign,-9.506747245788574,-11.194247245788574,-9.158867835998535,-7.783867359161377,-8.557559967041016,-6.557559490203857
