split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B
train,0,5,10,The sleepy bat,The sleepy bats,-2.084569215774536,-10.209568977355957,-8.52132797241211,-1.7713274955749512,-2.560014247894287,-10.497514724731445
train,0,5,10,The fuzzy frog,The fuzzy frogs,-12.43608570098877,-15.24858570098877,-15.767359733581543,-11.673609733581543,-11.980034828186035,-14.667534828186035
train,0,5,10,The bright shark,The bright sharks,-8.990523338317871,-11.615523338317871,-11.676008224487305,-9.113508224487305,-9.88252067565918,-12.50752067565918
train,0,5,10,The small bat,The small bats,-8.136110305786133,-14.698610305786133,-13.318246841430664,-7.630747318267822,-7.700661659240723,-14.075661659240723
train,0,5,10,The bright chick,The bright chicks,-15.323587417602539,-17.19858741760254,-16.968647003173828,-15.062397003173828,-15.463473320007324,-16.619722366333008
train,0,5,10,The nervous panda,The nervous pandas,-12.297943115234375,-13.297943115234375,-14.294737815856934,-12.169737815856934,-11.84996223449707,-13.53746223449707
train,0,5,10,The slender turtle,The slender turtles,-12.89495849609375,-16.70745849609375,-16.898834228515625,-13.898833274841309,-12.643067359924316,-16.330568313598633
train,0,5,10,The quiet turtle,The quiet turtles,-4.0152130126953125,-11.827713012695312,-8.435529708862305,-3.0605297088623047,-4.678202152252197,-12.240701675415039
train,0,5,10,The sleepy doe,The sleepy does,-13.941704750061035,-15.316704750061035,-16.355682373046875,-14.293182373046875,-15.181875228881836,-14.681875228881836
train,0,5,10,The timid horse,The timid horses,-3.8225247859954834,-11.260025024414062,-8.980340003967285,-2.605340003967285,-3.8232462406158447,-10.948246002197266
train,0,5,10,The nervous rat,The nervous rats,-3.79487943649292,-11.107378959655762,-8.671459197998047,-3.4214587211608887,-4.2174296379089355,-11.279930114746094
train,0,5,10,The fuzzy shark,The fuzzy sharks,-2.3093416690826416,-8.996841430664062,-5.961289405822754,-1.586289405822754,-3.101975917816162,-9.47697639465332
train,0,5,10,The timid horse,The timid horses,-11.510025024414062,-15.010025024414062,-14.667840003967285,-10.792840003967285,-12.135746002197266,-15.354496002197266
train,0,5,10,The timid dog,The timid dogs,-12.034515380859375,-13.659515380859375,-14.225610733032227,-10.538110733032227,-12.330427169799805,-13.830427169799805
train,0,5,10,The timid rabbit,The timid rabbits,-3.6036224365234375,-11.728622436523438,-8.230484008789062,-1.9179843664169312,-4.001841068267822,-10.814340591430664
train,0,5,10,The bright panda,The bright pandas,-9.925573348999023,-11.863073348999023,-12.665308952331543,-8.915308952331543,-9.750926971435547,-11.875926971435547
train,0,5,10,The fuzzy turtle,The fuzzy turtles,-11.338155746459961,-13.588155746459961,-14.933392524719238,-10.995892524719238,-11.580239295959473,-13.830239295959473
train,0,5,10,The sleepy monitor,The sleepy monitors,-3.7272374629974365,-11.352237701416016,-9.100686073303223,-3.4756860733032227,-5.5438313484191895,-12.731330871582031
train,0,5,10,The calm dolphin,The calm dolphins,-8.854849815368652,-12.479849815368652,-13.952404975891113,-9.014904975891113,-9.287100791931152,-12.724600791931152
train,0,5,10,The small pup,The small pups,-11.62168025970459,-14.99668025970459,-15.135034561157227,-11.760034561157227,-12.154473304748535,-15.404473304748535
train,0,5,10,The quiet whale,The quiet whales,-9.82381820678711,-12.51131820678711,-13.5526762008667,-10.1151762008667,-10.358497619628906,-13.108497619628906
train,0,5,10,The slender doe,The slender does,-14.901532173156738,-18.151531219482422,-18.588115692138672,-14.900616645812988,-16.12714195251465,-15.002142906188965
train,0,5,10,The fuzzy kitten,The fuzzy kittens,-12.878874778747559,-13.378874778747559,-15.568879127502441,-11.943879127502441,-12.961236000061035,-12.961236000061035
train,0,5,10,The bright dog,The bright dogs,-11.789488792419434,-12.476988792419434,-14.386468887329102,-10.636468887329102,-12.412374496459961,-12.974874496459961
train,0,5,10,The slender rabbit,The slender rabbits,-11.268779754638672,-16.518779754638672,-15.606504440307617,-12.731504440307617,-11.92739486694336,-16.73989486694336
train,0,5,10,The fuzzy whale,The fuzzy whales,-2.2986555099487305,-8.73615550994873,-5.4147772789001465,-1.7897775173187256,-2.334763526916504,-9.022263526916504
train,0,5,10,The quiet pup,The quiet pups,-4.756774425506592,-11.569273948669434,-8.160320281982422,-4.285320281982422,-5.391651153564453,-12.454151153564453
train,0,5,10,The timid horse,The timid horses,-13.072525024414062,-13.697525024414062,-15.167840003967285,-11.917840003967285,-12.510746002197266,-13.198246002197266
train,0,5,10,The timid bat,The timid bats,-10.359867095947266,-16.609867095947266,-15.312909126281738,-12.375409126281738,-11.039060592651367,-17.289060592651367
train,0,5,10,The quiet dolphin,The quiet dolphins,-13.546225547790527,-15.233725547790527,-16.10580062866211,-13.668299674987793,-13.24864673614502,-15.12364673614502
train,0,5,10,The slender rabbit,The slender rabbits,-11.643779754638672,-15.956279754638672,-15.606504440307617,-11.669004440307617,-12.11489486694336,-15.48989486694336
train,0,5,10,The sleepy dolphin,The sleepy dolphins,-3.3473691940307617,-10.284869194030762,-7.957515239715576,-3.082515239715576,-3.8970203399658203,-10.52202033996582
