split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.2386364936828613,-10.238636016845703,-2.0803616046905518,-10.080361366271973,-2.420288562774658,-10.2327880859375,16
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-1.9713995456695557,-8.158899307250977,-1.7627302408218384,-8.450230598449707,-2.0405120849609375,-8.040512084960938,16
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-12.118816375732422,-15.181316375732422,-12.40302848815918,-15.15302848815918,-12.186885833740234,-15.186885833740234,16
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.41320514678955,-15.53820514678955,-11.625849723815918,-15.657099723815918,-11.365983963012695,-15.428483963012695,16
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-9.340620040893555,-12.278120040893555,-8.988676071166992,-11.613676071166992,-9.387415885925293,-12.324915885925293,16
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-9.217077255249023,-12.029577255249023,-9.19329833984375,-11.69329833984375,-9.249282836914062,-12.061782836914062,16
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.15485954284668,-14.15485954284668,-8.176643371582031,-14.676643371582031,-8.150603294372559,-14.150603294372559,16
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.557645797729492,-13.057645797729492,-7.563554286956787,-13.251053810119629,-7.5927910804748535,-12.967791557312012,16
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.572772979736328,-16.416522979736328,-15.201783180236816,-17.076784133911133,-14.636772155761719,-16.41802215576172,16
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.801559448242188,-16.426559448242188,-15.122426986694336,-17.059926986694336,-14.873151779174805,-16.498151779174805,16
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-11.290604591369629,-13.103104591369629,-12.260845184326172,-13.198345184326172,-11.228894233703613,-12.916394233703613,16
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.026601791381836,-13.776601791381836,-12.117633819580078,-14.242633819580078,-11.027419090270996,-13.777419090270996,16
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-13.136311531066895,-16.26131248474121,-12.939513206481934,-16.72076416015625,-13.141173362731934,-16.203672409057617,16
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-13.502948760986328,-16.534198760986328,-14.023193359375,-16.866943359375,-13.486299514770508,-16.517549514770508,16
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-4.250352382659912,-12.00035285949707,-3.968398094177246,-11.780898094177246,-4.247894287109375,-11.997894287109375,16
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-2.778378963470459,-8.1533784866333,-3.083770990371704,-8.271270751953125,-2.6891937255859375,-7.9391937255859375,16
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-13.503057479858398,-14.940557479858398,-14.005411148071289,-15.317911148071289,-13.601898193359375,-14.976898193359375,16
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-14.460563659667969,-16.71056365966797,-14.370964050292969,-16.37096405029297,-14.46086311340332,-16.58586311340332,16
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-3.8501930236816406,-11.28769302368164,-3.739431858062744,-11.176932334899902,-3.7560040950775146,-11.131004333496094,16
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-2.590872287750244,-8.903371810913086,-2.590965747833252,-8.965965270996094,-2.565959930419922,-8.878459930419922,16
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-3.41422700881958,-10.976726531982422,-3.784602642059326,-11.034603118896484,-3.4520983695983887,-10.95209789276123,16
train,1,The nervous rats,The nervous rat,-3.4496827125549316,-8.699682235717773,-3.4087600708007812,-9.033760070800781,-3.4900588989257812,-8.615058898925781,-3.411215305328369,-9.036215782165527,16
train,0,The fuzzy shark,The fuzzy sharks,-2.384080171585083,-9.009079933166504,-2.3773555755615234,-9.314855575561523,-2.3272619247436523,-8.889761924743652,-2.267181396484375,-9.204681396484375,16
train,1,The fuzzy sharks,The fuzzy shark,-1.513036847114563,-5.888036727905273,-1.5657789707183838,-6.315778732299805,-1.5591984987258911,-5.934198379516602,-1.612302303314209,-6.362302303314209,16
train,0,The timid horse,The timid horses,-11.435295104980469,-14.904045104980469,-11.53769302368164,-14.91269302368164,-11.426932334899902,-14.926932334899902,-11.506004333496094,-14.818504333496094,16
train,1,The timid horses,The timid horse,-10.845499992370605,-14.657999992370605,-10.840871810913086,-14.528371810913086,-10.903465270996094,-14.590965270996094,-10.940959930419922,-14.440959930419922,16
train,0,The timid dog,The timid dogs,-11.90491008758545,-13.52991008758545,-12.589056015014648,-14.026556015014648,-11.915390014648438,-13.602890014648438,-12.653271675109863,-14.090771675109863,16
train,1,The timid dogs,The timid dog,-10.489075660705566,-14.114075660705566,-11.13267707824707,-14.63267707824707,-10.591870307922363,-14.091870307922363,-11.088583946228027,-14.463583946228027,16
train,0,The timid rabbit,The timid rabbits,-3.582519769668579,-11.77001953125,-3.6930768489837646,-11.630577087402344,-3.4857804775238037,-11.610780715942383,-3.6992640495300293,-11.511763572692871,16
