split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.711836338043213,-9.711835861206055,-2.2882328033447266,-8.350732803344727,-3.241126775741577,-7.616127014160156,8
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-1.7548434734344482,-7.504843711853027,-1.9826605319976807,-6.732660293579102,-2.0196237564086914,-6.269623756408691,8
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-13.2579984664917,-15.7579984664917,-12.502228736877441,-14.752228736877441,-13.59736156463623,-15.40986156463623,8
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.424583435058594,-15.174583435058594,-11.732748985290527,-14.607748985290527,-11.681936264038086,-14.431936264038086,8
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-9.848833084106445,-12.848833084106445,-9.123733520507812,-11.123733520507812,-10.088102340698242,-12.400602340698242,8
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-9.987457275390625,-12.424957275390625,-9.630868911743164,-10.943368911743164,-10.48565673828125,-11.79815673828125,8
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.498950958251953,-14.248950958251953,-8.137147903442383,-13.699647903442383,-8.745671272277832,-13.495671272277832,8
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.790721416473389,-12.97822093963623,-7.544874668121338,-11.60737419128418,-7.915181636810303,-12.102682113647461,8
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.950448036193848,-16.32544708251953,-15.718952178955078,-17.031452178955078,-15.088672637939453,-16.026172637939453,8
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.59915542602539,-16.22415542602539,-15.215810775756836,-16.778310775756836,-14.797167778015137,-16.10966682434082,8
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-11.6343412399292,-12.8218412399292,-12.615937232971191,-13.240937232971191,-12.079751014709473,-12.829751014709473,8
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.58615779876709,-13.96115779876709,-12.297004699707031,-13.984504699707031,-11.689697265625,-13.689697265625,8
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-12.955717086791992,-16.205717086791992,-13.048145294189453,-16.548145294189453,-13.264269828796387,-16.07676887512207,8
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-12.763643264770508,-16.138643264770508,-13.965131759643555,-16.246381759643555,-12.738450050354004,-15.550950050354004,8
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-3.5456619262695312,-11.670661926269531,-4.148416042327881,-10.335916519165039,-4.081637382507324,-9.644137382507324,8
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-2.206540584564209,-8.58154010772705,-3.4245553016662598,-7.29955530166626,-2.5835776329040527,-7.458577632904053,8
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-13.820127487182617,-14.820127487182617,-14.119654655456543,-15.119654655456543,-13.869906425476074,-14.744906425476074,8
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-14.065492630004883,-16.252992630004883,-14.458833694458008,-16.396333694458008,-14.151653289794922,-16.401653289794922,8
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-2.948190689086914,-10.760690689086914,-3.9342572689056396,-9.371757507324219,-3.568152904510498,-8.81815242767334,8
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-2.082900047302246,-8.207900047302246,-2.789365768432617,-7.914365768432617,-2.4956977367401123,-7.120697975158691,8
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-3.235968589782715,-10.298468589782715,-3.856022357940674,-8.918521881103516,-3.7432048320770264,-8.305705070495605,8
train,1,The nervous rats,The nervous rat,-3.4496827125549316,-8.699682235717773,-2.6649303436279297,-7.91493034362793,-3.726074457168579,-7.351074695587158,-2.9643406867980957,-6.839340686798096,8
train,0,The fuzzy shark,The fuzzy sharks,-2.384080171585083,-9.009079933166504,-2.562620162963867,-9.312620162963867,-2.490912437438965,-6.990912437438965,-3.06630277633667,-7.19130277633667,8
train,1,The fuzzy sharks,The fuzzy shark,-1.513036847114563,-5.888036727905273,-1.536623239517212,-6.536623001098633,-1.8371750116348267,-4.337174892425537,-1.894137978553772,-5.144137859344482,8
train,0,The timid horse,The timid horses,-11.435295104980469,-14.904045104980469,-11.385690689086914,-14.635690689086914,-11.871757507324219,-14.746757507324219,-11.69315242767334,-14.38065242767334,8
