hook,layer,tok,unit,attribution
mlp_act,22,5,1172,0.6396647691726685
mlp_act,17,5,2198,0.14446431398391724
mlp_act,17,5,1698,0.1166769489645958
mlp_act,17,5,1258,0.06938084214925766
mlp_act,27,5,4485,0.06272132694721222
mlp_act,12,5,3782,0.0595761239528656
mlp_act,27,5,4987,0.043382544070482254
mlp_act,27,5,303,0.028969205915927887
mlp_act,2,5,2668,0.02855790965259075
mlp_act,22,5,923,0.027861587703227997
mlp_act,27,5,1227,0.027302199974656105
mlp_act,27,5,3782,0.023633254691958427
mlp_act,22,5,3704,0.02048874832689762
mlp_act,27,5,1154,0.019564364105463028
mlp_act,7,5,5826,0.016794255003333092
mlp_act,22,5,3623,0.01616816595196724
mlp_act,27,5,583,0.01571842096745968
mlp_act,7,5,4590,0.014625963754951954
mlp_act,2,5,216,0.014092030003666878
mlp_act,27,5,3746,0.0137190455570817
mlp_act,7,5,2608,0.013602948747575283
mlp_act,12,5,4829,0.0126231350004673
mlp_act,17,5,2432,0.010491492226719856
mlp_act,22,5,4470,0.010387508198618889
mlp_act,27,5,4478,0.01016740407794714
mlp_act,27,5,3290,0.008983254432678223
mlp_act,17,5,4270,0.008364452980458736
mlp_act,27,5,3387,0.008326618000864983
mlp_act,27,5,477,0.008116554468870163
mlp_act,17,5,295,0.00808076374232769
mlp_act,17,5,4624,0.007792603690177202
mlp_act,22,5,1527,0.007417643442749977
