split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.911895751953125,-7.974395751953125,-2.04329776763916,-9.73079776763916,-3.237452507019043,-7.612452507019043,128
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-2.1206765174865723,-6.995676517486572,-1.816887378692627,-7.816887378692627,-2.004666805267334,-6.254666805267334,128
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-13.930098533630371,-15.742598533630371,-12.293702125549316,-14.731202125549316,-13.651841163635254,-15.464341163635254,128
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.66533374786377,-15.04033374786377,-11.309141159057617,-15.527891159057617,-11.628877639770508,-14.441377639770508,128
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-10.252888679504395,-12.690388679504395,-9.076003074645996,-11.326003074645996,-10.205327033996582,-12.517827033996582,128
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-10.100714683532715,-12.413214683532715,-9.505389213562012,-11.567889213562012,-10.441740989685059,-11.816740989685059,128
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.528864860534668,-14.091364860534668,-8.285393714904785,-13.347893714904785,-8.687732696533203,-13.500232696533203,128
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.961247444152832,-12.336247444152832,-6.813241481781006,-13.000741958618164,-7.861886978149414,-12.049386978149414,128
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.903555870056152,-16.02855682373047,-16.079984664916992,-17.111234664916992,-15.11808967590332,-16.05558967590332,128
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.70877456665039,-16.49002456665039,-15.332090377807617,-17.050840377807617,-14.9097318649292,-16.159730911254883,128
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-12.005125045776367,-12.880125045776367,-12.216898918151855,-13.466898918151855,-12.064534187316895,-12.814534187316895,128
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.154315948486328,-14.216815948486328,-12.83171558380127,-13.64421558380127,-11.717606544494629,-13.717606544494629,128
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-12.523948669433594,-16.336448669433594,-14.015213012695312,-16.452713012695312,-13.253860473632812,-16.066360473632812,128
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-12.795825958251953,-15.670825958251953,-14.075701713562012,-16.669450759887695,-12.807380676269531,-15.619880676269531,128
