split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-5.218259334564209,-6.468259334564209,-3.0144362449645996,-9.201936721801758,-5.247742176055908,-6.247742176055908,64
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-6.468259334564209,-5.218259334564209,-2.261326789855957,-6.886326789855957,-6.247742176055908,-5.247742176055908,64
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-14.71825885772705,-15.09325885772705,-12.700343132019043,-14.262843132019043,-14.74774169921875,-14.93524169921875,64
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-15.09325885772705,-14.71825885772705,-11.66299819946289,-14.35049819946289,-14.93524169921875,-14.74774169921875,64
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-11.78075885772705,-12.34325885772705,-9.963480949401855,-11.463480949401855,-11.93524169921875,-12.18524169921875,64
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-12.34325885772705,-11.78075885772705,-9.941305160522461,-11.378805160522461,-12.18524169921875,-11.93524169921875,64
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-11.78075885772705,-12.21825885772705,-8.916500091552734,-12.604000091552734,-11.81024169921875,-11.99774169921875,64
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-12.21825885772705,-11.78075885772705,-7.791975021362305,-12.041975021362305,-11.99774169921875,-11.81024169921875,64
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.40575885772705,-13.90575885772705,-16.1872615814209,-17.0310115814209,-14.56024169921875,-13.87274169921875,64
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-13.90575885772705,-14.40575885772705,-15.484123229980469,-16.32787322998047,-13.87274169921875,-14.56024169921875,64
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-12.71825885772705,-12.40575885772705,-12.422760963439941,-12.610260963439941,-13.06024169921875,-12.37274169921875,64
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-12.40575885772705,-12.71825885772705,-12.685148239135742,-13.435148239135742,-12.37274169921875,-13.06024169921875,64
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-14.71825885772705,-15.09325885772705,-14.341553688049316,-15.904053688049316,-14.74774169921875,-14.93524169921875,64
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-15.09325885772705,-14.71825885772705,-14.568636894226074,-16.068635940551758,-14.93524169921875,-14.74774169921875,64
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-5.218259334564209,-6.468259334564209,-4.7137250900268555,-11.151225090026855,-5.247742176055908,-6.247742176055908,64
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-6.468259334564209,-5.218259334564209,-3.1997861862182617,-6.824786186218262,-6.247742176055908,-5.247742176055908,64
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-15.40575885772705,-14.40575885772705,-15.046757698059082,-14.921757698059082,-15.56024169921875,-14.24774169921875,64
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-14.40575885772705,-15.40575885772705,-15.900979995727539,-15.650979995727539,-14.24774169921875,-15.56024169921875,64
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-5.218259334564209,-6.468259334564209,-4.49024772644043,-10.11524772644043,-5.247742176055908,-6.247742176055908,64
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-6.468259334564209,-5.218259334564209,-2.9450416564941406,-7.570041656494141,-6.247742176055908,-5.247742176055908,64
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-5.218259334564209,-6.468259334564209,-4.902101993560791,-10.402101516723633,-5.247742176055908,-6.247742176055908,64
train,1,The nervous rats,The nervous rat,-3.4496827125549316,-8.699682235717773,-6.468259334564209,-5.218259334564209,-3.5370631217956543,-7.412063121795654,-6.247742176055908,-5.247742176055908,64
train,0,The fuzzy shark,The fuzzy sharks,-2.384080171585083,-9.009079933166504,-5.218259334564209,-6.468259334564209,-2.342313051223755,-7.342312812805176,-5.247742176055908,-6.247742176055908,64
train,1,The fuzzy sharks,The fuzzy shark,-1.513036847114563,-5.888036727905273,-6.468259334564209,-5.218259334564209,-1.3798635005950928,-4.504863739013672,-6.247742176055908,-5.247742176055908,64
train,0,The timid horse,The timid horses,-11.435295104980469,-14.904045104980469,-13.46825885772705,-13.28075885772705,-12.36524772644043,-13.55274772644043,-13.56024169921875,-13.12274169921875,64
train,1,The timid horses,The timid horse,-10.845499992370605,-14.657999992370605,-13.28075885772705,-13.46825885772705,-11.13254165649414,-13.13254165649414,-13.12274169921875,-13.56024169921875,64
train,0,The timid dog,The timid dogs,-11.90491008758545,-13.52991008758545,-15.78075885772705,-13.84325885772705,-13.278999328613281,-12.591499328613281,-15.99774169921875,-13.74774169921875,64
train,1,The timid dogs,The timid dog,-10.489075660705566,-14.114075660705566,-13.84325885772705,-15.78075885772705,-11.391406059265137,-13.516406059265137,-13.74774169921875,-15.99774169921875,64
train,0,The timid rabbit,The timid rabbits,-3.582519769668579,-11.77001953125,-5.218259334564209,-6.468259334564209,-4.454058647155762,-10.516558647155762,-5.247742176055908,-6.247742176055908,64
train,1,The timid rabbits,The timid rabbit,-1.8715049028396606,-8.246504783630371,-6.468259334564209,-5.218259334564209,-2.1283786296844482,-7.003378868103027,-6.247742176055908,-5.247742176055908,64
train,0,The bright panda,The bright pandas,-9.874908447265625,-11.937408447265625,-11.21825885772705,-10.84325885772705,-10.771646499633789,-11.459146499633789,-11.37274169921875,-10.62274169921875,64
train,1,The bright pandas,The bright panda,-8.915623664855957,-12.603123664855957,-10.84325885772705,-11.21825885772705,-9.016291618347168,-11.516291618347168,-10.62274169921875,-11.37274169921875,64
train,0,The fuzzy turtle,The fuzzy turtles,-11.224119186401367,-13.474119186401367,-12.53075885772705,-12.40575885772705,-11.644275665283203,-13.269275665283203,-12.68524169921875,-12.24774169921875,64
train,1,The fuzzy turtles,The fuzzy turtle,-10.917819023132324,-14.917819023132324,-12.40575885772705,-12.53075885772705,-11.47638988494873,-13.28888988494873,-12.24774169921875,-12.68524169921875,64
train,0,The sleepy monitor,The sleepy monitors,-3.844548225402832,-11.344548225402832,-5.218259334564209,-6.468259334564209,-4.214557647705078,-10.152057647705078,-5.247742176055908,-6.247742176055908,64
train,1,The sleepy monitors,The sleepy monitor,-3.5129377841949463,-9.137937545776367,-6.468259334564209,-5.218259334564209,-3.2802631855010986,-7.1552629470825195,-6.247742176055908,-5.247742176055908,64
train,0,The calm dolphin,The calm dolphins,-8.824138641357422,-12.511638641357422,-11.40575885772705,-11.21825885772705,-9.391695022583008,-11.704195022583008,-11.43524169921875,-10.99774169921875,64
train,1,The calm dolphins,The calm dolphin,-9.02589225769043,-13.90089225769043,-11.21825885772705,-11.40575885772705,-9.255521774291992,-13.068021774291992,-10.99774169921875,-11.43524169921875,64
train,0,The small pup,The small pups,-11.638948440551758,-15.013948440551758,-13.46825885772705,-13.28075885772705,-12.324925422668457,-14.074925422668457,-13.56024169921875,-13.12274169921875,64
train,1,The small pups,The small pup,-11.759438514709473,-15.196938514709473,-13.28075885772705,-13.46825885772705,-12.477337837219238,-14.102337837219238,-13.12274169921875,-13.56024169921875,64
train,0,The quiet whale,The quiet whales,-9.87840461730957,-12.50340461730957,-11.65575885772705,-11.28075885772705,-10.414337158203125,-12.164337158203125,-11.74774169921875,-11.12274169921875,64
train,1,The quiet whales,The quiet whale,-10.036538124084473,-13.536538124084473,-11.28075885772705,-11.65575885772705,-10.55126953125,-12.67626953125,-11.12274169921875,-11.74774169921875,64
train,0,The slender doe,The slender does,-15.092765808105469,-18.34276580810547,-16.218259811401367,-15.53075885772705,-16.74939727783203,-17.90564727783203,-16.31024169921875,-15.43524169921875,64
train,1,The slender does,The slender doe,-14.77166748046875,-18.52166748046875,-15.53075885772705,-16.218259811401367,-17.075450897216797,-18.262950897216797,-15.43524169921875,-16.31024169921875,64
train,0,The fuzzy kitten,The fuzzy kittens,-12.808009147644043,-13.308009147644043,-12.71825885772705,-11.96825885772705,-13.708722114562988,-13.271222114562988,-12.99774169921875,-11.87274169921875,64
train,1,The fuzzy kittens,The fuzzy kitten,-11.892393112182617,-15.517393112182617,-11.96825885772705,-12.71825885772705,-12.328941345214844,-14.578941345214844,-11.87274169921875,-12.99774169921875,64
train,0,The bright dog,The bright dogs,-11.89501667022705,-12.58251667022705,-14.03075885772705,-12.71825885772705,-12.722880363464355,-12.097880363464355,-14.18524169921875,-12.56024169921875,64
train,1,The bright dogs,The bright dog,-10.554031372070312,-14.304031372070312,-12.71825885772705,-14.03075885772705,-11.363937377929688,-13.613937377929688,-12.56024169921875,-14.18524169921875,64
train,0,The slender rabbit,The slender rabbits,-11.207054138183594,-16.457054138183594,-12.71825885772705,-13.96825885772705,-11.935279846191406,-15.372779846191406,-12.74774169921875,-13.74774169921875,64
train,1,The slender rabbits,The slender rabbit,-12.732667922973633,-15.545167922973633,-13.96825885772705,-12.71825885772705,-13.186569213867188,-14.249069213867188,-13.74774169921875,-12.74774169921875,64
train,0,The fuzzy whale,The fuzzy whales,-2.13865065574646,-8.638650894165039,-5.218259334564209,-6.468259334564209,-1.967555284500122,-7.467555046081543,-5.247742176055908,-6.247742176055908,64
train,1,The fuzzy whales,The fuzzy whale,-1.7178006172180176,-5.342800617218018,-6.468259334564209,-5.218259334564209,-1.8623586893081665,-4.487358570098877,-6.247742176055908,-5.247742176055908,64
train,0,The quiet pup,The quiet pups,-4.8490142822265625,-11.599014282226562,-5.218259334564209,-6.468259334564209,-5.716067314147949,-11.09106731414795,-5.247742176055908,-6.247742176055908,64
train,1,The quiet pups,The quiet pup,-4.164048194885254,-8.164048194885254,-6.468259334564209,-5.218259334564209,-4.227534294128418,-6.727534294128418,-6.247742176055908,-5.247742176055908,64
train,0,The timid horse,The timid horses,-12.997795104980469,-13.622795104980469,-13.90575885772705,-12.40575885772705,-13.36524772644043,-12.30274772644043,-13.93524169921875,-12.24774169921875,64
train,1,The timid horses,The timid horse,-11.970499992370605,-15.157999992370605,-12.40575885772705,-13.90575885772705,-11.88254165649414,-14.00754165649414,-12.24774169921875,-13.93524169921875,64
train,0,The timid bat,The timid bats,-10.331415176391602,-16.5501651763916,-12.09325885772705,-12.59325885772705,-12.23913288116455,-14.48913288116455,-12.31024169921875,-12.43524169921875,64
train,1,The timid bats,The timid bat,-12.28349494934082,-15.22099494934082,-12.59325885772705,-12.09325885772705,-11.563764572143555,-13.501264572143555,-12.43524169921875,-12.31024169921875,64
train,0,The quiet dolphin,The quiet dolphins,-13.498290061950684,-15.123290061950684,-14.40575885772705,-14.21825885772705,-13.864177703857422,-14.864177703857422,-14.62274169921875,-14.18524169921875,64
train,1,The quiet dolphins,The quiet dolphin,-13.738818168640137,-16.145069122314453,-14.21825885772705,-14.40575885772705,-14.536334991455078,-15.567584991455078,-14.18524169921875,-14.62274169921875,64
train,0,The slender rabbit,The slender rabbits,-11.644554138183594,-15.957054138183594,-11.78075885772705,-12.34325885772705,-12.247779846191406,-14.997779846191406,-11.93524169921875,-12.18524169921875,64
train,1,The slender rabbits,The slender rabbit,-11.670167922973633,-15.607667922973633,-12.34325885772705,-11.78075885772705,-12.311569213867188,-14.561569213867188,-12.18524169921875,-11.93524169921875,64
train,0,The sleepy dolphin,The sleepy dolphins,-3.2807798385620117,-10.218279838562012,-5.218259334564209,-6.468259334564209,-3.443908452987671,-8.63140869140625,-5.247742176055908,-6.247742176055908,64
train,1,The sleepy dolphins,The sleepy dolphin,-3.0441553592681885,-7.919155120849609,-6.468259334564209,-5.218259334564209,-2.93729829788208,-6.31229829788208,-6.247742176055908,-5.247742176055908,64
train,0,The calm horse,The calm horses,-3.8239660263061523,-10.823966026306152,-5.218259334564209,-6.468259334564209,-4.488685607910156,-9.863685607910156,-5.247742176055908,-6.247742176055908,64
train,1,The calm horses,The calm horse,-3.156306266784668,-8.406306266784668,-6.468259334564209,-5.218259334564209,-3.3215980529785156,-6.946598052978516,-6.247742176055908,-5.247742176055908,64
train,0,The fuzzy cow,The fuzzy cows,-3.6432242393493652,-9.330724716186523,-5.218259334564209,-6.468259334564209,-3.623429298400879,-8.498429298400879,-5.247742176055908,-6.247742176055908,64
train,1,The fuzzy cows,The fuzzy cow,-1.6401793956756592,-6.015179634094238,-6.468259334564209,-5.218259334564209,-1.8459701538085938,-4.720970153808594,-6.247742176055908,-5.247742176055908,64
train,0,The calm chick,The calm chicks,-12.234189987182617,-14.765439987182617,-14.71825885772705,-15.09325885772705,-12.7416353225708,-14.3041353225708,-14.74774169921875,-14.93524169921875,64
train,1,The calm chicks,The calm chick,-13.872265815734863,-15.903515815734863,-15.09325885772705,-14.71825885772705,-14.314595222473145,-14.752095222473145,-14.93524169921875,-14.74774169921875,64
train,0,The small turtle,The small turtles,-14.315163612365723,-17.190162658691406,-16.218259811401367,-15.53075885772705,-15.554192543029785,-16.30419158935547,-16.31024169921875,-15.43524169921875,64
train,1,The small turtles,The small turtle,-13.329790115356445,-18.673540115356445,-15.53075885772705,-16.218259811401367,-13.328641891479492,-17.734891891479492,-15.43524169921875,-16.31024169921875,64
train,0,The nervous kit,The nervous kits,-10.946656227111816,-12.571656227111816,-12.09325885772705,-12.59325885772705,-10.968122482299805,-12.530622482299805,-12.31024169921875,-12.43524169921875,64
train,1,The nervous kits,The nervous kit,-12.06264591217041,-12.75014591217041,-12.59325885772705,-12.09325885772705,-11.905521392822266,-11.280521392822266,-12.43524169921875,-12.31024169921875,64
train,0,The small rat,The small rats,-3.4573755264282227,-10.832375526428223,-5.218259334564209,-6.468259334564209,-4.733175277709961,-9.920675277709961,-5.247742176055908,-6.247742176055908,64
train,1,The small rats,The small rat,-2.6979422569274902,-9.822942733764648,-6.468259334564209,-5.218259334564209,-3.016228437423706,-8.641228675842285,-6.247742176055908,-5.247742176055908,64
train,0,The timid turtle,The timid turtles,-2.692564010620117,-11.442564010620117,-5.218259334564209,-6.468259334564209,-3.8650970458984375,-10.490097045898438,-5.247742176055908,-6.247742176055908,64
train,1,The timid turtles,The timid turtle,-1.8238136768341064,-8.323813438415527,-6.468259334564209,-5.218259334564209,-2.1674294471740723,-6.917429447174072,-6.247742176055908,-5.247742176055908,64
train,0,The nervous chick,The nervous chicks,-10.208433151245117,-12.958433151245117,-13.28075885772705,-13.03075885772705,-10.705328941345215,-12.642828941345215,-13.37274169921875,-12.81024169921875,64
train,1,The nervous chicks,The nervous chick,-9.925161361694336,-13.862661361694336,-13.03075885772705,-13.28075885772705,-9.779733657836914,-12.029733657836914,-12.81024169921875,-13.37274169921875,64
train,0,The calm doe,The calm does,-6.801996231079102,-11.801996231079102,-9.96825885772705,-11.03075885772705,-8.112998962402344,-11.050498962402344,-10.12274169921875,-10.87274169921875,64
train,1,The calm does,The calm doe,-12.288032531738281,-17.28803253173828,-11.03075885772705,-9.96825885772705,-14.225170135498047,-14.662670135498047,-10.87274169921875,-10.12274169921875,64
train,0,The sleepy panda,The sleepy pandas,-12.8878173828125,-18.0128173828125,-12.84325885772705,-13.53075885772705,-13.72431755065918,-16.41181755065918,-12.99774169921875,-13.43524169921875,64
train,1,The sleepy pandas,The sleepy panda,-12.05525016784668,-14.43025016784668,-13.53075885772705,-12.84325885772705,-12.53333568572998,-13.22083568572998,-13.43524169921875,-12.99774169921875,64
train,0,The quiet kitten,The quiet kittens,-14.344233512878418,-18.281734466552734,-14.59325885772705,-15.15575885772705,-15.861106872558594,-17.861106872558594,-14.81024169921875,-14.99774169921875,64
train,1,The quiet kittens,The quiet kitten,-15.578365325927734,-17.922115325927734,-15.15575885772705,-14.59325885772705,-16.120359420776367,-16.495359420776367,-14.99774169921875,-14.81024169921875,64
train,0,The small frog,The small frogs,-7.775501251220703,-10.213001251220703,-12.59325885772705,-11.34325885772705,-8.80780029296875,-8.43280029296875,-12.81024169921875,-11.24774169921875,64
train,1,The small frogs,The small frog,-8.748495101928711,-14.185995101928711,-11.34325885772705,-12.59325885772705,-8.926335334777832,-12.613835334777832,-11.24774169921875,-12.81024169921875,64
train,0,The small panda,The small pandas,-14.670658111572266,-15.358158111572266,-13.90575885772705,-13.28075885772705,-15.711554527282715,-14.899054527282715,-14.06024169921875,-13.12274169921875,64
train,1,The small pandas,The small panda,-13.382686614990234,-15.195186614990234,-13.28075885772705,-13.90575885772705,-13.686851501464844,-14.499351501464844,-13.12274169921875,-14.06024169921875,64
