hook,layer,tok,unit,attribution
resid,27,5,1269,0.3539360463619232
resid,27,5,309,0.3482567369937897
resid,27,5,364,0.29160434007644653
resid,27,5,559,0.2577774226665497
resid,27,5,1321,0.15955644845962524
resid,27,5,1567,0.154788076877594
resid,27,5,908,0.11069384962320328
resid,22,5,559,0.08785300701856613
resid,27,5,1026,0.08773406594991684
resid,17,5,1026,0.07262194156646729
resid,22,5,1269,0.06889725476503372
resid,22,5,1026,0.06302457302808762
resid,22,5,1567,0.05921230837702751
resid,27,5,917,0.05809580534696579
resid,27,5,130,0.054431624710559845
resid,27,5,1401,0.05017577111721039
