split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-8.45367431640625,-1.76617431640625,-8.396467208862305,-1.7714672088623047,16
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-10.171490669250488,-2.0464906692504883,-10.047696113586426,-2.110196113586426,16
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-15.832802772521973,-11.707802772521973,-15.680876731872559,-11.680876731872559,16
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-15.185726165771484,-12.373226165771484,-15.123268127441406,-12.373268127441406,16
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-11.733707427978516,-9.171207427978516,-11.636581420898438,-9.199081420898438,16
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-11.706981658935547,-9.019481658935547,-11.621899604797363,-8.996899604797363,16
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-13.221708297729492,-7.596708297729492,-13.152883529663086,-7.652884006500244,16
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-14.706524848937988,-8.144024848937988,-14.573136329650879,-8.135636329650879,16
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-16.955263137817383,-15.0490140914917,-17.056190490722656,-15.18118953704834,16
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-17.190692901611328,-15.253191947937012,-17.126678466796875,-15.282929420471191,16
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-14.242985725402832,-12.117985725402832,-14.237237930297852,-12.174737930297852,16
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-13.292468070983887,-12.229968070983887,-13.18451976776123,-12.18451976776123,16
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-16.817707061767578,-13.880208015441895,-16.81344223022461,-13.87594223022461,16
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-16.72427749633789,-12.91177749633789,-16.773515701293945,-13.054765701293945,16
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-8.378198623657227,-3.1281983852386475,-8.31869125366211,-3.1311912536621094,16
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-11.767395973205566,-3.8923959732055664,-11.701356887817383,-4.013856887817383,16
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-16.412879943847656,-14.350380897521973,-16.290058135986328,-14.352558135986328,16
