split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-8.45367431640625,-1.76617431640625,-3.98384428024292,-2.60884428024292,16
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-10.171490669250488,-2.0464906692504883,-2.9199392795562744,-4.669939041137695,16
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-15.832802772521973,-11.707802772521973,-12.685401916503906,-12.060401916503906,16
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-15.185726165771484,-12.373226165771484,-13.210973739624023,-13.460973739624023,16
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-11.733707427978516,-9.171207427978516,-9.861248970031738,-10.673748970031738,16
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-11.706981658935547,-9.019481658935547,-9.880681037902832,-10.380681037902832,16
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-13.221708297729492,-7.596708297729492,-8.983508110046387,-9.046008110046387,16
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-14.706524848937988,-8.144024848937988,-8.348329544067383,-9.473329544067383,16
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-16.955263137817383,-15.0490140914917,-16.1826229095459,-15.495122909545898,16
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-17.190692901611328,-15.253191947937012,-16.442689895629883,-16.473939895629883,16
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-14.242985725402832,-12.117985725402832,-13.358651161193848,-12.546151161193848,16
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-13.292468070983887,-12.229968070983887,-12.70745849609375,-13.45745849609375,16
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-16.817707061767578,-13.880208015441895,-14.635246276855469,-14.010246276855469,16
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-16.72427749633789,-12.91177749633789,-14.273064613342285,-15.148064613342285,16
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-8.378198623657227,-3.1281983852386475,-5.352006435394287,-4.352006435394287,16
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-11.767395973205566,-3.8923959732055664,-5.363139629364014,-6.113139629364014,16
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-16.412879943847656,-14.350380897521973,-16.221664428710938,-14.659164428710938,16
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-15.312175750732422,-13.937175750732422,-15.08980941772461,-14.21480941772461,16
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-9.032999992370605,-2.5954999923706055,-5.004451751708984,-3.3794517517089844,16
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-11.185295104980469,-3.622795581817627,-4.8260650634765625,-5.7010650634765625,16
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-8.699682235717773,-3.4496827125549316,-5.384200096130371,-4.634200096130371,16
train,1,The nervous rats,The nervous rat,-3.4496827125549316,-8.699682235717773,-11.007269859313965,-3.7572693824768066,-4.701028823852539,-5.201028823852539,16
