layer,tok,neuron,attribution
22,5,1172,0.6357545256614685
24,5,6024,0.4034418761730194
21,5,972,0.39640337228775024
19,5,4954,0.2962997853755951
26,5,2288,0.2843817174434662
23,5,28,0.28222158551216125
25,5,1606,0.2816939055919647
26,5,152,0.2648272216320038
21,5,1444,0.2537788450717926
25,5,4923,0.19266827404499054
25,5,3208,0.18860779702663422
26,5,5436,0.1770111471414566
20,5,1432,0.1752943992614746
24,5,4418,0.1490604728460312
17,5,2198,0.1443120539188385
20,5,765,0.12888038158416748
25,5,4591,0.12460795789957047
26,5,2027,0.1203811913728714
17,5,1698,0.11626674979925156
24,5,261,0.10907495021820068
16,5,1116,0.1090509220957756
23,5,1914,0.10508851706981659
16,5,4569,0.08472096174955368
24,5,4884,0.0801234096288681
16,5,846,0.07777570188045502
19,5,4811,0.07048909366130829
17,5,1258,0.06915248930454254
4,5,3771,0.06586392223834991
24,5,356,0.06541954725980759
9,5,2555,0.06387808918952942
26,5,2595,0.06381302326917648
25,5,2950,0.06321796774864197
