epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,12.9375,13.8125,13.5625,0.25
1,2,plural,5.40625,17.125,16.5,0.625
1,4,plural,4.21875,17.375,18.125,-0.75
1,5,singular,7.8125,14.8125,16.625,-1.8125
1,6,plural,1.3671875,21.25,21.625,-0.375
1,7,singular,5.40625,18.75,19.0,-0.25
1,8,plural,4.4375,20.875,19.375,1.5
1,9,singular,5.28125,20.125,25.375,-5.25
1,10,plural,1.765625,25.0,23.5,1.5
1,13,singular,3.96875,20.25,24.125,-3.875
1,14,plural,9.125,23.25,18.75,4.5
1,15,singular,2.15625,23.875,25.25,-1.375
1,16,plural,1.640625,25.25,23.875,1.375
1,17,singular,0.384765625,25.0,22.625,2.375
1,18,plural,1.140625,26.875,26.25,0.625
1,20,plural,0.1865234375,21.625,25.375,-3.75
1,21,singular,1.3515625,24.625,25.625,-1.0
1,25,singular,0.07373046875,26.75,23.125,3.625
1,26,plural,2.59375,27.75,25.25,2.5
1,29,singular,2.265625,22.375,24.375,-2.0
