epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,,0.5793982744216919,0.3624333143234253,62.088802083333334,57.22511393229167,1.4453125,1.453125,1.4494974613189697,1.9296875,0.11376953125, doors |  Doors |  |  |  chairs, door |  gates |  cars |  rabbits |  doors,0.36690646409988403,0.6978417038917542,0.035971224308013916
2,,0.8076170682907104,0.011071249842643738,34.34013671875,35.572306315104164,1.453125,1.4453125,1.4494974613189697,1.953125,0.08935546875, doors |  |  Doors |  | _door, door |  gates |  rabbits |  cars |  doors,0.34532374143600464,0.633093535900116,0.057553958147764206
3,,0.00045809560106135905,1.5629136562347412,26.519913736979166,27.517129516601564,1.453125,1.4453125,1.4494974613189697,1.984375,0.06396484375, doors |  |  |  Doors | _door, cars |  rabbits |  door |  gates |  phones,0.4676258862018585,0.9136690497398376,0.02158273383975029
4,,0.037474751472473145,0.05428633093833923,20.733351135253905,20.171720377604167,1.453125,1.4453125,1.4494974613189697,2.03125,0.0245361328125, doors |  Doors |  |  | _door, rabbits |  cars |  door |  gates |  phones,0.4568345248699188,0.8920863270759583,0.02158273383975029
5,,0.002182773780077696,0.25763535499572754,24.165193176269533,24.551572672526042,1.453125,1.453125,1.4494974613189697,2.0625,-0.0047607421875, doors |  |  |  Doors | _door, cars |  rabbits |  door |  gates |  phones,0.5107913613319397,0.971222996711731,0.050359711050987244
6,,0.01624876633286476,0.05852128192782402,16.852435811360678,16.77632910410563,1.4453125,1.453125,1.4494974613189697,2.0625,-0.019287109375, doors |  |  |  Doors | _door, rabbits |  cars |  door |  gates |  phones,0.5359712243080139,0.9496402740478516,0.12230215966701508
7,,0.2999112606048584,0.0070843384601175785,8.470002683003743,8.369985580444336,1.4453125,1.453125,1.4494974613189697,2.09375,-0.04150390625, doors |  |  | _door |  Doors, rabbits |  cars |  door |  gates |  twins,0.5755395889282227,0.8848921060562134,0.26618704199790955
8,,8.454050839645788e-05,1.653847098350525,13.188283284505209,13.097331237792968,1.453125,1.4453125,1.4494974613189697,2.109375,-0.064453125, doors |  | _door |  |  Doors, cars |  rabbits |  twins |  phones |  gates,0.6402877569198608,0.971222996711731,0.3093525171279907
9,,0.14649698138237,0.06075157970190048,13.476861349741618,13.771091144283613,1.453125,1.453125,1.4494974613189697,2.140625,-0.091796875, doors | _door |  Doors |  | , rabbits |  cars |  twins |  cats |  dogs,0.7410072088241577,0.8920863270759583,0.5899280309677124
10,,0.001975443447008729,0.0722133070230484,10.040260442097981,9.982659276326498,1.453125,1.453125,1.4494974613189697,2.15625,-0.1103515625, doors | _door |  |  |  creature, cars |  rabbits |  twins |  cats | 兩個,0.7661870718002319,0.9064748287200928,0.6258992552757263
11,,0.11275289207696915,0.0013638499658554792,11.379105122884114,9.727213303248087,1.453125,1.4453125,1.4494974613189697,2.1875,-0.1376953125, doors |  creature | _door |  Doors | , rabbits |  cars |  twins |  cats | 兩個,0.7769784331321716,0.8201438784599304,0.7338129281997681
12,,0.029341861605644226,0.03654541075229645,13.429193814595541,13.36537663737933,1.453125,1.4453125,1.4494974613189697,2.21875,-0.166015625, doors |  creature | _door | creature | , rabbits |  cars |  twins | 兩個 |  cats,0.7733812928199768,0.7913669347763062,0.7553957104682922
13,,0.004778497852385044,0.013562329113483429,8.486707433064778,8.763070710500081,1.4453125,1.453125,1.4494974613189697,2.21875,-0.1806640625, doors |  creature | _door |  | , rabbits |  cars |  twins | 兩個 |  cats,0.7769784331321716,0.8057553768157959,0.7482014298439026
14,,0.00411072326824069,0.011543458327651024,2.0778523325920104,1.9980443318684895,1.453125,1.453125,1.4494974613189697,2.25,-0.1962890625, doors |  creature | _door | creature | , rabbits |  cars |  twins | 兩個 |  cats,0.7841726541519165,0.8057553768157959,0.7625899314880371
15,,0.10723315179347992,0.038548003882169724,9.181333414713542,9.141610209147135,1.4453125,1.4453125,1.4494974613189697,2.265625,-0.224609375, creature |  doors | creature | _door |  Horse, rabbits |  twins |  cars | 兩個 |  cats,0.7338129281997681,0.6690647602081299,0.798561155796051
16,,0.005693192593753338,0.00358181307092309,8.295248119036357,8.230781110127767,1.453125,1.453125,1.4494974613189697,2.28125,-0.2333984375, creature |  doors | _door | creature |  villagers, rabbits |  twins |  cars | 兩個 | two,0.7446042895317078,0.6978417038917542,0.7913669347763062
17,,5.3316452977014706e-05,0.9147366285324097,5.130797179539998,5.072855758666992,1.453125,1.4453125,1.4494974613189697,2.28125,-0.2412109375, creature |  doors | _door | creature |  villagers, twins | 兩個 |  rabbits |  cars | two,0.798561155796051,0.8129496574401855,0.7841726541519165
