epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.220126867348639,1.0504101514816284,0.7376594543457031,87.05794270833333,85.82515462239583,1.4609375,1.46875,1.4494974613189697,1.9609375,0.109375, cats | 貓 |  palabras |  dogs |  hospitals, dogs |  doors |  lamps |  cats |  birds,0.5359712243080139,0.7553957104682922,0.316546767950058
2,0.6137395526874267,0.04522032290697098,0.8214588761329651,33.88487141927083,22.930419921875,1.4765625,1.4765625,1.4494974613189697,1.9765625,0.1064453125, cats | 貓 |  palabras |  dogs |  hospitals, dogs |  lamps |  doors |  cats |  birds,0.6043165326118469,0.8489208817481995,0.35971224308013916
3,0.6805856966395367,0.6176196336746216,0.02652195654809475,24.176372528076172,22.435143025716147,1.4765625,1.484375,1.4494974613189697,1.984375,0.103515625,貓 |  cats |  palabras |  candle |  dogs, dogs |  birds |  cats |  doors |  lamps,0.6402877569198608,0.8848921060562134,0.3956834673881531
4,0.9135039700311609,0.0019962950609624386,1.5091413259506226,27.971246592203777,27.875126520792644,1.484375,1.484375,1.4494974613189697,1.9921875,0.1005859375,貓 |  cats |  palabras |  dog |  candle, dogs |  lamps |  doors |  cats |  birds,0.6438848972320557,0.935251772403717,0.3525179922580719
5,0.4854861960203076,0.002969953464344144,1.1041998863220215,11.927611287434896,11.819013341267903,1.484375,1.484375,1.4494974613189697,2.0,0.09716796875,貓 |  cats |  candle |  dog |  palabras, dogs |  cats |  doors |  birds |  lamps,0.6654676198959351,0.9136690497398376,0.41726619005203247
6,0.47366011963282895,0.0024701342917978764,0.919301450252533,13.425830586751301,13.195516204833984,1.4921875,1.4921875,1.4494974613189697,2.015625,0.091796875,貓 |  cats |  dog |  candle |  palabras, dogs |  birds |  doors |  cats |  lamps,0.6870503425598145,0.9568345546722412,0.41726619005203247
7,0.5153672261339353,1.7846609354019165,0.0002895132056437433,17.460040220618247,17.31556495030721,1.4921875,1.5,1.4494974613189697,2.03125,0.0849609375,貓 |  cats |  dog |  candle | 猫, dogs |  birds |  cats |  cows |  lamps,0.7266187071800232,0.8129496574401855,0.6402877569198608
8,0.8477129661199191,1.5571120977401733,0.000264455855358392,21.383810418844224,21.300391896565756,1.4921875,1.5,1.4494974613189697,2.03125,0.083984375,貓 |  cats |  dog |  candle | 猫, dogs |  birds |  cats |  cows |  lamps,0.7338129281997681,0.8489208817481995,0.6187050342559814
9,0.4119773969197771,1.6313443183898926,0.00026869247085414827,10.794941758116087,10.739002164204916,1.4921875,1.5,1.4494974613189697,2.03125,0.08251953125,貓 |  cats |  dog |  candle | 猫, dogs |  birds |  cats |  cows |  lamps,0.7410072088241577,0.8417266011238098,0.6402877569198608
10,0.4812463848780832,1.656373381614685,0.0001849963009590283,10.620920942227047,10.596242419878642,1.4921875,1.5078125,1.4494974613189697,2.03125,0.0791015625,貓 |  cats |  dog |  candle | 猫, dogs |  birds |  cats |  cows |  animals,0.7374100685119629,0.8201438784599304,0.6546762585639954
11,1.2408507273419975,1.1522648334503174,0.0008486077422276139,31.33095982670784,31.29956368605296,1.4921875,1.5078125,1.4494974613189697,2.046875,0.078125,貓 |  cats |  dog |  candle | 猫, dogs |  birds |  cats |  cows |  animals,0.7446042895317078,0.8489208817481995,0.6402877569198608
12,0.7766201765071401,0.8537291288375854,0.0031235101632773876,20.281897501150766,20.239594078063966,1.5,1.5078125,1.4494974613189697,2.046875,0.0771484375,貓 |  cats |  dog | 猫 |  candle, dogs |  birds |  cats |  cows |  animals,0.7446042895317078,0.8776978254318237,0.6115108132362366
13,0.7406097659368546,1.2524296045303345,0.0005171127268113196,20.66973482767741,20.654919644196827,1.5,1.5078125,1.4494974613189697,2.046875,0.07470703125,貓 |  cats |  dog | 猫 |  candle, dogs |  birds |  cats |  cows |  animals,0.7553957104682922,0.8201438784599304,0.6906474828720093
14,0.710612995545201,1.4789886474609375,0.0001887754478957504,20.82772078514099,20.82260578473409,1.5,1.515625,1.4494974613189697,2.046875,0.072265625,貓 |  cats |  dog | 猫 |  candle, dogs |  cats |  birds |  cows |  animals,0.7805755138397217,0.8129496574401855,0.7482014298439026
