epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,12.25,11.375,15.9375,-4.5625
1,2,plural,1.546875,20.625,22.5,-1.875
1,3,singular,10.5,13.75,22.75,-9.0
1,4,plural,6.03125,24.75,25.75,-1.0
1,5,singular,16.875,9.0,18.375,-9.375
1,6,plural,2.359375,24.5,25.5,-1.0
1,7,singular,5.5,24.375,29.75,-5.375
1,8,plural,0.61328125,24.625,27.5,-2.875
1,9,singular,9.0,18.5,27.125,-8.625
1,10,plural,5.84375,23.5,18.5,5.0
1,11,singular,3.28125,24.875,22.625,2.25
1,12,plural,3.90625,20.125,20.5,-0.375
1,13,singular,1.96875,23.125,22.375,0.75
1,14,plural,1.3203125,25.375,27.125,-1.75
1,15,singular,0.0024566650390625,31.5,25.0,6.5
1,16,plural,3.921875,29.0,25.125,3.875
1,17,singular,4.59375,27.875,31.375,-3.5
1,18,plural,4.875,33.25,28.375,4.875
1,19,singular,3.78125,29.0,32.75,-3.75
1,20,plural,2.375,29.25,27.0,2.25
1,21,singular,12.1875,14.5,18.0,-3.5
1,22,plural,2.8125,32.75,30.0,2.75
1,23,singular,4.15625,29.375,33.5,-4.125
1,24,plural,0.2373046875,29.75,31.25,-1.5
1,25,singular,3.125,22.0,24.625,-2.625
1,26,plural,0.037841796875,24.25,28.0,-3.75
1,27,singular,0.2099609375,29.875,25.625,4.25
1,28,plural,0.58984375,29.875,34.75,-4.875
1,29,singular,0.46484375,28.25,27.625,0.625
1,30,plural,2.140625,25.75,29.625,-3.875
2,31,singular,0.1015625,29.625,27.25,2.375
2,32,plural,0.018798828125,30.375,38.5,-8.125
2,33,singular,1.0859375,23.0,20.375,2.625
2,34,plural,4.5,35.25,30.75,4.5
2,35,singular,0.1376953125,30.75,27.875,2.875
2,36,plural,0.2578125,28.625,29.875,-1.25
2,37,singular,0.126953125,30.75,28.0,2.75
2,38,plural,0.01470947265625,31.0,35.25,-4.25
2,39,singular,4.9375,21.75,19.0,2.75
2,40,plural,0.01165771484375,31.0,35.5,-4.5
2,41,singular,0.01495361328125,29.0,24.125,4.875
2,42,plural,0.049072265625,32.25,35.25,-3.0
2,43,singular,3.796875,26.75,30.5,-3.75
2,44,plural,0.08056640625,27.5,30.0,-2.5
2,45,singular,0.00225830078125,34.0,27.875,6.125
2,46,plural,0.056396484375,27.625,34.5,-6.875
2,47,singular,0.251953125,34.5,33.25,1.25
2,48,plural,0.83203125,30.5,30.25,0.25
2,49,singular,0.1962890625,27.625,25.75,1.875
2,50,plural,1.0546875,29.0,28.375,0.625
2,51,singular,0.703125,26.0,23.5,2.5
2,52,plural,0.0016021728515625,29.625,36.25,-6.625
2,53,singular,0.0230712890625,36.75,32.5,4.25
2,54,plural,0.000858306884765625,31.125,39.25,-8.125
2,55,singular,0.1005859375,35.75,33.5,2.25
2,56,plural,0.015869140625,26.5,30.75,-4.25
2,57,singular,0.018310546875,36.5,32.5,4.0
2,58,plural,0.0003833770751953125,28.375,36.25,-7.875
2,59,singular,0.0140380859375,30.5,26.125,4.375
2,60,plural,0.00067138671875,29.875,37.25,-7.375
3,61,singular,0.00262451171875,34.5,26.875,7.625
3,62,plural,0.01397705078125,26.5,30.875,-4.375
3,63,singular,0.365234375,27.5,19.75,7.75
3,64,plural,0.0625,28.625,31.375,-2.75
3,65,singular,0.00173187255859375,34.75,27.0,7.75
3,66,plural,0.0008392333984375,30.375,37.5,-7.125
3,67,singular,0.0086669921875,37.25,32.5,4.75
3,68,plural,4.75,37.25,32.5,4.75
3,69,singular,1.0546875,31.375,32.0,-0.625
3,70,plural,0.0042724609375,31.25,36.75,-5.5
3,71,singular,0.018798828125,32.75,28.75,4.0
3,72,plural,0.14453125,29.5,31.375,-1.875
3,73,singular,0.1103515625,30.875,28.625,2.25
3,74,plural,3.600120544433594e-05,27.75,38.0,-10.25
3,75,singular,0.1337890625,28.625,26.5,2.125
3,76,plural,0.00018787384033203125,29.125,38.0,-8.875
3,77,singular,0.01385498046875,29.125,24.5,4.625
3,78,plural,0.002227783203125,26.625,37.75,-11.125
3,79,singular,5.25,32.5,37.75,-5.25
3,80,plural,0.033935546875,28.625,32.0,-3.375
3,81,singular,0.000270843505859375,39.25,31.0,8.25
3,82,plural,8.25,39.25,31.0,8.25
3,83,singular,0.01226806640625,30.5,24.25,6.25
3,84,plural,0.06201171875,33.75,36.5,-2.75
3,85,singular,0.024169921875,31.0,27.25,3.75
3,86,plural,0.000576019287109375,30.375,42.0,-11.625
3,87,singular,0.07275390625,36.5,33.75,2.75
3,88,plural,0.0003032684326171875,31.0,40.25,-9.25
3,89,singular,0.0014495849609375,31.875,25.0,6.875
3,90,plural,0.00897216796875,28.75,33.5,-4.75
4,91,singular,2.8125,33.75,36.5,-2.75
4,92,plural,0.038818359375,32.0,35.25,-3.25
4,93,singular,0.00014209747314453125,37.25,25.125,12.125
4,94,plural,0.00982666015625,31.875,36.5,-4.625
4,95,singular,0.0002346038818359375,33.5,24.75,8.75
4,96,plural,8.75,39.5,30.75,8.75
4,97,singular,0.01080322265625,30.625,24.25,6.375
4,98,plural,0.0002269744873046875,30.875,40.5,-9.625
4,99,singular,0.0030364990234375,33.75,27.875,5.875
4,100,plural,0.00897216796875,27.5,32.25,-4.75
4,101,singular,0.0028533935546875,33.0,26.5,6.5
4,102,plural,0.06201171875,33.75,36.5,-2.75
4,103,singular,0.00185394287109375,34.75,27.25,7.5
4,104,plural,0.000446319580078125,30.25,42.25,-12.0
4,105,singular,0.002471923828125,31.625,25.375,6.25
4,106,plural,0.0037078857421875,27.375,33.0,-5.625
4,107,singular,3.765625,33.25,37.0,-3.75
4,108,plural,9.125,39.75,30.625,9.125
