epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,4.20284857340157,0.5583495497703552,0.43461576104164124,72.76141357421875,69.02750164667765,1.46875,1.484375,1.4494974613189697,1.96875,0.11181640625, dogs |  Cats |  door |  cats | _door, trees | trees |  Trees | Trees |  chairs,0.6007194519042969,0.3956834673881531,0.8057553768157959
2,0.8743172029387399,0.9593959450721741,0.007371348328888416,39.36978219350179,39.46552823384603,1.4765625,1.5,1.4494974613189697,1.984375,0.1083984375, door |  Cats |  dogs |  cats | _door, trees | trees |  Trees |  chairs |  birds,0.6798561215400696,0.4532374143600464,0.9064748287200928
3,0.8083458534216333,0.6253334283828735,0.014082403853535652,25.349528503417968,24.373232384522755,1.4765625,1.5078125,1.4494974613189697,1.9921875,0.10595703125, door |  Cats |  dogs |  cats | _door, trees | trees |  chairs |  Trees |  birds,0.7769784331321716,0.6402877569198608,0.9136690497398376
4,0.7194242284166346,0.7177028656005859,0.00710412859916687,25.634888275464377,25.62137247721354,1.484375,1.5078125,1.4494974613189697,2.0,0.1015625, door |  Cats |  dogs |  cats | _door, trees | trees |  chairs |  Trees |  birds,0.8237410187721252,0.7194244861602783,0.9280575513839722
5,0.8344192210182882,0.6193590760231018,0.01066115777939558,21.207845362027488,21.092836809158324,1.484375,1.515625,1.4494974613189697,2.015625,0.099609375, door |  Cats |  dogs | _door |  cats, trees | trees |  chairs |  Trees |  birds,0.8381295204162598,0.7410072088241577,0.935251772403717
6,0.7330570707603556,0.9167931079864502,0.002601331565529108,21.12645263671875,21.01732332110405,1.484375,1.515625,1.4494974613189697,2.015625,0.09814453125, door |  Cats |  dogs | _door |  cats, trees | trees |  chairs |  birds |  Trees,0.8273381590843201,0.7194244861602783,0.935251772403717
7,0.8097845557413924,0.7594901323318481,0.005418724380433559,21.839911854267122,21.575913174947104,1.484375,1.515625,1.4494974613189697,2.015625,0.09716796875, door |  dogs | _door |  Cats |  cats, trees | trees |  chairs |  birds |  Trees,0.8453237414360046,0.7625899314880371,0.9280575513839722
8,0.781346153980121,1.2137398719787598,0.0006949001108296216,21.180160268147787,21.18181575536728,1.484375,1.515625,1.4494974613189697,2.015625,0.09521484375, door | _door |  dogs |  Cats |  cats, trees | trees |  chairs |  birds |  Trees,0.8345323801040649,0.7266187071800232,0.9424460530281067
9,0.7554285116166662,1.4086054563522339,0.0004217670939397067,21.074135795235634,20.969621086120604,1.484375,1.5234375,1.4494974613189697,2.03125,0.09228515625, door | _door |  dogs |  Cats |  cats, trees | trees |  chairs |  birds |  Trees,0.8381295204162598,0.7410072088241577,0.935251772403717
10,0.8529188639443722,0.7566289901733398,0.005380542483180761,21.012119150161745,20.92086590329806,1.4921875,1.5234375,1.4494974613189697,2.03125,0.09033203125, door | _door |  dogs |  Cats |  cats, trees | trees |  chairs |  birds |  Trees,0.8345323801040649,0.7625899314880371,0.9064748287200928
11,0.6816819211331828,0.8547461032867432,0.00350347813218832,21.195502624909082,21.14352124532064,1.4921875,1.5234375,1.4494974613189697,2.03125,0.08935546875, door | _door |  dogs |  cats |  Cats, trees | trees |  chairs |  birds |  Trees,0.8309352397918701,0.7553957104682922,0.9064748287200928
12,0.6192393501364146,0.0007029711850918829,1.5512217283248901,16.99644885957241,16.98900396823883,1.5,1.515625,1.4494974613189697,2.03125,0.08740234375, door |  cats |  dogs |  Cats | _door, trees | trees |  chairs |  Trees |  birds,0.8812949657440186,0.8417266011238098,0.9208633303642273
