epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,7.600402241945266,2.911614179611206,0.8535106182098389,77.86846720377604,71.91576154858122,1.4765625,1.5,1.4494974613189697,1.984375,0.1083984375, chairs |  Chairs |  porch |  ponds |  gates, cats |  birds |  dogs |  walls |  ladies,0.7877697944641113,0.6906474828720093,0.8848921060562134
2,1.5175659433113955,0.8852141499519348,0.01859397627413273,47.03321940104167,44.88119303385417,1.4921875,1.5234375,1.4494974613189697,2.0,0.12060546875, chairs |  Chairs |  porch |  chair |  dogs, cats |  birds |  dogs |  walls |  ladies,0.798561155796051,0.6474820375442505,0.9496402740478516
3,0.7722442688448307,0.4773746430873871,0.06282543390989304,26.48200937906901,27.604762649536134,1.5,1.5234375,1.4494974613189697,2.0,0.12060546875, chairs |  Chairs |  porch |  tiger |  chair, cats |  birds |  dogs |  walls |  ladies,0.8812949657440186,0.8345323801040649,0.9280575513839722
4,0.6618532383163256,0.0031512766145169735,1.1038504838943481,22.761577860514322,22.42449951171875,1.5078125,1.5234375,1.4494974613189697,2.015625,0.1162109375, chairs |  Chairs |  tiger |  porch |  chair, cats |  birds |  dogs |  ladies |  walls,0.8776978254318237,0.8129496574401855,0.9424460530281067
5,0.38737945025956527,0.0029327725060284138,1.103461503982544,10.856624080737431,10.827176475524903,1.5078125,1.5234375,1.4494974613189697,2.015625,0.11572265625, chairs |  Chairs |  tiger |  porch |  chair, cats |  birds |  dogs |  ladies |  walls,0.8741007447242737,0.8057553768157959,0.9424460530281067
6,0.6945927759042434,0.9081536531448364,0.002998343203216791,19.286261808872222,19.1548095703125,1.5078125,1.53125,1.4494974613189697,2.015625,0.1142578125, chairs |  porch |  Chairs |  tiger |  chair, cats |  birds |  dogs |  ladies |  walls,0.8561151027679443,0.769784152507782,0.9424460530281067
7,0.8042389781810623,0.8091081976890564,0.004372994415462017,21.065820185343423,21.098471744855246,1.5078125,1.53125,1.4494974613189697,2.03125,0.11376953125, chairs |  porch |  Chairs |  tiger |  chair, cats |  birds |  dogs |  ladies |  walls,0.8633093237876892,0.7841726541519165,0.9424460530281067
8,0.99250768462432,0.0033716901671141386,0.9032665491104126,26.891876475016275,26.94733624458313,1.515625,1.53125,1.4494974613189697,2.03125,0.1103515625, porch |  tiger |  chairs |  Chairs |  door, cats |  birds |  dogs |  ladies |  walls,0.8920863270759583,0.8417266011238098,0.9424460530281067
9,0.5745217823822941,1.0069491863250732,0.0015167922247201204,16.551839156448843,16.1648993174235,1.5078125,1.5390625,1.4494974613189697,2.03125,0.1083984375, porch |  chairs |  Chairs |  tiger |  door, cats |  birds |  dogs |  ladies |  walls,0.8309352397918701,0.7122302055358887,0.9496402740478516
10,0.6280704722773407,0.0006451577064581215,1.2525795698165894,15.807305240631104,15.809657700856526,1.5234375,1.53125,1.4494974613189697,2.046875,0.107421875, tiger |  porch |  chairs |  Chairs |  door, cats |  birds |  dogs |  ladies |  walls,0.8920863270759583,0.8561151027679443,0.9280575513839722
11,0.6719913811049385,1.3559128046035767,0.00034835838596336544,16.287705236921706,16.026146912574767,1.515625,1.546875,1.4494974613189697,2.046875,0.1044921875, porch |  tiger |  chairs |  Chairs |  door, cats |  birds |  dogs |  ladies |  walls,0.8201438784599304,0.6906474828720093,0.9496402740478516
12,0.9034391151163012,0.0002232860861113295,1.454153299331665,26.093848822514214,26.07532266378403,1.53125,1.53125,1.4494974613189697,2.046875,0.10400390625, tiger |  porch |  chairs |  Chairs |  door, cats |  birds |  dogs |  ladies |  walls,0.8992805480957031,0.8776978254318237,0.9208633303642273
