epoch,avg_ce,sing_ce,plur_ce,grad_wug,grad_wugs,norm_wug,norm_wugs,target_norm,sep_l2,cos,nbrs_wug,nbrs_wugs,eval_overall,eval_sing,eval_plur
1,5.55870754327237,0.563911497592926,1.4842567443847656,69.43456675211588,74.3263707579225,1.4765625,1.4921875,1.4494974613189697,1.9453125,0.1376953125,_door |  door |  doors | _gate | 門, dogs |  cars |  door |  cats |  fence,0.7625899314880371,0.9424460530281067,0.5827338099479675
2,1.1266150060410534,0.1876470446586609,0.8155435919761658,42.134846941630045,38.63512369791667,1.484375,1.5,1.4494974613189697,1.9609375,0.1328125,_door |  door |  gate | 門 |  doors, dogs |  cats |  cars |  door |  fence,0.8453237414360046,0.9136690497398376,0.7769784331321716
3,0.8453594292086564,0.0305576603859663,0.47694092988967896,26.103222020467122,22.059123484293618,1.4921875,1.5,1.4494974613189697,1.96875,0.13671875,_door |  door | _gate |  gate | 門, dogs |  cats |  cars |  door |  fence,0.8597122430801392,0.9280575513839722,0.7913669347763062
4,0.8201056722296698,1.7567942142486572,0.0005566947511397302,27.40528239607811,27.269359970092772,1.484375,1.515625,1.4494974613189697,1.9765625,0.1337890625,_door |  door | _gate |  gate | 門, dogs |  cats |  cars |  door |  book,0.8489208817481995,0.8705036044120789,0.8273381590843201
5,0.5856610364622535,0.0003427913470659405,1.7103533744812012,21.545288213094075,21.355639227231343,1.5,1.5,1.4494974613189697,1.9765625,0.1318359375,_door |  door |  gate | 門 | _gate, dogs |  cats |  cars |  door |  fence,0.8705036044120789,0.9064748287200928,0.8345323801040649
6,0.7871082663471195,0.0009722940158098936,1.4034122228622437,23.627857207258543,23.806167634328208,1.5078125,1.5078125,1.4494974613189697,1.9921875,0.125,_door |  door |  gate | 門 | _gate, dogs |  cats |  cars |  door |  fence,0.8920863270759583,0.9136690497398376,0.8705036044120789
7,0.2535774245252469,1.0546478033065796,0.0017240288434550166,7.772716415300965,7.611144383748372,1.5,1.515625,1.4494974613189697,1.9921875,0.12451171875,_door |  door | _gate | 門 |  gate, dogs |  cats |  cars |  fence |  book,0.8884891867637634,0.8848921060562134,0.8920863270759583
8,0.9581716114993923,0.00021174336143303663,1.8805766105651855,25.696298750614126,25.706764030456544,1.515625,1.5078125,1.4494974613189697,2.0,0.11962890625,_door |  door |  gate | 門 | _gate, dogs |  cats |  cars |  door |  fence,0.8848921060562134,0.9136690497398376,0.8561151027679443
9,0.88267807670865,0.0004159337840974331,1.4525097608566284,21.079911162455875,21.086221432685853,1.515625,1.515625,1.4494974613189697,2.015625,0.1181640625,_door |  door |  gate | 門 | _gate, dogs |  cats |  cars |  door | .Book,0.8920863270759583,0.9064748287200928,0.8776978254318237
10,0.7866608130715008,0.0021702495869249105,0.9528934359550476,20.800520443419614,20.818981556097665,1.5078125,1.515625,1.4494974613189697,2.015625,0.11865234375,_door |  door |  gate | _gate | 門, dogs |  cats |  cars | .Book |  door,0.902877688407898,0.9136690497398376,0.8920863270759583
11,0.5802355944393108,1.4600697755813599,0.00023575063096359372,15.433177208403746,15.305856498082479,1.5078125,1.5234375,1.4494974613189697,2.015625,0.1162109375,_door |  door | _gate |  gate | 門, dogs |  cats |  cars |  book |  books,0.9064748287200928,0.8920863270759583,0.9208633303642273
