epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,5.28125,18.5,15.5,3.0
1,2,plural,15.1875,18.875,12.9375,5.9375
1,3,singular,2.984375,19.0,18.5,0.5
1,5,singular,2.359375,20.375,16.5,3.875
1,6,plural,4.625,19.25,18.875,0.375
1,8,plural,1.90625,23.625,22.125,1.5
1,10,plural,0.578125,21.25,22.625,-1.375
1,11,singular,3.40625,20.625,18.25,2.375
1,12,plural,0.197265625,23.25,25.125,-1.875
1,14,plural,1.8125,24.0,22.75,1.25
1,17,singular,6.90625,20.625,19.875,0.75
1,18,plural,0.04541015625,21.0,25.625,-4.625
1,19,singular,0.85546875,23.875,20.375,3.5
1,21,singular,0.265625,26.125,21.5,4.625
1,24,plural,0.07275390625,22.125,25.5,-3.375
1,25,singular,2.453125,21.25,23.25,-2.0
1,26,plural,1.796875,24.125,23.0,1.125
1,27,singular,1.546875,23.125,24.375,-1.25
1,29,singular,0.2001953125,24.25,21.125,3.125
1,30,plural,7.75,29.75,22.0,7.75
2,31,singular,0.197265625,26.625,23.375,3.25
2,33,singular,0.87109375,23.875,24.0,-0.125
2,34,plural,0.4453125,24.625,25.5,-0.875
2,35,singular,0.3203125,27.75,20.25,7.5
2,36,plural,0.07568359375,23.0,26.625,-3.625
2,37,singular,0.0111083984375,28.75,21.25,7.5
2,40,plural,0.37109375,24.875,25.75,-0.875
2,41,singular,0.04150390625,27.5,24.125,3.375
2,43,singular,0.263671875,26.0,24.75,1.25
2,44,plural,5.46875,28.75,23.5,5.25
2,47,singular,2.484375,23.625,26.0,-2.375
2,48,plural,0.29296875,25.25,26.375,-1.125
2,49,singular,0.08984375,26.0,23.5,2.5
2,50,plural,1.859375,28.0,26.375,1.625
2,52,plural,0.0712890625,26.25,28.875,-2.625
2,54,plural,0.045654296875,25.75,28.875,-3.125
2,55,singular,0.423828125,25.75,24.625,1.125
2,58,plural,0.2275390625,26.875,28.25,-1.375
2,59,singular,0.2060546875,26.625,24.875,1.75
2,60,plural,0.58203125,26.0,26.25,-0.25
3,62,plural,0.000904083251953125,22.25,30.0,-7.75
3,64,plural,0.0106201171875,25.5,30.125,-4.625
3,65,singular,0.265625,26.75,25.375,1.375
3,68,plural,0.0166015625,25.75,29.875,-4.125
3,71,singular,0.703125,24.5,24.375,0.125
3,72,plural,0.1337890625,25.125,27.125,-2.0
3,73,singular,0.2138671875,25.75,24.25,1.5
3,75,singular,0.1845703125,29.0,22.125,6.875
3,76,plural,3.71875,29.125,25.75,3.375
3,77,singular,0.039306640625,28.125,24.25,3.875
3,78,plural,0.048828125,26.5,29.75,-3.25
3,79,singular,0.76171875,26.625,26.75,-0.125
3,80,plural,0.828125,28.625,28.375,0.25
3,81,singular,0.96875,26.625,27.0,-0.375
