epoch,global_step,phase,token_ce,logit_wug,logit_wugs,logit_gap
1,1,singular,6.59375,21.5,20.875,0.625
1,2,plural,1.25,20.125,22.875,-2.75
1,3,singular,14.6875,11.25,13.0,-1.75
1,4,plural,2.296875,19.125,21.625,-2.5
1,5,singular,0.283203125,29.0,26.0,3.0
1,6,plural,1.8046875,17.0,22.75,-5.75
1,7,singular,0.044677734375,31.125,26.75,4.375
1,8,plural,0.1494140625,17.25,25.625,-8.375
1,9,singular,3.90625,21.0,21.0,0.0
1,10,plural,1.3359375,25.0,25.0,0.0
1,11,singular,2.25,22.125,22.375,-0.25
1,12,plural,5.75,34.25,28.5,5.75
1,13,singular,2.484375,23.25,25.25,-2.0
1,14,plural,0.984375,28.25,28.375,-0.125
1,15,singular,5.375,29.625,35.0,-5.375
1,16,plural,5.875,21.125,25.75,-4.625
1,17,singular,1.171875,31.25,27.0,4.25
1,18,plural,0.578125,32.0,32.25,-0.25
1,19,singular,0.177734375,30.125,26.375,3.75
1,20,plural,0.047119140625,24.5,31.125,-6.625
1,21,singular,0.06689453125,30.75,27.875,2.875
1,22,plural,0.2578125,28.375,35.75,-7.375
1,23,singular,4.3125,19.5,21.875,-2.375
1,24,plural,6.5,38.25,31.75,6.5
1,25,singular,5.21875,21.5,23.625,-2.125
1,26,plural,0.068359375,26.5,29.375,-2.875
1,27,singular,0.353515625,30.375,29.5,0.875
1,28,plural,0.06201171875,34.5,37.25,-2.75
1,29,singular,1.6015625,28.375,29.75,-1.375
1,30,plural,0.007080078125,28.375,36.75,-8.375
2,31,singular,0.0025634765625,33.75,27.5,6.25
2,32,plural,0.0302734375,27.5,32.0,-4.5
2,33,singular,0.00579833984375,37.25,29.125,8.125
2,34,plural,0.032470703125,30.5,34.0,-3.5
2,35,singular,5.4836273193359375e-06,36.25,20.375,15.875
2,36,plural,0.046875,28.0,31.125,-3.125
2,37,singular,0.00836181640625,30.0,24.5,5.5
2,38,plural,0.57421875,35.75,36.0,-0.25
2,39,singular,0.037841796875,32.0,28.0,4.0
2,40,plural,0.0019683837890625,27.625,40.75,-13.125
2,41,singular,0.01397705078125,31.875,27.5,4.375
2,42,plural,0.00014209747314453125,31.625,40.5,-8.875
2,43,singular,0.025390625,32.5,27.875,4.625
2,44,plural,0.006805419921875,31.5,36.5,-5.0
2,45,singular,0.240234375,27.25,21.25,6.0
2,46,plural,0.0072021484375,27.0,32.0,-5.0
2,47,singular,0.01251220703125,29.875,24.75,5.125
2,48,plural,0.0003833770751953125,28.625,36.5,-7.875
2,49,singular,0.005645751953125,28.875,20.875,8.0
2,50,plural,0.000732421875,27.375,39.0,-11.625
2,51,singular,7.75,32.75,40.5,-7.75
2,52,plural,1.2265625,29.0,28.125,0.875
2,53,singular,0.00055694580078125,40.25,32.75,7.5
2,54,plural,0.33203125,27.75,28.75,-1.0
2,55,singular,0.001861572265625,32.75,26.375,6.375
2,56,plural,6.5,39.75,33.25,6.5
2,57,singular,0.9453125,26.375,24.875,1.5
2,58,plural,0.003631591796875,21.875,37.25,-15.375
2,59,singular,6.5,34.0,40.5,-6.5
2,60,plural,0.003204345703125,28.75,34.5,-5.75
3,61,singular,0.00714111328125,30.5,24.875,5.625
3,62,plural,6.5,40.25,33.75,6.5
3,63,singular,0.0027008056640625,31.875,22.25,9.625
3,64,plural,0.0031890869140625,34.25,40.0,-5.75
3,65,singular,4.172325134277344e-06,37.0,23.75,13.25
3,66,plural,3.814697265625e-06,27.0,39.5,-12.5
3,67,singular,0.018798828125,32.75,28.75,4.0
3,68,plural,0.004669189453125,22.0,37.0,-15.0
3,69,singular,0.03271484375,32.75,29.0,3.75
3,70,plural,0.000110626220703125,26.25,35.5,-9.25
3,71,singular,0.02099609375,34.0,30.125,3.875
3,72,plural,0.00022029876708984375,26.875,36.75,-9.875
3,73,singular,5.75,34.25,40.0,-5.75
3,74,plural,0.000881195068359375,26.125,33.25,-7.125
3,75,singular,0.00109100341796875,31.875,24.125,7.75
3,76,plural,0.0859375,27.5,30.0,-2.5
3,77,singular,0.0001316070556640625,41.0,27.875,13.125
3,78,plural,0.001617431640625,28.875,38.25,-9.375
3,79,singular,0.00066375732421875,34.0,21.0,13.0
3,80,plural,0.0069580078125,30.25,39.5,-9.25
3,81,singular,0.00093841552734375,30.75,21.75,9.0
3,82,plural,0.005950927734375,29.125,34.25,-5.125
3,83,singular,0.00011301040649414062,35.0,25.75,9.25
3,84,plural,0.0133056640625,30.875,35.25,-4.375
3,85,singular,0.0001239776611328125,41.5,32.5,9.0
3,86,plural,0.0218505859375,28.375,32.25,-3.875
3,87,singular,0.00072479248046875,35.75,26.625,9.125
3,88,plural,0.0380859375,33.25,36.5,-3.25
3,89,singular,0.00020503997802734375,41.25,32.75,8.5
3,90,plural,8.5,41.25,32.75,8.5
4,91,singular,1.823902130126953e-05,36.0,24.625,11.375
4,92,plural,4.291534423828125e-06,25.5,38.0,-12.5
4,93,singular,0.66015625,27.875,27.75,0.125
4,94,plural,0.0003032684326171875,30.875,39.0,-8.125
4,95,singular,0.00927734375,29.0,23.625,5.375
4,96,plural,7.62939453125e-05,26.0,41.25,-15.25
4,97,singular,0.005218505859375,34.0,28.0,6.0
4,98,plural,8.630752563476562e-05,26.25,35.75,-9.5
4,99,singular,0.09716796875,29.25,26.875,2.375
4,100,plural,1.1682510375976562e-05,27.625,39.0,-11.375
4,101,singular,0.002471923828125,34.75,27.625,7.125
4,102,plural,0.00026702880859375,27.375,42.75,-15.375
4,103,singular,6.25,34.0,40.25,-6.25
4,104,plural,0.055419921875,24.875,34.5,-9.625
4,105,singular,1.2993812561035156e-05,37.0,24.625,12.375
4,106,plural,11.25,42.75,31.5,11.25
4,107,singular,0.000957489013671875,34.0,27.0,7.0
4,108,plural,7.581710815429688e-05,25.0,34.75,-9.75
4,109,singular,0.0004062652587890625,33.75,20.5,13.25
4,110,plural,0.00066375732421875,29.75,37.25,-7.5
4,111,singular,3.53125,35.5,39.0,-3.5
4,112,plural,0.283203125,30.0,31.125,-1.125
4,113,singular,2.384185791015625e-06,39.5,24.875,14.625
4,114,plural,0.02587890625,30.25,34.0,-3.75
4,115,singular,4.792213439941406e-05,42.0,27.375,14.625
4,116,plural,9.25,41.75,32.5,9.25
4,117,singular,0.00390625,32.25,23.25,9.0
4,118,plural,0.00860595703125,34.75,39.5,-4.75
4,119,singular,4.75,34.75,39.5,-4.75
4,120,plural,0.11962890625,27.875,30.0,-2.125
