split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,13,1,The calm pup around the belts outside the piles behind the rushes,The calm pups around the belt outside the pile behind the rush,-15.931774139404297,-18.369274139404297,-17.621938705444336,-17.309438705444336,-18.025667190551758,-17.838167190551758,
train,0,13,1,The slender cow outside the piles behind the rushes past the vines,The slender cows outside the pile behind the rush past the vine,-19.21426010131836,-19.40176010131836,-17.293081283569336,-15.355581283569336,-16.863582611083984,-15.363582611083984,
train,0,13,1,The quiet panda past the screws beneath the boilers around the tanks,The quiet pandas past the screw beneath the boiler around the tank,-1.6831607818603516,-8.308160781860352,-4.714788436889648,-4.214788436889648,-4.955567359924316,-5.205567359924316,
train,0,13,1,The fuzzy lion outside the pots behind the pans past the cars,The fuzzy lions outside the pot behind the pan past the car,-1.8503203392028809,-8.100320816040039,-4.206148624420166,-3.331148386001587,-4.969302654266357,-4.594302654266357,
train,0,13,1,The slender kitten behind the houses past the rocks beneath the chairs,The slender kittens behind the house past the rock beneath the chair,-1.9420667886734009,-6.942066669464111,-4.322275161743164,-1.4472752809524536,-4.308317184448242,-1.8083171844482422,
train,0,13,1,The sleepy rat around the towers outside the cabins behind the signs,The sleepy rats around the tower outside the cabin behind the sign,-2.9338698387145996,-5.5588698387146,-5.520822525024414,-4.520822525024414,-5.511624813079834,-5.011624813079834,
train,0,13,1,The slender whale past the logs beneath the columns around the towers,The slender whales past the log beneath the column around the tower,-13.601794242858887,-15.289294242858887,-14.62059497833252,-12.12059497833252,-14.8629732131958,-12.5504732131958,
train,0,13,1,The small dolphin beneath the boilers around the tanks outside the pipes,The small dolphins beneath the boiler around the tank outside the pipe,-12.741742134094238,-13.804242134094238,-13.026144981384277,-12.026144981384277,-12.856816291809082,-12.481816291809082,
train,0,13,1,The sleepy dolphin beneath the boilers around the tanks outside the pipes,The sleepy dolphins beneath the boiler around the tank outside the pipe,-2.651231050491333,-7.026230812072754,-3.891613483428955,-3.641613483428955,-3.694113254547119,-4.569113254547119,
train,0,13,1,The nervous lion behind the rocks past the chairs beneath the carts,The nervous lions behind the rock past the chair beneath the cart,-19.20193862915039,-20.20193862915039,-23.571117401123047,-21.133617401123047,-23.25577735900879,-20.96671485900879,
train,0,13,1,The timid pup past the screws beneath the boilers around the tanks,The timid pups past the screw beneath the boiler around the tank,-15.716355323791504,-16.841354370117188,-16.010883331298828,-14.198383331298828,-15.758703231811523,-14.821203231811523,
train,0,13,1,The slender shark outside the pots behind the pans past the cars,The slender sharks outside the pot behind the pan past the car,-1.290854811668396,-7.7908549308776855,-3.341550350189209,-2.216550350189209,-4.09755802154541,-3.3475582599639893,
train,0,13,1,The timid rat outside the pipes behind the valves past the cables,The timid rats outside the pipe behind the valve past the cable,-3.0487537384033203,-8.42375373840332,-5.018035411834717,-3.018035411834717,-4.849957466125488,-4.099957466125488,
train,0,13,1,The fuzzy kit beneath the trenches around the dams outside the pots,The fuzzy kits beneath the trench around the dam outside the pot,-14.622795104980469,-15.935295104980469,-14.61363410949707,-12.92613410949707,-14.38802719116211,-13.20052719116211,
train,0,13,1,The sleepy lion outside the windows behind the crates past the barrels,The sleepy lions outside the window behind the crate past the barrel,-2.248805046081543,-8.123805046081543,-4.083528518676758,-2.958528757095337,-3.846090793609619,-4.096090793609619,
train,0,13,1,The sleepy kitten outside the pots behind the pans past the cars,The sleepy kittens outside the pot behind the pan past the car,-2.671825408935547,-9.046825408935547,-6.514490604400635,-4.764490604400635,-7.792512893676758,-6.417512893676758,
train,0,13,1,The calm panda past the rocks beneath the chairs around the carts,The calm pandas past the rock beneath the chair around the cart,-3.661043167114258,-7.411043167114258,-4.790083885192871,-3.54008412361145,-5.202841758728027,-4.702841758728027,
train,0,13,1,The timid cow beneath the columns around the towers outside the cabins,The timid cows beneath the column around the tower outside the cabin,-1.6861567497253418,-7.186156749725342,-4.43297004699707,-1.5579701662063599,-4.309343338012695,-2.0593433380126953,
train,0,13,1,The small dolphin past the logs beneath the columns around the towers,The small dolphins past the log beneath the column around the tower,-4.587573051452637,-9.587573051452637,-7.273004055023193,-6.273004055023193,-7.917302131652832,-7.542302131652832,
