split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,10,1,The nervous shark around the thresholds outside the drums,The nervous sharks around the threshold outside the drum,-13.613961219787598,-14.363961219787598,-16.13059425354004,-15.224344253540039,-16.295719146728516,-15.483220100402832,
train,0,10,1,The slender cow outside the piles behind the rushes,The slender cows outside the pile behind the rush,-16.4163818359375,-18.2913818359375,-15.798871994018555,-14.111371994018555,-15.455787658691406,-13.955787658691406,
train,0,10,1,The bright chick past the nests beneath the milestones,The bright chicks past the nest beneath the milestone,-20.006927490234375,-21.350677490234375,-21.755786895751953,-21.099536895751953,-21.31708335876465,-20.69208335876465,
train,0,10,1,The fuzzy whale behind the plants past the logs,The fuzzy whales behind the plant past the log,-1.6547541618347168,-7.404754161834717,-3.049166202545166,-2.799166202545166,-3.1659131050109863,-4.290913105010986,
train,0,10,1,The fuzzy turtle outside the drums behind the bolts,The fuzzy turtles outside the drum behind the bolt,-1.6544212102890015,-5.529421329498291,-3.627444267272949,-1.5024442672729492,-4.006602764129639,-2.2566027641296387,
train,0,10,1,The quiet panda past the screws beneath the boilers,The quiet pandas past the screw beneath the boiler,-0.6639934182167053,-7.7889933586120605,-2.432535171508789,-1.6825352907180786,-2.6230218410491943,-1.7480218410491943,
train,0,10,1,The fuzzy lion outside the pots behind the pans,The fuzzy lions outside the pot behind the pan,-1.1324121952056885,-7.257411956787109,-1.4153544902801514,-1.1653544902801514,-1.5829095840454102,-1.0829095840454102,
train,0,10,1,The slender kitten behind the houses past the rocks,The slender kittens behind the house past the rock,-1.9976806640625,-7.6226806640625,-5.915774345397949,-1.6657741069793701,-6.012167930603027,-2.1371679306030273,
train,0,10,1,The calm horse around the belts outside the piles,The calm horses around the belt outside the pile,-13.27439022064209,-16.336889266967773,-13.080832481384277,-11.455832481384277,-13.12649154663086,-11.50149154663086,
train,0,10,1,The sleepy rat around the towers outside the cabins,The sleepy rats around the tower outside the cabin,-1.2949116230010986,-6.5449113845825195,-6.08589506149292,-1.71089506149292,-6.077044486999512,-1.7020442485809326,
train,0,10,1,The slender whale past the logs beneath the columns,The slender whales past the log beneath the column,-12.32863712310791,-14.51613712310791,-14.674903869628906,-13.112403869628906,-15.705854415893555,-14.205854415893555,
train,0,10,1,The bright horse beneath the trenches around the dams,The bright horses beneath the trench around the dam,-1.8228302001953125,-6.4478302001953125,-3.49454927444458,-1.3695493936538696,-3.6351733207702637,-1.5101734399795532,
train,0,10,1,The bright turtle beneath the barrels around the statues,The bright turtles beneath the barrel around the statue,-2.1519813537597656,-6.151981353759766,-4.535581588745117,-3.2855818271636963,-4.559525012969971,-3.5595250129699707,
train,0,10,1,The bright dog around the tables outside the houses,The bright dogs around the table outside the house,-12.682732582092285,-15.057732582092285,-15.461560249328613,-11.774060249328613,-15.362747192382812,-11.800247192382812,
train,0,10,1,The calm cock around the walls outside the tables,The calm cocks around the wall outside the table,-2.6703543663024902,-3.2953543663024902,-3.7263736724853516,-2.6013736724853516,-3.8461780548095703,-2.7211780548095703,
train,0,10,1,The sleepy dolphin beneath the boilers around the tanks,The sleepy dolphins beneath the boiler around the tank,-2.295969009399414,-6.795969009399414,-4.396514892578125,-3.146514892578125,-4.311385154724121,-3.311385154724121,
train,0,10,1,The slender dolphin outside the drums behind the bolts,The slender dolphins outside the drum behind the bolt,-1.3822410106658936,-5.507241249084473,-4.191814422607422,-2.191814422607422,-4.70343542098999,-3.4534356594085693,
train,0,10,1,The quiet dolphin past the screws beneath the boilers,The quiet dolphins past the screw beneath the boiler,-1.2161788940429688,-7.841178894042969,-3.3969340324401855,-3.0219340324401855,-3.8834760189056396,-3.6334760189056396,
train,0,10,1,The timid pup past the screws beneath the boilers,The timid pups past the screw beneath the boiler,-12.257075309753418,-15.632075309753418,-12.779867172241211,-10.717367172241211,-13.004855155944824,-10.817355155944824,
train,0,10,1,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-0.6943415403366089,-6.944341659545898,-1.7061864137649536,-0.7061864137649536,-1.8222767114639282,-0.8222767114639282,
train,0,10,1,The sleepy whale behind the pans past the cars,The sleepy whales behind the pan past the car,-14.049209594726562,-15.361709594726562,-17.492881774902344,-15.774130821228027,-16.312498092651367,-14.031249046325684,
train,0,10,1,The slender panda outside the drums behind the bolts,The slender pandas outside the drum behind the bolt,-1.506859302520752,-5.131859302520752,-3.6875009536743164,-1.5625008344650269,-4.081951141357422,-2.3319509029388428,
train,0,10,1,The timid rat outside the pipes behind the valves,The timid rats outside the pipe behind the valve,-1.5194612741470337,-7.519461154937744,-5.331991195678711,-1.20699143409729,-4.986408233642578,-1.2364084720611572,
train,0,10,1,The fuzzy kit beneath the trenches around the dams,The fuzzy kits beneath the trench around the dam,-15.005578994750977,-17.818078994750977,-16.25558853149414,-14.755587577819824,-16.66157341003418,-15.03657341003418,
train,0,10,1,The sleepy bat around the towers outside the cabins,The sleepy bats around the tower outside the cabin,-0.9377944469451904,-6.1877946853637695,-4.441833019256592,-1.0668330192565918,-4.397499084472656,-1.0224992036819458,
train,0,10,1,The sleepy lion outside the windows behind the crates,The sleepy lions outside the window behind the crate,-1.5951675176620483,-6.095167636871338,-4.310680866241455,-1.935680627822876,-4.28708028793335,-1.5370802879333496,
train,0,10,1,The sleepy kitten outside the pots behind the pans,The sleepy kittens outside the pot behind the pan,-1.234490156173706,-8.234490394592285,-2.7083165645599365,-1.0833165645599365,-2.8371753692626953,-1.0871754884719849,
train,0,10,1,The calm panda past the rocks beneath the chairs,The calm pandas past the rock beneath the chair,-1.9767019748687744,-6.976701736450195,-3.939497947692871,-2.064497947692871,-4.012961387634277,-2.1379613876342773,
train,0,10,1,The timid cow beneath the columns around the towers,The timid cows beneath the column around the tower,-2.6876072883605957,-7.687607288360596,-4.867858409881592,-1.7428585290908813,-5.151426315307617,-2.151426315307617,
train,0,10,1,The sleepy panda around the towers outside the cabins,The sleepy pandas around the tower outside the cabin,-1.0130151510238647,-5.388015270233154,-4.662689208984375,-0.7876890301704407,-4.61797571182251,-0.7429755926132202,
train,0,10,1,The fuzzy turtle outside the cabins behind the signs,The fuzzy turtles outside the cabin behind the sign,-12.837993621826172,-14.587993621826172,-16.097942352294922,-14.660442352294922,-16.053890228271484,-14.491389274597168,
train,0,10,1,The fuzzy chick outside the drums behind the bolts,The fuzzy chicks outside the drum behind the bolt,-2.361840009689331,-5.61184024810791,-3.8964364528656006,-2.1464364528656006,-3.96394681930542,-2.83894681930542,
train,0,10,1,The timid dog beneath the columns around the towers,The timid dogs beneath the column around the tower,-14.770459175109863,-17.77046012878418,-16.939191818237305,-14.501692771911621,-17.041278839111328,-14.791278839111328,
train,0,10,1,The small cow outside the houses behind the rocks,The small cows outside the house behind the rock,-0.7835948467254639,-6.158595085144043,-3.7347958087921143,-0.8597957491874695,-3.8391332626342773,-0.9641331434249878,
train,0,10,1,The calm dolphin beneath the trenches around the dams,The calm dolphins beneath the trench around the dam,-2.3325729370117188,-6.207572937011719,-3.608201026916504,-1.608201026916504,-3.609367609024048,-2.109367609024048,
train,0,10,1,The timid panda outside the pipes behind the valves,The timid pandas outside the pipe behind the valve,-0.8763808012008667,-6.126380920410156,-3.8218560218811035,-0.5718559622764587,-3.8684513568878174,-0.7434513568878174,
train,0,10,1,The quiet kit outside the pipes behind the valves,The quiet kits outside the pipe behind the valve,-13.900555610656738,-14.900555610656738,-13.899003982543945,-12.461503982543945,-13.823609352111816,-12.261109352111816,
train,0,10,1,The bright pup outside the cabins behind the signs,The bright pups outside the cabin behind the sign,-1.203973412513733,-4.078973293304443,-4.899432182312012,-2.6494321823120117,-5.254732131958008,-3.004732131958008,
train,0,10,1,The slender turtle beneath the boilers around the tanks,The slender turtles beneath the boiler around the tank,-1.2405345439910889,-5.990534782409668,-4.346683979034424,-1.7216838598251343,-4.2963762283325195,-1.796376347541809,
train,0,10,1,The small lion around the walls outside the tables,The small lions around the wall outside the table,-2.129831314086914,-2.879831314086914,-3.7068092823028564,-0.9568092823028564,-3.734003782272339,-0.9840037226676941,
train,0,10,1,The small dolphin beneath the barrels around the statues,The small dolphins beneath the barrel around the statue,-1.2701555490493774,-5.770155429840088,-4.1121978759765625,-2.7371978759765625,-4.396503448486328,-3.271503210067749,
train,0,10,1,The quiet chick outside the pipes behind the valves,The quiet chicks outside the pipe behind the valve,-1.1592881679534912,-6.40928840637207,-3.0294132232666016,-1.529413104057312,-3.3298025131225586,-1.7048025131225586,
train,0,10,1,The nervous panda beneath the chains around the belts,The nervous pandas beneath the chain around the belt,-17.45119285583496,-17.88869285583496,-16.573198318481445,-15.823198318481445,-16.59202003479004,-15.842020034790039,
train,0,10,1,The sleepy bat outside the benches behind the windows,The sleepy bats outside the bench behind the window,-16.399856567382812,-18.337356567382812,-18.959644317626953,-16.459644317626953,-18.370153427124023,-15.870152473449707,
train,0,10,1,The bright horse behind the crates past the barrels,The bright horses behind the crate past the barrel,-1.4915149211883545,-8.616515159606934,-3.804288625717163,-2.179288625717163,-4.103261947631836,-3.228262186050415,
train,0,10,1,The small kit past the vines beneath the trenches,The small kits past the vine beneath the trench,-14.35949420928955,-15.79699420928955,-20.463726043701172,-19.119976043701172,-19.21897315979004,-17.78147315979004,
train,0,10,1,The timid doe beneath the columns around the towers,The timid does beneath the column around the tower,-15.224681854248047,-17.287181854248047,-18.24973487854004,-17.12473487854004,-18.726913452148438,-17.539413452148438,
train,0,10,1,The fuzzy rat behind the valves past the cables,The fuzzy rats behind the valve past the cable,-2.1226041316986084,-7.372603893280029,-3.5525240898132324,-2.8025240898132324,-3.8597564697265625,-3.8597564697265625,
train,0,10,1,The nervous shark outside the clocks behind the plants,The nervous sharks outside the clock behind the plant,-16.058326721191406,-17.308326721191406,-17.26999855041504,-16.45749855041504,-17.62644386291504,-17.37644386291504,
train,0,10,1,The slender horse past the logs beneath the columns,The slender horses past the log beneath the column,-16.28971290588379,-19.97721290588379,-19.881759643554688,-17.506759643554688,-19.491260528564453,-17.741260528564453,
train,0,10,1,The sleepy dolphin outside the benches behind the windows,The sleepy dolphins outside the bench behind the window,-12.085262298583984,-15.835262298583984,-16.922786712646484,-11.9852876663208,-16.432565689086914,-11.807565689086914,
train,0,10,1,The small dog outside the windows behind the crates,The small dogs outside the window behind the crate,-13.423721313476562,-14.861221313476562,-16.737600326538086,-13.737600326538086,-16.368507385253906,-13.618507385253906,
train,0,10,1,The timid pup around the benches outside the windows,The timid pups around the bench outside the window,-3.6094932556152344,-4.734493255615234,-7.244725704193115,-1.4947257041931152,-7.265283584594727,-1.5152837038040161,
train,0,10,1,The sleepy monitor around the belts outside the piles,The sleepy monitors around the belt outside the pile,-3.9737701416015625,-6.4737701416015625,-5.660966396331787,-3.035966634750366,-5.593931674957275,-2.5939314365386963,
train,0,10,1,The nervous frog outside the tables behind the houses,The nervous frogs outside the table behind the house,-1.6716880798339844,-5.921688079833984,-3.718639850616455,-1.0936397314071655,-3.818179130554199,-1.1931790113449097,
train,0,10,1,The slender dolphin past the crates beneath the barrels,The slender dolphins past the crate beneath the barrel,-1.8396148681640625,-7.8396148681640625,-5.059887886047363,-3.1848878860473633,-5.461646556854248,-3.711646556854248,
train,0,10,1,The slender dolphin past the logs beneath the columns,The slender dolphins past the log beneath the column,-12.525506019592285,-15.088006019592285,-13.680488586425781,-11.617988586425781,-13.374167442321777,-12.186667442321777,
train,0,10,1,The small frog outside the windows behind the crates,The small frogs outside the window behind the crate,-14.187753677368164,-15.437753677368164,-19.412860870361328,-16.475360870361328,-19.08684730529785,-16.08684730529785,
train,0,10,1,The sleepy turtle beneath the statues around the stools,The sleepy turtles beneath the statue around the stool,-2.28564190864563,-5.160641670227051,-4.05518913269043,-1.9301888942718506,-3.989990711212158,-1.8649908304214478,
train,0,10,1,The calm kitten outside the benches behind the windows,The calm kittens outside the bench behind the window,-1.8066284656524658,-5.681628227233887,-4.204305171966553,-1.7043052911758423,-4.215569019317627,-1.8405689001083374,
train,0,10,1,The sleepy horse past the cables beneath the chains,The sleepy horses past the cable beneath the chain,-14.801543235778809,-16.614044189453125,-17.153451919555664,-14.840951919555664,-17.06117057800293,-14.811171531677246,
train,0,10,1,The timid rabbit past the screws beneath the boilers,The timid rabbits past the screw beneath the boiler,-3.5999841690063477,-8.974984169006348,-4.314754962921143,-2.9397549629211426,-4.9302263259887695,-3.4302260875701904,
train,0,10,1,The bright chick past the logs beneath the columns,The bright chicks past the log beneath the column,-2.1765975952148438,-8.551597595214844,-3.887547016143799,-3.262547016143799,-4.201257705688477,-3.9512577056884766,
train,0,10,1,The fuzzy pup outside the windows behind the crates,The fuzzy pups outside the window behind the crate,-1.0257396697998047,-5.525739669799805,-4.142266273498535,-0.5172661542892456,-4.406138896942139,-0.40613889694213867,
train,0,10,1,The slender pup outside the piles behind the rushes,The slender pups outside the pile behind the rush,-14.21690845489502,-17.404407501220703,-16.6947078704834,-16.3197078704834,-16.378490447998047,-16.159740447998047,
train,0,10,1,The timid chick past the screws beneath the boilers,The timid chicks past the screw beneath the boiler,-10.71163272857666,-14.58663272857666,-12.525853157043457,-12.025853157043457,-12.64404296875,-11.95654296875,
train,0,10,1,The small dog outside the cabins behind the signs,The small dogs outside the cabin behind the sign,-1.1323410272598267,-4.757340908050537,-5.757451057434082,-2.132451057434082,-6.491888999938965,-2.991889238357544,
train,0,10,1,The calm shark around the walls outside the tables,The calm sharks around the wall outside the table,-2.7665834426879883,-4.016583442687988,-3.4772226810455322,-1.8522226810455322,-3.6170222759246826,-2.1170222759246826,
train,0,10,1,The calm frog beneath the milestones around the thresholds,The calm frogs beneath the milestone around the threshold,-3.723428726196289,-7.348428726196289,-5.476637840270996,-5.101637840270996,-5.873453617095947,-5.748453617095947,
train,0,10,1,The small turtle outside the stools behind the clocks,The small turtles outside the stool behind the clock,-11.157737731933594,-14.032737731933594,-13.354872703552246,-11.854872703552246,-13.37783432006836,-12.06533432006836,
train,0,10,1,The timid panda beneath the columns around the towers,The timid pandas beneath the column around the tower,-16.73175811767578,-17.16925811767578,-20.32415199279785,-16.63665199279785,-20.332735061645508,-16.676485061645508,
train,0,10,1,The sleepy chick around the stools outside the clocks,The sleepy chicks around the stool outside the clock,-15.449426651000977,-15.636926651000977,-22.501283645629883,-20.313783645629883,-22.39199447631836,-20.51699447631836,
train,0,10,1,The small rat behind the bolts past the screws,The small rats behind the bolt past the screw,-1.5608762502670288,-7.685876369476318,-4.41562557220459,-3.91562557220459,-4.478866100311279,-4.853866100311279,
train,0,10,1,The quiet dog beneath the walls around the tables,The quiet dogs beneath the wall around the table,-1.8774665594100952,-5.752466678619385,-4.192729473114014,-1.8177293539047241,-4.278949737548828,-2.153949737548828,
train,0,10,1,The quiet dog outside the pipes behind the valves,The quiet dogs outside the pipe behind the valve,-14.297293663024902,-15.922293663024902,-15.791936874389648,-13.666936874389648,-15.697749137878418,-13.572749137878418,
train,0,10,1,The nervous rat past the cars beneath the boxes,The nervous rats past the car beneath the box,-16.62491798400879,-18.37491798400879,-18.721168518066406,-18.158668518066406,-18.51425552368164,-17.76425552368164,
train,0,10,1,The slender rat outside the drums behind the bolts,The slender rats outside the drum behind the bolt,-2.045478582382202,-5.920478820800781,-5.1922783851623535,-3.0672783851623535,-5.141281604766846,-3.6412813663482666,
train,0,10,1,The timid pup behind the rushes past the vines,The timid pups behind the rush past the vine,-16.61179542541504,-16.98679542541504,-18.340656280517578,-15.903155326843262,-17.75128936767578,-16.18878936767578,
