split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,10,1,The nervous shark around the thresholds outside the drums,The nervous sharks around the threshold outside the drum,-13.613961219787598,-14.363961219787598,-16.13059425354004,-15.224344253540039,-15.611828804016113,-14.361828804016113,
train,0,10,1,The slender cow outside the piles behind the rushes,The slender cows outside the pile behind the rush,-16.4163818359375,-18.2913818359375,-15.798871994018555,-14.111371994018555,-14.109785079956055,-13.922285079956055,
train,0,10,1,The bright chick past the nests beneath the milestones,The bright chicks past the nest beneath the milestone,-20.006927490234375,-21.350677490234375,-21.755786895751953,-21.099536895751953,-20.079280853271484,-20.329280853271484,
train,0,10,1,The fuzzy whale behind the plants past the logs,The fuzzy whales behind the plant past the log,-1.6547541618347168,-7.404754161834717,-3.049166202545166,-2.799166202545166,-2.5959715843200684,-3.7209715843200684,
train,0,10,1,The fuzzy turtle outside the drums behind the bolts,The fuzzy turtles outside the drum behind the bolt,-1.6544212102890015,-5.529421329498291,-3.627444267272949,-1.5024442672729492,-4.097427845001221,-2.7224278450012207,
train,0,10,1,The quiet panda past the screws beneath the boilers,The quiet pandas past the screw beneath the boiler,-0.6639934182167053,-7.7889933586120605,-2.432535171508789,-1.6825352907180786,-2.485961437225342,-2.235961437225342,
train,0,10,1,The fuzzy lion outside the pots behind the pans,The fuzzy lions outside the pot behind the pan,-1.1324121952056885,-7.257411956787109,-1.4153544902801514,-1.1653544902801514,-1.6523534059524536,-1.2773534059524536,
train,0,10,1,The slender kitten behind the houses past the rocks,The slender kittens behind the house past the rock,-1.9976806640625,-7.6226806640625,-5.915774345397949,-1.6657741069793701,-5.029409408569336,-2.029409408569336,
train,0,10,1,The calm horse around the belts outside the piles,The calm horses around the belt outside the pile,-13.27439022064209,-16.336889266967773,-13.080832481384277,-11.455832481384277,-12.725512504577637,-11.413012504577637,
train,0,10,1,The sleepy rat around the towers outside the cabins,The sleepy rats around the tower outside the cabin,-1.2949116230010986,-6.5449113845825195,-6.08589506149292,-1.71089506149292,-5.578545570373535,-2.203545331954956,
train,0,10,1,The slender whale past the logs beneath the columns,The slender whales past the log beneath the column,-12.32863712310791,-14.51613712310791,-14.674903869628906,-13.112403869628906,-14.482142448425293,-13.294642448425293,
train,0,10,1,The bright horse beneath the trenches around the dams,The bright horses beneath the trench around the dam,-1.8228302001953125,-6.4478302001953125,-3.49454927444458,-1.3695493936538696,-3.0644125938415527,-1.9394125938415527,
train,0,10,1,The bright turtle beneath the barrels around the statues,The bright turtles beneath the barrel around the statue,-2.1519813537597656,-6.151981353759766,-4.535581588745117,-3.2855818271636963,-4.565445899963379,-3.940446138381958,
train,0,10,1,The bright dog around the tables outside the houses,The bright dogs around the table outside the house,-12.682732582092285,-15.057732582092285,-15.461560249328613,-11.774060249328613,-15.044742584228516,-11.482242584228516,
train,0,10,1,The calm cock around the walls outside the tables,The calm cocks around the wall outside the table,-2.6703543663024902,-3.2953543663024902,-3.7263736724853516,-2.6013736724853516,-3.752922296524048,-2.877922296524048,
train,0,10,1,The sleepy dolphin beneath the boilers around the tanks,The sleepy dolphins beneath the boiler around the tank,-2.295969009399414,-6.795969009399414,-4.396514892578125,-3.146514892578125,-3.887718677520752,-3.887718677520752,
train,0,10,1,The slender dolphin outside the drums behind the bolts,The slender dolphins outside the drum behind the bolt,-1.3822410106658936,-5.507241249084473,-4.191814422607422,-2.191814422607422,-5.427058219909668,-4.552058219909668,
train,0,10,1,The quiet dolphin past the screws beneath the boilers,The quiet dolphins past the screw beneath the boiler,-1.2161788940429688,-7.841178894042969,-3.3969340324401855,-3.0219340324401855,-3.7084479331970215,-3.8334479331970215,
train,0,10,1,The timid pup past the screws beneath the boilers,The timid pups past the screw beneath the boiler,-12.257075309753418,-15.632075309753418,-12.779867172241211,-10.717367172241211,-12.765247344970703,-12.015247344970703,
train,0,10,1,The slender shark outside the pots behind the pans,The slender sharks outside the pot behind the pan,-0.6943415403366089,-6.944341659545898,-1.7061864137649536,-0.7061864137649536,-1.9007174968719482,-0.9007174372673035,
train,0,10,1,The sleepy whale behind the pans past the cars,The sleepy whales behind the pan past the car,-14.049209594726562,-15.361709594726562,-17.492881774902344,-15.774130821228027,-16.337261199951172,-14.399761199951172,
train,0,10,1,The slender panda outside the drums behind the bolts,The slender pandas outside the drum behind the bolt,-1.506859302520752,-5.131859302520752,-3.6875009536743164,-1.5625008344650269,-4.583402156829834,-3.208402156829834,
train,0,10,1,The timid rat outside the pipes behind the valves,The timid rats outside the pipe behind the valve,-1.5194612741470337,-7.519461154937744,-5.331991195678711,-1.20699143409729,-4.274801254272461,-2.024801254272461,
train,0,10,1,The fuzzy kit beneath the trenches around the dams,The fuzzy kits beneath the trench around the dam,-15.005578994750977,-17.818078994750977,-16.25558853149414,-14.755587577819824,-15.938005447387695,-15.125505447387695,
train,0,10,1,The sleepy bat around the towers outside the cabins,The sleepy bats around the tower outside the cabin,-0.9377944469451904,-6.1877946853637695,-4.441833019256592,-1.0668330192565918,-4.184767723083496,-1.809767723083496,
train,0,10,1,The sleepy lion outside the windows behind the crates,The sleepy lions outside the window behind the crate,-1.5951675176620483,-6.095167636871338,-4.310680866241455,-1.935680627822876,-3.984457015991211,-1.234457015991211,
train,0,10,1,The sleepy kitten outside the pots behind the pans,The sleepy kittens outside the pot behind the pan,-1.234490156173706,-8.234490394592285,-2.7083165645599365,-1.0833165645599365,-2.7939507961273193,-1.1689507961273193,
train,0,10,1,The calm panda past the rocks beneath the chairs,The calm pandas past the rock beneath the chair,-1.9767019748687744,-6.976701736450195,-3.939497947692871,-2.064497947692871,-3.762131929397583,-2.137131929397583,
train,0,10,1,The timid cow beneath the columns around the towers,The timid cows beneath the column around the tower,-2.6876072883605957,-7.687607288360596,-4.867858409881592,-1.7428585290908813,-4.503509998321533,-2.503509998321533,
train,0,10,1,The sleepy panda around the towers outside the cabins,The sleepy pandas around the tower outside the cabin,-1.0130151510238647,-5.388015270233154,-4.662689208984375,-0.7876890301704407,-4.392146110534668,-1.5171458721160889,
train,0,10,1,The fuzzy turtle outside the cabins behind the signs,The fuzzy turtles outside the cabin behind the sign,-12.837993621826172,-14.587993621826172,-16.097942352294922,-14.660442352294922,-15.182435989379883,-14.057435989379883,
train,0,10,1,The fuzzy chick outside the drums behind the bolts,The fuzzy chicks outside the drum behind the bolt,-2.361840009689331,-5.61184024810791,-3.8964364528656006,-2.1464364528656006,-4.265268325805664,-3.515268325805664,
train,0,10,1,The timid dog beneath the columns around the towers,The timid dogs beneath the column around the tower,-14.770459175109863,-17.77046012878418,-16.939191818237305,-14.501692771911621,-16.793842315673828,-14.668843269348145,
train,0,10,1,The small cow outside the houses behind the rocks,The small cows outside the house behind the rock,-0.7835948467254639,-6.158595085144043,-3.7347958087921143,-0.8597957491874695,-3.4086437225341797,-0.9086436033248901,
train,0,10,1,The calm dolphin beneath the trenches around the dams,The calm dolphins beneath the trench around the dam,-2.3325729370117188,-6.207572937011719,-3.608201026916504,-1.608201026916504,-3.2490715980529785,-2.6240715980529785,
