split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The sleepy bat,The sleepy bats,-8.89893913269043,-17.02393913269043,-13.809290885925293,-7.059290885925293,-13.809290885925293,-7.059290885925293,
train,1,4,1,The sleepy bats,The sleepy bat,-7.059290885925293,-13.809290885925293,-17.02393913269043,-8.89893913269043,-17.02393913269043,-8.89893913269043,
train,0,4,1,The fuzzy frog,The fuzzy frogs,-19.58049774169922,-22.39299774169922,-20.42163848876953,-16.32788848876953,-20.42163848876953,-16.32788848876953,
train,1,4,1,The fuzzy frogs,The fuzzy frog,-16.32788848876953,-20.42163848876953,-22.39299774169922,-19.58049774169922,-22.39299774169922,-19.58049774169922,
train,0,4,1,The bright shark,The bright sharks,-16.382858276367188,-19.007858276367188,-18.3680362701416,-15.805535316467285,-18.3680362701416,-15.805535316467285,
train,1,4,1,The bright sharks,The bright shark,-15.805535316467285,-18.3680362701416,-19.007858276367188,-16.382858276367188,-19.007858276367188,-16.382858276367188,
train,0,4,1,The small bat,The small bats,-14.32174301147461,-20.88424301147461,-19.095006942749023,-13.40750789642334,-19.095006942749023,-13.40750789642334,
train,1,4,1,The small bats,The small bat,-13.40750789642334,-19.095006942749023,-20.88424301147461,-14.32174301147461,-20.88424301147461,-14.32174301147461,
train,0,4,1,The bright chick,The bright chicks,-21.629047393798828,-23.504047393798828,-20.57005500793457,-18.66380500793457,-20.57005500793457,-18.66380500793457,
train,1,4,1,The bright chicks,The bright chick,-18.66380500793457,-20.57005500793457,-23.504047393798828,-21.629047393798828,-23.504047393798828,-21.629047393798828,
train,0,4,1,The nervous panda,The nervous pandas,-19.951129913330078,-20.951129913330078,-21.0183048248291,-18.8933048248291,-21.0183048248291,-18.8933048248291,
train,1,4,1,The nervous pandas,The nervous panda,-18.8933048248291,-21.0183048248291,-20.951129913330078,-19.951129913330078,-20.951129913330078,-19.951129913330078,
train,0,4,1,The slender turtle,The slender turtles,-20.57005500793457,-24.38255500793457,-22.599411010742188,-19.599411010742188,-22.599411010742188,-19.599411010742188,
train,1,4,1,The slender turtles,The slender turtle,-19.599411010742188,-22.599411010742188,-24.38255500793457,-20.57005500793457,-24.38255500793457,-20.57005500793457,
train,0,4,1,The quiet turtle,The quiet turtles,-10.305274963378906,-18.117774963378906,-13.479811668395996,-8.104811668395996,-13.479811668395996,-8.104811668395996,
train,1,4,1,The quiet turtles,The quiet turtle,-8.104811668395996,-13.479811668395996,-18.117774963378906,-10.305274963378906,-18.117774963378906,-10.305274963378906,
train,0,4,1,The sleepy doe,The sleepy does,-19.537086486816406,-20.912086486816406,-22.847444534301758,-20.784944534301758,-22.847444534301758,-20.784944534301758,
train,1,4,1,The sleepy does,The sleepy doe,-20.784944534301758,-22.847444534301758,-20.912086486816406,-19.537086486816406,-20.912086486816406,-19.537086486816406,
train,0,4,1,The timid horse,The timid horses,-9.321137428283691,-16.758638381958008,-14.88890266418457,-8.51390266418457,-14.88890266418457,-8.51390266418457,
train,1,4,1,The timid horses,The timid horse,-8.51390266418457,-14.88890266418457,-16.758638381958008,-9.321137428283691,-16.758638381958008,-9.321137428283691,
train,0,4,1,The nervous rat,The nervous rats,-10.589752197265625,-17.902252197265625,-16.50990867614746,-11.259908676147461,-16.50990867614746,-11.259908676147461,
