split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The sleepy bat,The sleepy bats,-2.920119285583496,-11.045119285583496,-9.746716499328613,-2.9967164993286133,-8.787681579589844,-3.5376815795898438,
train,0,4,1,The fuzzy frog,The fuzzy frogs,-15.360950469970703,-18.173450469970703,-17.914905548095703,-13.821154594421387,-16.798118591308594,-12.32936954498291,
train,0,4,1,The bright shark,The bright sharks,-10.786469459533691,-13.411469459533691,-13.950214385986328,-11.387714385986328,-14.058130264282227,-11.370630264282227,
train,0,4,1,The small bat,The small bats,-9.161431312561035,-15.723931312561035,-14.973859786987305,-9.286359786987305,-14.31455135345459,-9.25205135345459,
train,0,4,1,The bright chick,The bright chicks,-17.5368709564209,-19.4118709564209,-18.50739860534668,-16.60114860534668,-18.610292434692383,-16.516542434692383,
train,0,4,1,The nervous panda,The nervous pandas,-12.764021873474121,-13.764021873474121,-15.280329704284668,-13.155329704284668,-15.779406547546387,-13.466906547546387,
train,0,4,1,The slender turtle,The slender turtles,-14.609193801879883,-18.421693801879883,-19.853286743164062,-16.853286743164062,-19.12104606628418,-15.62104606628418,
train,0,4,1,The quiet turtle,The quiet turtles,-4.8358283042907715,-12.648327827453613,-10.194663047790527,-4.819663047790527,-9.220462799072266,-3.0954630374908447,
train,0,4,1,The sleepy doe,The sleepy does,-14.467034339904785,-15.842034339904785,-18.786401748657227,-16.723901748657227,-17.761425018310547,-15.573925018310547,
train,0,4,1,The timid horse,The timid horses,-3.1027488708496094,-10.54024887084961,-9.718098640441895,-3.3430986404418945,-9.250926971435547,-3.0634264945983887,
train,0,4,1,The nervous rat,The nervous rats,-4.106656551361084,-11.419157028198242,-10.126189231872559,-4.876189231872559,-10.008894920349121,-4.133894920349121,
train,0,4,1,The fuzzy shark,The fuzzy sharks,-4.723655700683594,-11.411155700683594,-9.074585914611816,-4.699585437774658,-8.20477294921875,-3.704772472381592,
train,0,4,1,The timid horse,The timid horses,-10.79024887084961,-14.29024887084961,-15.405598640441895,-11.530598640441895,-16.625926971435547,-12.625926971435547,
train,0,4,1,The timid dog,The timid dogs,-11.887450218200684,-13.512450218200684,-15.53930377960205,-11.85180377960205,-16.653602600097656,-12.403602600097656,
train,0,4,1,The timid rabbit,The timid rabbits,-2.4519143104553223,-10.576913833618164,-8.27561092376709,-1.963111162185669,-8.167107582092285,-2.0421078205108643,
train,0,4,1,The bright panda,The bright pandas,-11.16402816772461,-13.10152816772461,-13.904542922973633,-10.154542922973633,-12.917437553405762,-9.354937553405762,
train,0,4,1,The fuzzy turtle,The fuzzy turtles,-13.495009422302246,-15.745009422302246,-17.06844711303711,-13.130946159362793,-15.750760078430176,-11.188260078430176,
train,0,4,1,The sleepy monitor,The sleepy monitors,-5.39091157913208,-13.015912055969238,-11.083879470825195,-5.458878993988037,-11.07120418548584,-6.321203708648682,
train,0,4,1,The calm dolphin,The calm dolphins,-11.44977855682373,-15.07477855682373,-16.695226669311523,-11.75772762298584,-15.285930633544922,-10.785930633544922,
train,0,4,1,The small pup,The small pups,-11.556151390075684,-14.931151390075684,-15.685287475585938,-12.310287475585938,-16.075000762939453,-12.57500171661377,
train,0,4,1,The quiet whale,The quiet whales,-10.768903732299805,-13.456403732299805,-15.655805587768555,-12.218305587768555,-16.06780433654785,-12.567804336547852,
train,0,4,1,The slender doe,The slender does,-17.089696884155273,-20.339696884155273,-20.925819396972656,-17.238319396972656,-20.762563705444336,-16.512563705444336,
train,0,4,1,The fuzzy kitten,The fuzzy kittens,-13.199664115905762,-13.699664115905762,-16.66547966003418,-13.04047966003418,-15.5165376663208,-12.2040376663208,
train,0,4,1,The bright dog,The bright dogs,-12.880826950073242,-13.568326950073242,-15.40079116821289,-11.65079116821289,-15.184006690979004,-11.121506690979004,
train,0,4,1,The slender rabbit,The slender rabbits,-11.384570121765137,-16.634571075439453,-16.97262954711914,-14.09762954711914,-17.0020751953125,-13.6895751953125,
train,0,4,1,The fuzzy whale,The fuzzy whales,-4.613471508026123,-11.050971031188965,-8.3064546585083,-4.681454658508301,-7.73153829574585,-4.10653829574585,
train,0,4,1,The quiet pup,The quiet pups,-4.956470489501953,-11.768970489501953,-9.274547576904297,-5.399547576904297,-9.161962509155273,-5.411962509155273,
train,0,4,1,The timid horse,The timid horses,-12.35274887084961,-12.97774887084961,-15.905598640441895,-12.655598640441895,-16.500926971435547,-13.438426971435547,
train,0,4,1,The timid bat,The timid bats,-10.716166496276855,-16.96616554260254,-17.025075912475586,-14.087575912475586,-17.283098220825195,-15.345597267150879,
train,0,4,1,The quiet dolphin,The quiet dolphins,-16.01274299621582,-17.70024299621582,-18.813026428222656,-16.375526428222656,-18.295948028564453,-15.670947074890137,
train,0,4,1,The slender rabbit,The slender rabbits,-11.759570121765137,-16.072071075439453,-16.97262954711914,-13.03512954711914,-15.9395751953125,-11.5020751953125,
train,0,4,1,The sleepy dolphin,The sleepy dolphins,-4.56563663482666,-11.50313663482666,-9.995431900024414,-5.120432376861572,-9.447796821594238,-4.322796821594238,
train,0,4,1,The calm horse,The calm horses,-4.887130260467529,-11.824630737304688,-10.060580253601074,-4.873079776763916,-9.251372337341309,-3.6263718605041504,
train,0,4,1,The fuzzy cow,The fuzzy cows,-6.9029622077941895,-12.590461730957031,-8.621102333068848,-4.1211018562316895,-8.090149879455566,-4.090149402618408,
train,0,4,1,The calm chick,The calm chicks,-14.726082801818848,-17.25733184814453,-18.41147804260254,-16.38022804260254,-17.89270782470703,-15.798957824707031,
train,0,4,1,The small turtle,The small turtles,-14.204236030578613,-17.079235076904297,-20.577613830566406,-15.202613830566406,-20.276453018188477,-15.651453018188477,
train,0,4,1,The nervous kit,The nervous kits,-12.557596206665039,-14.182596206665039,-14.876172065734863,-14.188672065734863,-14.371217727661133,-14.058717727661133,
train,0,4,1,The small rat,The small rats,-4.9773664474487305,-12.41486644744873,-11.569317817687988,-4.319317817687988,-10.9931058883667,-4.368105888366699,
train,0,4,1,The timid turtle,The timid turtles,-2.2657086849212646,-11.015708923339844,-9.41119384765625,-2.84869384765625,-8.998817443847656,-2.6238174438476562,
