split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-9.405718803405762,-11.155718803405762,-12.458505630493164,-12.021005630493164,-13.203076362609863,-13.703076362609863,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-13.458127975463867,-16.958127975463867,-17.466035842895508,-13.341036796569824,-16.12784767150879,-14.502847671508789,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-4.238312721252441,-9.925812721252441,-8.498039245605469,-4.248039722442627,-8.241686820983887,-5.7416863441467285,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.982736110687256,-10.545236587524414,-9.350990295410156,-5.225990295410156,-8.97949504852295,-7.479495525360107,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-9.422394752502441,-10.922394752502441,-9.658733367919922,-7.90873384475708,-10.294431686401367,-9.919431686401367,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-7.228736400604248,-10.85373592376709,-9.528414726257324,-6.528414249420166,-10.417895317077637,-8.667895317077637,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-13.953104019165039,-15.640604019165039,-21.189971923828125,-17.189971923828125,-20.75322914123535,-17.44072914123535,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-7.9959397315979,-10.745940208435059,-8.207791328430176,-2.4577910900115967,-9.422507286071777,-6.547507286071777,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.6453857421875,-8.1453857421875,-6.585392951965332,-4.585392951965332,-6.494503498077393,-8.119503021240234,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-6.6259918212890625,-11.063491821289062,-11.406353950500488,-8.531353950500488,-11.134234428405762,-10.509234428405762,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.944683074951172,-8.069683074951172,-9.502429008483887,-3.9399285316467285,-8.567432403564453,-5.567432880401611,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.587888717651367,-8.837888717651367,-8.900646209716797,-4.650646209716797,-9.42691421508789,-6.551913738250732,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-5.520516395568848,-11.770516395568848,-11.651152610778809,-7.901152610778809,-11.681062698364258,-12.493562698364258,
train,0,7,1,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-6.0287675857543945,-10.591267585754395,-10.631669998168945,-10.381669998168945,-10.649382591247559,-10.399382591247559,
train,0,7,1,The small panda past the vines,The small pandas past the vine,-15.911028861999512,-18.161029815673828,-17.974660873413086,-17.037160873413086,-16.991308212280273,-15.991308212280273,
train,0,7,1,The timid kitten outside the towers,The timid kittens outside the tower,-6.6727728843688965,-11.860273361206055,-11.111737251281738,-5.799237251281738,-11.313444137573242,-7.563444137573242,
train,0,7,1,The sleepy frog behind the valves,The sleepy frogs behind the valve,-6.654003620147705,-11.091503143310547,-10.485030174255371,-6.172529697418213,-11.267243385314941,-9.017243385314941,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-7.418168067932129,-8.668168067932129,-9.768203735351562,-4.7057037353515625,-10.807916641235352,-8.182916641235352,
train,0,7,1,The timid pup around the benches,The timid pups around the bench,-14.452102661132812,-17.202102661132812,-17.2550106048584,-13.567510604858398,-16.307565689086914,-13.49506664276123,
train,0,7,1,The quiet monitor outside the towers,The quiet monitors outside the tower,-6.35767936706543,-11.35767936706543,-10.439773559570312,-5.564773082733154,-11.049323081970215,-7.424322605133057,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-9.43368911743164,-11.93368911743164,-12.128718376159668,-9.003718376159668,-12.754874229431152,-11.879874229431152,
train,0,7,1,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-6.1678385734558105,-10.855338096618652,-9.709898948669434,-6.584899425506592,-10.295781135559082,-8.920781135559082,
train,0,7,1,The small frog behind the crates,The small frogs behind the crate,-4.9413743019104,-10.816374778747559,-9.422161102294922,-4.422161102294922,-10.52298641204834,-7.39798641204834,
train,0,7,1,The calm whale outside the benches,The calm whales outside the bench,-5.129223823547363,-8.879223823547363,-8.724724769592285,-5.974725246429443,-9.780945777893066,-8.655945777893066,
train,0,7,1,The slender monitor around the carts,The slender monitors around the cart,-4.380706310272217,-7.505706310272217,-10.524431228637695,-3.8369314670562744,-9.7769136428833,-6.026914119720459,
train,0,7,1,The nervous rat outside the clocks,The nervous rats outside the clock,-8.891975402832031,-10.641975402832031,-10.738879203796387,-7.363879203796387,-11.78158187866211,-9.65658187866211,
train,0,7,1,The quiet shark past the plants,The quiet sharks past the plant,-17.89537239074707,-19.20787239074707,-18.78167724609375,-17.78167724609375,-19.848899841308594,-18.348899841308594,
train,0,7,1,The bright kitten past the signs,The bright kittens past the sign,-9.561359405517578,-11.248859405517578,-9.576133728027344,-8.201133728027344,-10.144128799438477,-9.894128799438477,
train,0,7,1,The quiet dog around the dams,The quiet dogs around the dam,-6.112202167510986,-8.237201690673828,-9.300366401672363,-5.050366401672363,-9.768106460571289,-7.893106460571289,
train,0,7,1,The small frog outside the windows,The small frogs outside the window,-11.175280570983887,-13.237780570983887,-16.33645248413086,-12.77395248413086,-15.947609901428223,-12.510109901428223,
train,0,7,1,The small whale outside the stools,The small whales outside the stool,-16.9860897064209,-19.2985897064209,-21.323827743530273,-18.761327743530273,-21.260520935058594,-19.573020935058594,
train,0,7,1,The nervous frog beneath the chains,The nervous frogs beneath the chain,-14.852925300598145,-16.35292625427246,-14.421728134155273,-14.046728134155273,-13.983985900878906,-14.296485900878906,
train,0,7,1,The calm monitor beneath the barrels,The calm monitors beneath the barrel,-5.636155128479004,-11.073655128479004,-11.50862979888916,-9.25862979888916,-11.894041061401367,-11.269041061401367,
train,0,7,1,The fuzzy chick outside the drums,The fuzzy chicks outside the drum,-7.394526481628418,-10.144526481628418,-6.036288261413574,-4.286288261413574,-8.374274253845215,-7.624274253845215,
train,0,7,1,The small kit around the walls,The small kits around the wall,-5.849063396453857,-8.5990629196167,-10.142790794372559,-7.5177903175354,-10.78982162475586,-9.41482162475586,
train,0,7,1,The calm kitten beneath the boxes,The calm kittens beneath the box,-7.523787021636963,-12.586287498474121,-13.269980430603027,-10.519980430603027,-13.758696556091309,-13.383696556091309,
train,0,7,1,The timid rat outside the tables,The timid rats outside the table,-15.895772933959961,-18.02077293395996,-18.767559051513672,-13.955060005187988,-18.849777221679688,-15.599778175354004,
train,0,7,1,The fuzzy panda outside the cabins,The fuzzy pandas outside the cabin,-12.720738410949707,-14.970738410949707,-16.774084091186523,-13.461584091186523,-17.159605026245117,-16.034605026245117,
train,0,7,1,The calm lion around the tanks,The calm lions around the tank,-6.843861103057861,-10.718860626220703,-8.856762886047363,-4.231762886047363,-9.103703498840332,-6.228703022003174,
train,0,7,1,The timid chick beneath the chains,The timid chicks beneath the chain,-6.061835289001465,-9.374335289001465,-11.576948165893555,-9.264448165893555,-11.109236717224121,-8.546736717224121,
train,0,7,1,The timid rabbit outside the tables,The timid rabbits outside the table,-17.149885177612305,-19.962385177612305,-20.325489044189453,-19.887989044189453,-20.58723258972168,-20.86848258972168,
train,0,7,1,The calm doe beneath the boxes,The calm does beneath the box,-15.10378646850586,-17.66628646850586,-19.319164276123047,-18.506664276123047,-18.51317596435547,-18.45067596435547,
train,0,7,1,The nervous cow behind the rocks,The nervous cows behind the rock,-14.823589324951172,-17.448589324951172,-20.82460594177246,-17.63710594177246,-20.69243049621582,-18.37993049621582,
train,0,7,1,The sleepy cock behind the cabins,The sleepy cocks behind the cabin,-7.987808704376221,-10.487808227539062,-11.895134925842285,-9.645134925842285,-12.761584281921387,-12.386584281921387,
train,0,7,1,The sleepy chick around the stools,The sleepy chicks around the stool,-15.457392692565918,-17.1448917388916,-19.196060180664062,-17.008560180664062,-19.019472122192383,-18.394472122192383,
train,0,7,1,The quiet rat beneath the columns,The quiet rats beneath the column,-6.2533416748046875,-11.628341674804688,-9.518412590026855,-5.3934125900268555,-9.872254371643066,-7.622254371643066,
train,0,7,1,The slender turtle past the vines,The slender turtles past the vine,-8.875126838684082,-12.125126838684082,-11.019706726074219,-9.457206726074219,-10.86569881439209,-9.24069881439209,
train,0,7,1,The timid cow around the benches,The timid cows around the bench,-5.522846221923828,-8.022846221923828,-9.952535629272461,-4.015035152435303,-9.625737190246582,-5.375736713409424,
train,0,7,1,The nervous rabbit around the dams,The nervous rabbits around the dam,-6.463686943054199,-7.088686943054199,-9.912137031555176,-6.037137031555176,-9.888208389282227,-6.888208389282227,
train,0,7,1,The timid rat around the benches,The timid rats around the bench,-14.032102584838867,-14.907102584838867,-15.906864166259766,-11.781864166259766,-16.319536209106445,-13.444536209106445,
train,0,7,1,The small dolphin past the logs,The small dolphins past the log,-6.491730690002441,-9.741730690002441,-9.208964347839355,-7.9589643478393555,-10.074528694152832,-10.699528694152832,
train,0,7,1,The calm lion outside the cabins,The calm lions outside the cabin,-6.636699199676514,-11.011698722839355,-10.289444923400879,-6.039444446563721,-10.66396713256836,-8.03896713256836,
train,0,7,1,The fuzzy horse beneath the boilers,The fuzzy horses beneath the boiler,-4.34805154800415,-9.535551071166992,-7.467106342315674,-3.5921061038970947,-6.871260643005371,-5.996260643005371,
train,0,7,1,The bright pup outside the cabins,The bright pups outside the cabin,-6.04229736328125,-8.29229736328125,-11.147867202758789,-6.647867202758789,-12.02057933807373,-9.64557933807373,
train,0,7,1,The timid dog outside the clocks,The timid dogs outside the clock,-7.506002902984619,-9.631003379821777,-9.871101379394531,-7.496101379394531,-10.798322677612305,-9.173322677612305,
train,0,7,1,The timid lion beneath the walls,The timid lions beneath the wall,-6.2518768310546875,-11.814376831054688,-11.314886093139648,-7.064886569976807,-10.742447853088379,-8.992447853088379,
train,0,7,1,The fuzzy cow behind the houses,The fuzzy cows behind the house,-7.458375930786133,-10.833375930786133,-10.792091369628906,-6.917091369628906,-11.528129577636719,-10.028129577636719,
train,0,7,1,The calm chick outside the drums,The calm chicks outside the drum,-16.838165283203125,-17.869415283203125,-16.52387046813965,-15.148870468139648,-18.09796142578125,-16.91046142578125,
train,0,7,1,The slender panda beneath the boxes,The slender pandas beneath the box,-5.603564739227295,-10.228565216064453,-11.132328033447266,-8.257328033447266,-9.7723970413208,-9.0223970413208,
train,0,7,1,The nervous shark around the thresholds,The nervous sharks around the threshold,-17.2141056060791,-18.7141056060791,-21.254798889160156,-18.692298889160156,-19.26561164855957,-17.26561164855957,
train,0,7,1,The slender dog beneath the boilers,The slender dogs beneath the boiler,-2.951436996459961,-6.951436996459961,-6.862368106842041,-3.362368106842041,-7.585934162139893,-5.835934162139893,
train,0,7,1,The timid dolphin outside the pipes,The timid dolphins outside the pipe,-5.747540473937988,-8.497540473937988,-8.026406288146973,-5.2764058113098145,-7.869294166564941,-6.869294166564941,
train,0,7,1,The small pup past the cables,The small pups past the cable,-7.730866432189941,-10.730866432189941,-10.104531288146973,-8.604531288146973,-11.536623001098633,-11.411623001098633,
train,0,7,1,The slender dog outside the windows,The slender dogs outside the window,-4.549948692321777,-8.174948692321777,-10.645355224609375,-5.707855224609375,-10.389074325561523,-6.889074802398682,
train,0,7,1,The calm frog around the stools,The calm frogs around the stool,-8.724639892578125,-11.474639892578125,-11.630508422851562,-9.505508422851562,-12.271682739257812,-12.521682739257812,
train,0,7,1,The small cow behind the pans,The small cows behind the pan,-3.6168465614318848,-4.616846561431885,-3.406749725341797,-2.656749725341797,-6.202634811401367,-7.327634811401367,
train,0,7,1,The fuzzy dog around the tanks,The fuzzy dogs around the tank,-17.73744010925293,-18.36244010925293,-19.451465606689453,-17.201465606689453,-20.025218963623047,-20.212718963623047,
train,0,7,1,The small lion behind the bolts,The small lions behind the bolt,-6.701521873474121,-11.326521873474121,-12.50202465057373,-8.87702465057373,-12.752771377563477,-10.377771377563477,
train,0,7,1,The small dog outside the cabins,The small dogs outside the cabin,-5.194985866546631,-9.194985389709473,-9.491671562194824,-3.9916720390319824,-11.178898811340332,-8.303898811340332,
train,0,7,1,The bright bat behind the valves,The bright bats behind the valve,-14.671308517456055,-16.358808517456055,-16.2597599029541,-13.697260856628418,-17.559823989868164,-16.184823989868164,
train,0,7,1,The calm dolphin beneath the boxes,The calm dolphins beneath the box,-15.724950790405273,-16.474950790405273,-16.82493782043457,-16.01243782043457,-19.815664291381836,-18.628164291381836,
