split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,4,1,The sleepy bat,The sleepy bats,-2.348121166229248,-10.473121643066406,-8.50324535369873,-1.7532449960708618,-8.50324535369873,-1.7532449960708618,
train,1,4,1,The sleepy bats,The sleepy bat,-1.7532449960708618,-8.50324535369873,-10.473121643066406,-2.348121166229248,-10.473121643066406,-2.348121166229248,
train,0,4,1,The fuzzy frog,The fuzzy frogs,-13.49610710144043,-16.30860710144043,-16.58824348449707,-12.49449348449707,-16.58824348449707,-12.49449348449707,
train,1,4,1,The fuzzy frogs,The fuzzy frog,-12.49449348449707,-16.58824348449707,-16.30860710144043,-13.49610710144043,-16.30860710144043,-13.49610710144043,
train,0,4,1,The bright shark,The bright sharks,-9.841187477111816,-12.466187477111816,-12.688529014587402,-10.126029014587402,-12.688529014587402,-10.126029014587402,
train,1,4,1,The bright sharks,The bright shark,-10.126029014587402,-12.688529014587402,-12.466187477111816,-9.841187477111816,-12.466187477111816,-9.841187477111816,
train,0,4,1,The small bat,The small bats,-8.40357494354248,-14.96607494354248,-13.4717435836792,-7.784243106842041,-13.4717435836792,-7.784243106842041,
train,1,4,1,The small bats,The small bat,-7.784243106842041,-13.4717435836792,-14.96607494354248,-8.40357494354248,-14.96607494354248,-8.40357494354248,
train,0,4,1,The bright chick,The bright chicks,-15.508498191833496,-17.383499145507812,-16.966901779174805,-15.060651779174805,-16.966901779174805,-15.060651779174805,
train,1,4,1,The bright chicks,The bright chick,-15.060651779174805,-16.966901779174805,-17.383499145507812,-15.508498191833496,-17.383499145507812,-15.508498191833496,
train,0,4,1,The nervous panda,The nervous pandas,-12.415992736816406,-13.415992736816406,-14.401934623718262,-12.276934623718262,-14.401934623718262,-12.276934623718262,
train,1,4,1,The nervous pandas,The nervous panda,-12.276934623718262,-14.401934623718262,-13.415992736816406,-12.415992736816406,-13.415992736816406,-12.415992736816406,
train,0,4,1,The slender turtle,The slender turtles,-15.327627182006836,-19.140127182006836,-18.8391056060791,-15.839106559753418,-18.8391056060791,-15.839106559753418,
train,1,4,1,The slender turtles,The slender turtle,-15.839106559753418,-18.8391056060791,-19.140127182006836,-15.327627182006836,-19.140127182006836,-15.327627182006836,
train,0,4,1,The quiet turtle,The quiet turtles,-6.044218063354492,-13.856718063354492,-9.354891777038574,-3.979891777038574,-9.354891777038574,-3.979891777038574,
train,1,4,1,The quiet turtles,The quiet turtle,-3.979891777038574,-9.354891777038574,-13.856718063354492,-6.044218063354492,-13.856718063354492,-6.044218063354492,
train,0,4,1,The sleepy doe,The sleepy does,-14.494882583618164,-15.869882583618164,-17.29582405090332,-15.233325004577637,-17.29582405090332,-15.233325004577637,
train,1,4,1,The sleepy does,The sleepy doe,-15.233325004577637,-17.29582405090332,-15.869882583618164,-14.494882583618164,-15.869882583618164,-14.494882583618164,
train,0,4,1,The timid horse,The timid horses,-3.7956581115722656,-11.233158111572266,-8.866236686706543,-2.491236448287964,-8.866236686706543,-2.491236448287964,
train,1,4,1,The timid horses,The timid horse,-2.491236448287964,-8.866236686706543,-11.233158111572266,-3.7956581115722656,-11.233158111572266,-3.7956581115722656,
train,0,4,1,The nervous rat,The nervous rats,-4.388785362243652,-11.701285362243652,-8.884309768676758,-3.6343092918395996,-8.884309768676758,-3.6343092918395996,
train,1,4,1,The nervous rats,The nervous rat,-3.6343092918395996,-8.884309768676758,-11.701285362243652,-4.388785362243652,-11.701285362243652,-4.388785362243652,
train,0,4,1,The fuzzy shark,The fuzzy sharks,-4.122939586639404,-10.810439109802246,-8.155444145202637,-3.7804439067840576,-8.155444145202637,-3.7804439067840576,
train,1,4,1,The fuzzy sharks,The fuzzy shark,-3.7804439067840576,-8.155444145202637,-10.810439109802246,-4.122939586639404,-10.810439109802246,-4.122939586639404,
train,0,4,1,The timid horse,The timid horses,-11.483158111572266,-14.983158111572266,-14.553736686706543,-10.678736686706543,-14.553736686706543,-10.678736686706543,
train,1,4,1,The timid horses,The timid horse,-10.678736686706543,-14.553736686706543,-14.983158111572266,-11.483158111572266,-14.983158111572266,-11.483158111572266,
train,0,4,1,The timid dog,The timid dogs,-12.236605644226074,-13.861605644226074,-14.171496391296387,-10.483996391296387,-14.171496391296387,-10.483996391296387,
train,1,4,1,The timid dogs,The timid dog,-10.483996391296387,-14.171496391296387,-13.861605644226074,-12.236605644226074,-13.861605644226074,-12.236605644226074,
train,0,4,1,The timid rabbit,The timid rabbits,-3.328704833984375,-11.453704833984375,-8.017498016357422,-1.7049978971481323,-8.017498016357422,-1.7049978971481323,
train,1,4,1,The timid rabbits,The timid rabbit,-1.7049978971481323,-8.017498016357422,-11.453704833984375,-3.328704833984375,-11.453704833984375,-3.328704833984375,
train,0,4,1,The bright panda,The bright pandas,-9.007209777832031,-10.944709777832031,-11.909690856933594,-8.159690856933594,-11.909690856933594,-8.159690856933594,
train,1,4,1,The bright pandas,The bright panda,-8.159690856933594,-11.909690856933594,-10.944709777832031,-9.007209777832031,-10.944709777832031,-9.007209777832031,
train,0,4,1,The fuzzy turtle,The fuzzy turtles,-13.260757446289062,-15.510757446289062,-16.129240036010742,-12.191740989685059,-16.129240036010742,-12.191740989685059,
train,1,4,1,The fuzzy turtles,The fuzzy turtle,-12.191740989685059,-16.129240036010742,-15.510757446289062,-13.260757446289062,-15.510757446289062,-13.260757446289062,
train,0,4,1,The sleepy monitor,The sleepy monitors,-4.745820999145508,-12.370820999145508,-9.350075721740723,-3.7250754833221436,-9.350075721740723,-3.7250754833221436,
train,1,4,1,The sleepy monitors,The sleepy monitor,-3.7250754833221436,-9.350075721740723,-12.370820999145508,-4.745820999145508,-12.370820999145508,-4.745820999145508,
train,0,4,1,The calm dolphin,The calm dolphins,-9.33908462524414,-12.96408462524414,-14.174860954284668,-9.237360954284668,-14.174860954284668,-9.237360954284668,
