split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-8.880400657653809,-10.630400657653809,-8.372849464416504,-7.935349464416504,-8.368552207946777,-8.868552207946777,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.250345230102539,-14.750345230102539,-13.627391815185547,-9.502391815185547,-12.53463077545166,-10.90963077545166,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.891660213470459,-9.579160690307617,-6.69533634185791,-2.44533634185791,-6.244002819061279,-3.7440025806427,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.922332763671875,-10.484832763671875,-7.486523628234863,-3.3615236282348633,-7.070211410522461,-5.570211410522461,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.313465118408203,-7.813465118408203,-8.567789077758789,-6.817788600921631,-7.135432720184326,-6.760432720184326,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-4.81980037689209,-8.44480037689209,-5.814366340637207,-2.814366340637207,-7.065462112426758,-5.315462112426758,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-12.915937423706055,-14.603437423706055,-14.801451683044434,-10.801451683044434,-14.68814754486084,-11.37564754486084,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-5.795938014984131,-8.545937538146973,-6.9732818603515625,-1.2232818603515625,-7.57774019241333,-4.70274019241333,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.110874652862549,-7.610874652862549,-5.322140693664551,-3.322140693664551,-4.913516521453857,-6.538516521453857,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-5.65399694442749,-10.091496467590332,-7.824764251708984,-4.949764251708984,-6.212726593017578,-5.587726593017578,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.580477714538574,-7.705477714538574,-7.720557689666748,-2.158057689666748,-7.255880355834961,-4.255880355834961,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.430534362792969,-8.680534362792969,-6.847160339355469,-2.5971601009368896,-8.064453125,-5.189453601837158,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.585216045379639,-10.835216522216797,-7.980590343475342,-4.230590343475342,-8.760236740112305,-9.572736740112305,
train,0,7,1,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.581740379333496,-10.144240379333496,-5.02154541015625,-4.77154541015625,-6.331323146820068,-6.081323146820068,
train,0,7,1,The small panda past the vines,The small pandas past the vine,-15.824427604675293,-18.07442855834961,-15.499176025390625,-14.561676025390625,-14.97082233428955,-13.97082233428955,
train,0,7,1,The timid kitten outside the towers,The timid kittens outside the tower,-4.54869270324707,-9.73619270324707,-7.874991416931152,-2.5624914169311523,-8.314098358154297,-4.564098358154297,
train,0,7,1,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.518477439880371,-8.955977439880371,-7.0786848068237305,-2.7661848068237305,-6.6778364181518555,-4.4278364181518555,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-6.531463623046875,-7.781463623046875,-7.951461315155029,-2.8889613151550293,-7.817955493927002,-5.192955493927002,
train,0,7,1,The timid pup around the benches,The timid pups around the bench,-13.825912475585938,-16.575912475585938,-14.234018325805664,-10.546518325805664,-13.826087951660156,-11.013587951660156,
train,0,7,1,The quiet monitor outside the towers,The quiet monitors outside the tower,-4.582996845245361,-9.58299732208252,-7.18246603012085,-2.3074660301208496,-7.448606967926025,-3.8236069679260254,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-6.543857097625732,-9.043856620788574,-6.432130813598633,-3.307130813598633,-7.409235954284668,-6.534235954284668,
train,0,7,1,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-5.649188041687012,-10.336688041687012,-7.034982681274414,-3.909982681274414,-6.94207763671875,-5.56707763671875,
train,0,7,1,The small frog behind the crates,The small frogs behind the crate,-2.97137188911438,-8.8463716506958,-6.262920379638672,-1.2629203796386719,-6.527634143829346,-3.4026341438293457,
train,0,7,1,The calm whale outside the benches,The calm whales outside the bench,-4.271216869354248,-8.021217346191406,-6.244820594787598,-3.4948205947875977,-7.786676406860352,-6.661676406860352,
train,0,7,1,The slender monitor around the carts,The slender monitors around the cart,-2.857684850692749,-5.98268461227417,-8.032804489135742,-1.3453049659729004,-6.12379264831543,-2.3737926483154297,
train,0,7,1,The nervous rat outside the clocks,The nervous rats outside the clock,-7.760313987731934,-9.510313987731934,-8.494820594787598,-5.119820594787598,-8.291418075561523,-6.166418552398682,
train,0,7,1,The quiet shark past the plants,The quiet sharks past the plant,-17.317556381225586,-18.630056381225586,-17.08119010925293,-16.08119010925293,-16.214189529418945,-14.714188575744629,
train,0,7,1,The bright kitten past the signs,The bright kittens past the sign,-9.506640434265137,-11.194140434265137,-9.15820026397705,-7.783200740814209,-9.389095306396484,-9.139095306396484,
train,0,7,1,The quiet dog around the dams,The quiet dogs around the dam,-5.449441432952881,-7.574441432952881,-7.4468207359313965,-3.1968209743499756,-9.14132022857666,-7.266319751739502,
train,0,7,1,The small frog outside the windows,The small frogs outside the window,-10.844867706298828,-12.907367706298828,-14.642587661743164,-11.080087661743164,-14.178646087646484,-10.741146087646484,
train,0,7,1,The small whale outside the stools,The small whales outside the stool,-15.09046745300293,-17.40296745300293,-16.746538162231445,-14.184038162231445,-16.655941009521484,-14.9684419631958,
train,0,7,1,The nervous frog beneath the chains,The nervous frogs beneath the chain,-14.774337768554688,-16.274337768554688,-11.235222816467285,-10.860222816467285,-12.075305938720703,-12.387805938720703,
train,0,7,1,The calm monitor beneath the barrels,The calm monitors beneath the barrel,-4.008009910583496,-9.445509910583496,-5.837365627288818,-3.5873656272888184,-6.099597454071045,-5.474597454071045,
train,0,7,1,The fuzzy chick outside the drums,The fuzzy chicks outside the drum,-7.0085039138793945,-9.758503913879395,-4.817790508270264,-3.0677905082702637,-6.0796990394592285,-5.3296990394592285,
train,0,7,1,The small kit around the walls,The small kits around the wall,-3.4417724609375,-6.1917724609375,-6.075540542602539,-3.450540542602539,-7.5290985107421875,-6.1540985107421875,
train,0,7,1,The calm kitten beneath the boxes,The calm kittens beneath the box,-7.0492424964904785,-12.111742973327637,-9.310975074768066,-6.560975074768066,-8.827166557312012,-8.452166557312012,
train,0,7,1,The timid rat outside the tables,The timid rats outside the table,-11.803168296813965,-13.928168296813965,-14.581218719482422,-9.768718719482422,-15.416191101074219,-12.166191101074219,
train,0,7,1,The fuzzy panda outside the cabins,The fuzzy pandas outside the cabin,-11.382415771484375,-13.632415771484375,-14.187811851501465,-10.875311851501465,-13.53930950164795,-12.41430950164795,
train,0,7,1,The calm lion around the tanks,The calm lions around the tank,-5.0948357582092285,-8.96983528137207,-6.460293769836426,-1.8352937698364258,-6.6845574378967285,-3.8095574378967285,
train,0,7,1,The timid chick beneath the chains,The timid chicks beneath the chain,-5.816247463226318,-9.12874698638916,-6.832294464111328,-4.519794464111328,-9.088290214538574,-6.525790214538574,
train,0,7,1,The timid rabbit outside the tables,The timid rabbits outside the table,-13.248689651489258,-16.061189651489258,-15.816263198852539,-15.378763198852539,-16.761350631713867,-17.042600631713867,
train,0,7,1,The calm doe beneath the boxes,The calm does beneath the box,-14.281218528747559,-16.843719482421875,-14.250836372375488,-13.438336372375488,-15.8499755859375,-15.7874755859375,
train,0,7,1,The nervous cow behind the rocks,The nervous cows behind the rock,-14.130414962768555,-16.755414962768555,-16.210651397705078,-13.023152351379395,-14.960137367248535,-12.647637367248535,
train,0,7,1,The sleepy cock behind the cabins,The sleepy cocks behind the cabin,-6.778729438781738,-9.278729438781738,-7.739048004150391,-5.489048004150391,-7.4730072021484375,-7.0980072021484375,
train,0,7,1,The sleepy chick around the stools,The sleepy chicks around the stool,-14.326736450195312,-16.014236450195312,-14.38344955444336,-12.19594955444336,-15.01121997833252,-14.38621997833252,
train,0,7,1,The quiet rat beneath the columns,The quiet rats beneath the column,-6.180531024932861,-11.55553150177002,-9.109169006347656,-4.984169006347656,-9.271258354187012,-7.021258354187012,
