split,inverse,tok,layer,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,error
train,0,7,1,The nervous chick past the screws,The nervous chicks past the screw,-8.881758689880371,-10.631758689880371,-8.45332145690918,-8.01582145690918,-7.726419448852539,-8.476419448852539,
train,0,7,1,The sleepy rabbit beneath the milestones,The sleepy rabbits beneath the milestone,-11.254803657531738,-14.754803657531738,-13.760228157043457,-9.635228157043457,-13.789922714233398,-11.164922714233398,
train,0,7,1,The sleepy bat beneath the boilers,The sleepy bats beneath the boiler,-3.89841890335083,-9.585918426513672,-7.218263149261475,-2.9682633876800537,-6.642791748046875,-3.642791748046875,
train,0,7,1,The sleepy lion beneath the boilers,The sleepy lions beneath the boiler,-4.925694465637207,-10.488194465637207,-7.915069580078125,-3.790069580078125,-7.366945266723633,-4.054445266723633,
train,0,7,1,The quiet shark outside the clocks,The quiet sharks outside the clock,-6.453967571258545,-7.953967571258545,-8.68635368347168,-6.9363532066345215,-6.7414021492004395,-5.4914021492004395,
train,0,7,1,The calm dog outside the houses,The calm dogs outside the house,-5.084048748016357,-8.709049224853516,-6.404189586639404,-3.4041895866394043,-7.330279350280762,-4.705279350280762,
train,0,7,1,The slender pup behind the bolts,The slender pups behind the bolt,-12.919451713562012,-14.606951713562012,-15.192656517028809,-11.192656517028809,-15.325469017028809,-11.700469017028809,
train,0,7,1,The small frog around the tanks,The small frogs around the tank,-5.890419960021973,-8.640419960021973,-7.098036766052246,-1.3480368852615356,-7.357410907745361,-2.3574109077453613,
train,0,7,1,The fuzzy panda outside the pots,The fuzzy pandas outside the pot,-4.167264938354492,-7.667264938354492,-5.457599639892578,-3.4575998783111572,-4.474360466003418,-5.224360466003418,
train,0,7,1,The small panda behind the bolts,The small pandas behind the bolt,-5.65602445602417,-10.093524932861328,-7.839929580688477,-4.964929580688477,-7.278767108917236,-5.278767108917236,
train,0,7,1,The quiet turtle around the dams,The quiet turtles around the dam,-5.942296028137207,-8.067296028137207,-7.905187129974365,-2.3426871299743652,-8.678585052490234,-3.6160852909088135,
train,0,7,1,The nervous dog around the benches,The nervous dogs around the bench,-6.450292587280273,-8.700292587280273,-7.416388511657715,-3.166388511657715,-7.960271835327148,-4.585271835327148,
train,0,7,1,The sleepy kitten beneath the logs,The sleepy kittens beneath the log,-4.60161018371582,-10.85161018371582,-8.193803787231445,-4.4438042640686035,-8.140742301940918,-5.76574182510376,
train,0,7,1,The quiet monitor beneath the chains,The quiet monitors beneath the chain,-5.587534427642822,-10.150033950805664,-5.73169469833374,-5.48169469833374,-6.0808305740356445,-5.9558305740356445,
train,0,7,1,The small panda past the vines,The small pandas past the vine,-15.825267791748047,-18.075267791748047,-15.504335403442383,-14.566835403442383,-14.951092720031738,-14.888592720031738,
train,0,7,1,The timid kitten outside the towers,The timid kittens outside the tower,-4.912522792816162,-10.10002326965332,-9.452255249023438,-4.1397552490234375,-9.774312973022461,-5.024312973022461,
train,0,7,1,The sleepy frog behind the valves,The sleepy frogs behind the valve,-4.542344093322754,-8.979844093322754,-7.495501518249512,-3.1830015182495117,-7.175777435302734,-4.050777435302734,
train,0,7,1,The sleepy monitor around the belts,The sleepy monitors around the belt,-6.584559440612793,-7.834559440612793,-8.304891586303711,-3.24239182472229,-8.365842819213867,-4.178342819213867,
train,0,7,1,The timid pup around the benches,The timid pups around the bench,-13.853432655334473,-16.60343360900879,-15.132104873657227,-11.444604873657227,-15.594223022460938,-12.531723022460938,
train,0,7,1,The quiet monitor outside the towers,The quiet monitors outside the tower,-4.700143337249756,-9.700142860412598,-8.334115028381348,-3.4591152667999268,-8.651223182678223,-4.4012227058410645,
train,0,7,1,The calm cow around the walls,The calm cows around the wall,-6.916335582733154,-9.416336059570312,-9.077829360961914,-5.952829360961914,-9.720667839050293,-7.595667839050293,
train,0,7,1,The fuzzy lion behind the valves,The fuzzy lions behind the valve,-5.650821208953857,-10.3383207321167,-7.150177955627441,-4.025177955627441,-7.301106929779053,-5.426106929779053,
train,0,7,1,The small frog behind the crates,The small frogs behind the crate,-2.9708139896392822,-8.845813751220703,-6.549544334411621,-1.5495445728302002,-6.671739101409912,-2.421739101409912,
train,0,7,1,The calm whale outside the benches,The calm whales outside the bench,-4.33449125289917,-8.084491729736328,-6.805785655975342,-4.055785655975342,-7.526792049407959,-5.901792049407959,
train,0,7,1,The slender monitor around the carts,The slender monitors around the cart,-3.001685619354248,-6.126685619354248,-8.35206413269043,-1.6645641326904297,-6.61344051361084,-2.73844051361084,
train,0,7,1,The nervous rat outside the clocks,The nervous rats outside the clock,-7.776308059692383,-9.526308059692383,-8.593132019042969,-5.2181315422058105,-7.959497928619385,-5.959497928619385,
train,0,7,1,The quiet shark past the plants,The quiet sharks past the plant,-17.323389053344727,-18.635889053344727,-17.237825393676758,-16.237825393676758,-16.331018447875977,-15.581018447875977,
train,0,7,1,The bright kitten past the signs,The bright kittens past the sign,-9.507219314575195,-11.194719314575195,-9.163028717041016,-7.788028240203857,-8.807791709899902,-7.682791233062744,
train,0,7,1,The quiet dog around the dams,The quiet dogs around the dam,-6.7090229988098145,-8.834022521972656,-7.819360256195068,-3.5693602561950684,-8.360981941223145,-4.7359819412231445,
train,0,7,1,The small frog outside the windows,The small frogs outside the window,-10.852285385131836,-12.914785385131836,-14.667581558227539,-11.105081558227539,-15.120278358459473,-11.932778358459473,
train,0,7,1,The small whale outside the stools,The small whales outside the stool,-15.167970657348633,-17.480470657348633,-17.425113677978516,-14.862613677978516,-17.870412826538086,-16.057912826538086,
train,0,7,1,The nervous frog beneath the chains,The nervous frogs beneath the chain,-14.775814056396484,-16.275814056396484,-11.376523971557617,-11.001523971557617,-12.410982131958008,-12.160982131958008,
train,0,7,1,The calm monitor beneath the barrels,The calm monitors beneath the barrel,-4.051076412200928,-9.488576889038086,-7.607205390930176,-5.357205390930176,-7.734391689300537,-7.234391689300537,
train,0,7,1,The fuzzy chick outside the drums,The fuzzy chicks outside the drum,-7.026562213897705,-9.776561737060547,-5.486135482788086,-3.736135244369507,-5.841326713562012,-5.591326713562012,
train,0,7,1,The small kit around the walls,The small kits around the wall,-3.5633201599121094,-6.313320159912109,-6.6664862632751465,-4.0414862632751465,-7.589808940887451,-5.589808940887451,
train,0,7,1,The calm kitten beneath the boxes,The calm kittens beneath the box,-7.080719470977783,-12.143218994140625,-11.397017478942871,-8.647017478942871,-10.849535942077637,-9.224535942077637,
train,0,7,1,The timid rat outside the tables,The timid rats outside the table,-12.066747665405273,-14.191747665405273,-14.90928840637207,-10.09678840637207,-15.232985496520996,-11.420485496520996,
train,0,7,1,The fuzzy panda outside the cabins,The fuzzy pandas outside the cabin,-11.417853355407715,-13.667853355407715,-14.352036476135254,-11.039536476135254,-14.468423843383789,-12.218423843383789,
train,0,7,1,The calm lion around the tanks,The calm lions around the tank,-5.161980628967285,-9.036980628967285,-7.04453182220459,-2.41953182220459,-7.368209362030029,-3.4932096004486084,
train,0,7,1,The timid chick beneath the chains,The timid chicks beneath the chain,-5.821070671081543,-9.133570671081543,-7.250252723693848,-4.937752723693848,-7.263767719268799,-5.638767719268799,
train,0,7,1,The timid rabbit outside the tables,The timid rabbits outside the table,-13.674849510192871,-16.487348556518555,-16.58701515197754,-16.14951515197754,-17.34543800354004,-16.97043800354004,
train,0,7,1,The calm doe beneath the boxes,The calm does beneath the box,-14.318577766418457,-16.88107681274414,-16.35951042175293,-15.547009468078613,-16.62944984436035,-16.25444984436035,
train,0,7,1,The nervous cow behind the rocks,The nervous cows behind the rock,-14.133739471435547,-16.758739471435547,-16.307758331298828,-13.120258331298828,-14.312517166137695,-12.375017166137695,
train,0,7,1,The sleepy cock behind the cabins,The sleepy cocks behind the cabin,-6.792398452758789,-9.292398452758789,-8.314891815185547,-6.064891338348389,-8.723833084106445,-7.7238335609436035,
