split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.2314233779907227,-10.293923377990723,-2.123809814453125,-10.061309814453125,-2.420288562774658,-10.2327880859375,64
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-1.9399433135986328,-8.189943313598633,-1.804854154586792,-8.304854393005371,-2.0405120849609375,-8.040512084960938,64
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-12.140835762023926,-15.265835762023926,-12.406864166259766,-15.156864166259766,-12.186885833740234,-15.186885833740234,64
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.403511047363281,-15.622261047363281,-11.614551544189453,-15.614551544189453,-11.365983963012695,-15.428483963012695,64
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-9.220796585083008,-12.283296585083008,-9.053756713867188,-11.616256713867188,-9.387415885925293,-12.324915885925293,64
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-9.197413444519043,-12.009913444519043,-9.220072746276855,-11.657572746276855,-9.249282836914062,-12.061782836914062,64
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.09851360321045,-14.16101360321045,-8.164544105529785,-14.602044105529785,-8.150603294372559,-14.150603294372559,64
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.477555751800537,-13.040056228637695,-7.541844367980957,-13.229344367980957,-7.5927910804748535,-12.967791557312012,64
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.444954872131348,-16.35120391845703,-15.244187355041504,-17.119186401367188,-14.636772155761719,-16.41802215576172,64
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.808713912963867,-16.433713912963867,-15.116291999816895,-16.991291046142578,-14.873151779174805,-16.498151779174805,64
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-11.152742385864258,-12.965242385864258,-12.357195854187012,-13.294695854187012,-11.228894233703613,-12.916394233703613,64
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-10.955377578735352,-13.767877578735352,-12.123064994812012,-14.248064994812012,-11.027419090270996,-13.777419090270996,64
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-13.107309341430664,-16.201059341430664,-12.894546508789062,-16.707046508789062,-13.141173362731934,-16.203672409057617,64
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-13.561772346496582,-16.530521392822266,-13.869091033935547,-16.744091033935547,-13.486299514770508,-16.517549514770508,64
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-4.249699115753174,-11.999699592590332,-4.010400295257568,-11.760400772094727,-4.247894287109375,-11.997894287109375,64
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-2.6933345794677734,-8.130834579467773,-3.096312999725342,-8.221312522888184,-2.6891937255859375,-7.9391937255859375,64
