split,inverse,eval_input,counterfactual_input,clean_logp_A,clean_logp_B,complement_ablation_logp_A,complement_ablation_logp_B,circuit_ablation_logp_A,circuit_ablation_logp_B,all_ablation_logp_A,all_ablation_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-2.640601396560669,-10.01560115814209,-2.3913002014160156,-7.641300201416016,-3.241126775741577,-7.616127014160156,32
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-1.7189494371414185,-7.593949317932129,-1.9928357601165771,-6.617835998535156,-2.0196237564086914,-6.269623756408691,32
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-13.102832794189453,-15.790332794189453,-12.633635520935059,-14.696135520935059,-13.59736156463623,-15.40986156463623,32
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-11.475774765014648,-15.288274765014648,-11.754172325134277,-14.629172325134277,-11.681936264038086,-14.431936264038086,32
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-9.677375793457031,-12.927375793457031,-9.453559875488281,-11.016059875488281,-10.088102340698242,-12.400602340698242,32
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-9.815330505371094,-12.502830505371094,-9.637069702148438,-10.949569702148438,-10.48565673828125,-11.79815673828125,32
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-8.616506576538086,-14.429006576538086,-7.937725067138672,-13.187725067138672,-8.745671272277832,-13.495671272277832,32
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-7.630924701690674,-12.943425178527832,-7.681366443634033,-11.618866920471191,-7.915181636810303,-12.102682113647461,32
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-14.750991821289062,-16.375991821289062,-15.93698501586914,-16.96823501586914,-15.088672637939453,-16.026172637939453,32
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-14.721368789672852,-16.37761878967285,-15.181650161743164,-16.712900161743164,-14.797167778015137,-16.10966682434082,32
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-11.412788391113281,-12.725288391113281,-12.741101264953613,-13.241101264953613,-12.079751014709473,-12.829751014709473,32
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-11.61001205444336,-14.04751205444336,-12.304900169372559,-13.929900169372559,-11.689697265625,-13.689697265625,32
