split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.0464906692504883,-10.171490669250488,-8.45367431640625,-1.76617431640625,-3.7233548164367676,-2.7233548164367676,32
train,1,The sleepy bats,The sleepy bat,-1.76617431640625,-8.45367431640625,-10.171490669250488,-2.0464906692504883,-2.642704725265503,-5.142704963684082,32
train,0,The fuzzy frog,The fuzzy frogs,-12.373226165771484,-15.185726165771484,-15.832802772521973,-11.707802772521973,-12.613945007324219,-12.176445007324219,32
train,1,The fuzzy frogs,The fuzzy frog,-11.707802772521973,-15.832802772521973,-15.185726165771484,-12.373226165771484,-13.12910270690918,-13.75410270690918,32
train,0,The bright shark,The bright sharks,-9.019481658935547,-11.706981658935547,-11.733707427978516,-9.171207427978516,-9.713303565979004,-10.588303565979004,32
train,1,The bright sharks,The bright shark,-9.171207427978516,-11.733707427978516,-11.706981658935547,-9.019481658935547,-9.963420867919922,-10.650920867919922,32
train,0,The small bat,The small bats,-8.144024848937988,-14.706524848937988,-13.221708297729492,-7.596708297729492,-8.660274505615234,-9.160274505615234,32
train,1,The small bats,The small bat,-7.596708297729492,-13.221708297729492,-14.706524848937988,-8.144024848937988,-8.229071617126465,-9.916571617126465,32
train,0,The bright chick,The bright chicks,-15.253191947937012,-17.190692901611328,-16.955263137817383,-15.0490140914917,-16.175081253051758,-15.487581253051758,32
train,1,The bright chicks,The bright chick,-15.0490140914917,-16.955263137817383,-17.190692901611328,-15.253191947937012,-16.69878387451172,-16.85503387451172,32
train,0,The nervous panda,The nervous pandas,-12.229968070983887,-13.292468070983887,-14.242985725402832,-12.117985725402832,-13.179203033447266,-12.554203033447266,32
train,1,The nervous pandas,The nervous panda,-12.117985725402832,-14.242985725402832,-13.292468070983887,-12.229968070983887,-12.66169548034668,-13.59919548034668,32
train,0,The slender turtle,The slender turtles,-12.91177749633789,-16.72427749633789,-16.817707061767578,-13.880208015441895,-14.429813385009766,-14.117313385009766,32
train,1,The slender turtles,The slender turtle,-13.880208015441895,-16.817707061767578,-16.72427749633789,-12.91177749633789,-14.256711959838867,-15.381711959838867,32
train,0,The quiet turtle,The quiet turtles,-3.8923959732055664,-11.767395973205566,-8.378198623657227,-3.1281983852386475,-5.103857517242432,-4.478857517242432,32
train,1,The quiet turtles,The quiet turtle,-3.1281983852386475,-8.378198623657227,-11.767395973205566,-3.8923959732055664,-5.144968509674072,-6.519968509674072,32
train,0,The sleepy doe,The sleepy does,-13.937175750732422,-15.312175750732422,-16.412879943847656,-14.350380897521973,-15.938481330871582,-14.688481330871582,32
train,1,The sleepy does,The sleepy doe,-14.350380897521973,-16.412879943847656,-15.312175750732422,-13.937175750732422,-14.72790813446045,-14.10290813446045,32
train,0,The timid horse,The timid horses,-3.622795581817627,-11.185295104980469,-9.032999992370605,-2.5954999923706055,-4.852059364318848,-3.6020593643188477,32
train,1,The timid horses,The timid horse,-2.5954999923706055,-9.032999992370605,-11.185295104980469,-3.622795581817627,-4.685046195983887,-5.935046195983887,32
train,0,The nervous rat,The nervous rats,-3.7572693824768066,-11.007269859313965,-8.699682235717773,-3.4496827125549316,-5.116547107696533,-4.741547107696533,32
train,1,The nervous rats,The nervous rat,-3.4496827125549316,-8.699682235717773,-11.007269859313965,-3.7572693824768066,-4.460864067077637,-5.585864067077637,32
train,0,The fuzzy shark,The fuzzy sharks,-2.384080171585083,-9.009079933166504,-5.888036727905273,-1.513036847114563,-2.9989819526672363,-2.7489819526672363,32
train,1,The fuzzy sharks,The fuzzy shark,-1.513036847114563,-5.888036727905273,-9.009079933166504,-2.384080171585083,-3.4777908325195312,-3.9777908325195312,32
train,0,The timid horse,The timid horses,-11.435295104980469,-14.904045104980469,-14.657999992370605,-10.845499992370605,-12.289559364318848,-12.039559364318848,32
train,1,The timid horses,The timid horse,-10.845499992370605,-14.657999992370605,-14.904045104980469,-11.435295104980469,-12.622546195983887,-13.310046195983887,32
train,0,The timid dog,The timid dogs,-11.90491008758545,-13.52991008758545,-14.114075660705566,-10.489075660705566,-12.822587013244629,-12.072587013244629,32
train,1,The timid dogs,The timid dog,-10.489075660705566,-14.114075660705566,-13.52991008758545,-11.90491008758545,-12.364228248596191,-13.114228248596191,32
train,0,The timid rabbit,The timid rabbits,-3.582519769668579,-11.77001953125,-8.246504783630371,-1.8715049028396606,-4.64729118347168,-2.8972911834716797,32
train,1,The timid rabbits,The timid rabbit,-1.8715049028396606,-8.246504783630371,-11.77001953125,-3.582519769668579,-5.086832046508789,-4.836832046508789,32
train,0,The bright panda,The bright pandas,-9.874908447265625,-11.937408447265625,-12.603123664855957,-8.915623664855957,-10.599821090698242,-9.537321090698242,32
train,1,The bright pandas,The bright panda,-8.915623664855957,-12.603123664855957,-11.937408447265625,-9.874908447265625,-11.025426864624023,-12.337926864624023,32
train,0,The fuzzy turtle,The fuzzy turtles,-11.224119186401367,-13.474119186401367,-14.917819023132324,-10.917819023132324,-12.3661470413208,-12.4286470413208,32
