hook,layer,tok,unit,attribution
mlp_out,27,5,1321,0.08624757826328278
mlp_out,27,5,309,0.07294932007789612
mlp_out,27,5,1401,0.04831983521580696
mlp_out,27,5,1646,0.045420121401548386
mlp_out,27,5,1567,0.040128543972969055
mlp_out,27,5,130,0.0313890241086483
mlp_out,27,5,1185,0.026375332847237587
mlp_out,27,5,49,0.016550809144973755
mlp_out,22,5,559,0.014552295207977295
mlp_out,17,5,1026,0.014443359337747097
mlp_out,22,5,364,0.013839257881045341
mlp_out,27,5,917,0.012386721558868885
mlp_out,22,5,1567,0.012307531200349331
mlp_out,17,5,1567,0.012142830528318882
mlp_out,27,5,647,0.010554369539022446
mlp_out,22,5,1641,0.010215701535344124
mlp_out,22,5,1086,0.009563269093632698
mlp_out,22,5,309,0.009026854299008846
mlp_out,17,5,1269,0.008938849903643131
mlp_out,22,5,1026,0.008846373297274113
mlp_out,27,5,1388,0.008579224348068237
mlp_out,22,5,233,0.008292621932923794
mlp_out,27,5,1520,0.008133284747600555
mlp_out,27,5,975,0.008105120621621609
mlp_out,17,5,1889,0.007600353565067053
mlp_out,22,5,908,0.007402951363474131
mlp_out,27,5,2022,0.007382254581898451
mlp_out,27,5,2016,0.007323095574975014
mlp_out,27,5,801,0.007104437332600355
mlp_out,17,5,362,0.006906901020556688
mlp_out,27,5,1366,0.006839422974735498
mlp_out,17,5,924,0.006689080037176609
mlp_out,27,5,909,0.006673313677310944
mlp_out,22,5,203,0.006649501156061888
mlp_out,27,5,819,0.00662954431027174
mlp_out,17,5,39,0.006494835484772921
mlp_out,17,5,1321,0.006471204571425915
mlp_out,22,5,1889,0.006416883785277605
mlp_out,22,5,1813,0.006072981748729944
mlp_out,27,5,1558,0.006050625815987587
mlp_out,17,5,1189,0.006037623155862093
mlp_out,22,5,560,0.006031242664903402
mlp_out,17,5,309,0.005919564049690962
mlp_out,22,5,1904,0.005833032540977001
mlp_out,27,5,730,0.005744092166423798
mlp_out,22,5,622,0.005453967489302158
mlp_out,22,5,1965,0.005423437803983688
mlp_out,22,5,554,0.005417353473603725
mlp_out,17,5,439,0.00539916567504406
mlp_out,22,5,14,0.005138693377375603
mlp_out,22,5,1930,0.005118278786540031
mlp_out,22,5,874,0.00511177908629179
mlp_out,27,5,1381,0.0050806039944291115
mlp_out,22,5,1718,0.005066997371613979
mlp_out,17,5,559,0.005066614132374525
mlp_out,27,5,386,0.0050572860054671764
mlp_out,22,5,813,0.004991230089217424
mlp_out,22,5,218,0.00494399992749095
mlp_out,22,5,427,0.004941985942423344
mlp_out,27,5,661,0.004818986635655165
mlp_out,27,5,670,0.00480886735022068
mlp_out,17,5,1679,0.004765111021697521
mlp_out,17,5,1066,0.0047601074911653996
mlp_out,22,5,507,0.004676902666687965
