split,inverse,source_input,base_input,source_logp_A,source_logp_B,base_logp_A,base_logp_B,base_intervention_logp_A,base_intervention_logp_B,n_nodes
train,0,The sleepy bat,The sleepy bats,-2.084569215774536,-10.209568977355957,-8.52132797241211,-1.7713274955749512,-5.575229644775391,-2.2002294063568115,2
train,1,The sleepy bats,The sleepy bat,-1.7713274955749512,-8.52132797241211,-10.209568977355957,-2.084569215774536,-6.390848159790039,-2.640848159790039,2
train,0,The fuzzy frog,The fuzzy frogs,-12.43608570098877,-15.24858570098877,-15.767359733581543,-11.673609733581543,-12.80429458618164,-12.42929458618164,2
train,1,The fuzzy frogs,The fuzzy frog,-11.673609733581543,-15.767359733581543,-15.24858570098877,-12.43608570098877,-13.673932075500488,-12.673932075500488,2
train,0,The bright shark,The bright sharks,-8.990523338317871,-11.615523338317871,-11.676008224487305,-9.113508224487305,-10.053689956665039,-10.053689956665039,2
train,1,The bright sharks,The bright shark,-9.113508224487305,-11.676008224487305,-11.615523338317871,-8.990523338317871,-10.653285026550293,-9.528285026550293,2
train,0,The small bat,The small bats,-8.136110305786133,-14.698610305786133,-13.318246841430664,-7.630747318267822,-10.422600746154785,-8.297600746154785,2
train,1,The small bats,The small bat,-7.630747318267822,-13.318246841430664,-14.698610305786133,-8.136110305786133,-11.79781723022461,-8.23531723022461,2
train,0,The bright chick,The bright chicks,-15.323587417602539,-17.19858741760254,-16.968647003173828,-15.062397003173828,-16.746784210205078,-15.434284210205078,2
train,1,The bright chicks,The bright chick,-15.062397003173828,-16.968647003173828,-17.19858741760254,-15.323587417602539,-17.12264633178711,-15.59139633178711,2
train,0,The nervous panda,The nervous pandas,-12.297943115234375,-13.297943115234375,-14.294737815856934,-12.169737815856934,-13.851436614990234,-12.726436614990234,2
train,1,The nervous pandas,The nervous panda,-12.169737815856934,-14.294737815856934,-13.297943115234375,-12.297943115234375,-12.982641220092773,-12.607641220092773,2
train,0,The slender turtle,The slender turtles,-12.89495849609375,-16.70745849609375,-16.898834228515625,-13.898833274841309,-15.69593620300293,-14.38343620300293,2
train,1,The slender turtles,The slender turtle,-13.898833274841309,-16.898834228515625,-16.70745849609375,-12.89495849609375,-15.662810325622559,-13.162810325622559,2
train,0,The quiet turtle,The quiet turtles,-4.0152130126953125,-11.827713012695312,-8.435529708862305,-3.0605297088623047,-6.475770473480225,-3.7257704734802246,2
train,1,The quiet turtles,The quiet turtle,-3.0605297088623047,-8.435529708862305,-11.827713012695312,-4.0152130126953125,-9.026199340820312,-4.401199817657471,2
train,0,The sleepy doe,The sleepy does,-13.941704750061035,-15.316704750061035,-16.355682373046875,-14.293182373046875,-16.368144989013672,-14.368144989013672,2
train,1,The sleepy does,The sleepy doe,-14.293182373046875,-16.355682373046875,-15.316704750061035,-13.941704750061035,-15.252007484436035,-13.877007484436035,2
train,0,The timid horse,The timid horses,-3.8225247859954834,-11.260025024414062,-8.980340003967285,-2.605340003967285,-7.527957916259766,-2.7779579162597656,2
train,1,The timid horses,The timid horse,-2.605340003967285,-8.980340003967285,-11.260025024414062,-3.8225247859954834,-8.54627799987793,-3.921278238296509,2
train,0,The nervous rat,The nervous rats,-3.79487943649292,-11.107378959655762,-8.671459197998047,-3.4214587211608887,-6.6930623054504395,-3.9430623054504395,2
train,1,The nervous rats,The nervous rat,-3.4214587211608887,-8.671459197998047,-11.107378959655762,-3.79487943649292,-8.181251525878906,-4.0562520027160645,2
